SMILES	Substrate	Mol_ID
CN1C2CCC1CC(=O)C2	tropinone	mol_215.sdf
CC([C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(CC[C@]4(C)[C@H]3CC[C@]12C)=O)=O	5beta-pregnane-3,20-dione	mol_217.sdf
CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C	lithocholic acid	mol_219.sdf
CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C	5alpha-androstan-17beta-ol-3-one	mol_224.sdf
C[C@@]12[C@H](CC[C@H]1[C@@H]1CC[C@H]3C[C@H](CC[C@]3(C)[C@H]1CC2)O)O	5alpha-androstan-3beta,17beta-diol	mol_216.sdf
CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O	5alpha-pregnane-3alpha,20alpha-diol	mol_144.sdf
C[C@]12[C@H]3CC[C@@]4([C@@H](CC[C@H]4[C@@H]3CC[C@@H]2CC(CC1)=O)O	5beta-androstan-17alpha-ol-3-one	mol_225.sdf
CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O	5beta-pregnane-3alpha,20alpha-diol	mol_223.sdf
C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC[C@@]2(CC(C1)=O)[H])[H])(CC[C@]4([H])[C@@H](O)C)[H])C)[H])C	5beta-pregnane-20alpha-ol-3-one	mol_220.sdf
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C	Epitestosterone	mol_222.sdf
CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)O	5alpha-Androstan-3alpha-ol-17-one	mol_221.sdf
C[C@@]12C(CC[C@H]1[C@@H]1CCC3=CC(CC[C@]3(C)[C@H]1CC2)=O)=O	4-androstene-3,17-dione	mol_218.sdf
CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C	5alpha-Androstan-17alpha-ol-3-one	mol_226.sdf
N1=CC(=CC=C1)C=O	Pyridine-3-aldehyde	mol_229.sdf
[N+](=O)([O-])C=1C=C(C=O)C=CC1	3-Nitrobenzaldehyde	mol_227.sdf
O=C[C@H](O)[C@H](O)[C@H](O)CO	D-ribose	mol_232.sdf
C(=O)C=O	Glyoxal	mol_230.sdf
O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO	D-galactose	mol_126.sdf
O=C[C@@H](O)[C@H](O)[C@H](O)CO	D-arabinose	mol_231.sdf
CC(=CCCC(=CCCC(=CCO)C)C)C	trans,trans-farnesol	mol_238.sdf
C(CCCCCCCCCCCCC)O	1-Tetradecanol	mol_243.sdf
C(CCC)=O	1-butanal	mol_253.sdf
C(CCCCCC)=O	1-heptanal	mol_256.sdf
C(\C=C\CCC)=O	trans-2-hexen-1-al	mol_248.sdf
C(CCCCCCCCC)O	1-Decanol	mol_257.sdf
C(\C=C\C)=O	trans-2-buten-1-al	mol_244.sdf
C(CCCCCCC)=O	1-octanal	mol_247.sdf
OC\C=C(/CCC=C(C)C)\C	nerol	mol_239.sdf
C(\C=C(/C)\CCC=C(C)C)CC(C)=CCC\C(\C)=C\CO	geranylgeraniol	mol_235.sdf
C([C@H](O)C)=O	D-lactoaldehyde	mol_246.sdf
C(CCCCCCCC)=O	1-nonanal	mol_249.sdf
C(C(C(CO)O)O)C(=O)C=O	3-deoxyglucosone	mol_260.sdf
CC(C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O	20alpha-hydroxyprogesterone	mol_234.sdf
C(CCCCCCCC)O	1-nonanol	mol_250.sdf
CC(C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C)O	5alpha-pregnan-20alpha-ol-3-one	mol_242.sdf
O=C1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@H]2O)C)C	5alpha-pregnane-3beta,20alpha-diol	mol_251.sdf
CC(C)=CCC\C(\C)=C\CO	geraniol	mol_240.sdf
C(CCCCCCCCCCC)=O	1-Dodecanal	mol_245.sdf
CC(C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)O	5-Pregnene-3beta,20alpha-diol	mol_237.sdf
N1=CC(=CC=C1)CO	Pyridine-3-methanol	mol_241.sdf
C(\C=C\CCCCCCC)=O	trans-2-decen-1-al	mol_236.sdf
C(CO)=O	glycolaldehyde	mol_259.sdf
C(CCC(C)C)=O	isocaproaldehyde	mol_255.sdf
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)C=O)O)C)O	21-Dehydrocortisol	mol_252.sdf
C(CCCCC)=O	1-hexanal	mol_258.sdf
C(\C=C\CCCCCC)=O	trans-2-nonen-1-al	mol_254.sdf
O=C[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO	L-idose	mol_261.sdf
CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C	5alpha-dihydrotestosterone	mol_263.sdf
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	UDP-alpha-D-glucose	mol_264.sdf
C1C(C(C(CC1(C(=O)O)O)O)O)O	L-quinate	mol_268.sdf
C1C(C(C(C=C1C(=O)O)O)O)O	shikimate	mol_269.sdf
P(=O)(O)(O)OC[C@H]([C@@H](C(C)=O)O)O	1-deoxy-D-xylulose 5-phosphate	mol_278.sdf
OCCSCCS(=O)(=O)[O-]	2-(2-hydroxyethylthio)ethanesulfonate	mol_285.sdf
C(C(=O)C)(=O)[O-]	pyruvate	mol_293.sdf
C([C@@H](O)C)(=O)[O-]	(S)-lactate	mol_292.sdf
O[C@@H]1[C@]2(C)[C@@H](CC1)[C@@H]1CC[C@H]3CC(CC[C@]3(C)[C@H]1CC2)=O	17beta-hydroxy-5alpha-androstan-3-one	mol_294.sdf
Nc1ccn(c(=O)n1)C1OC(C(C1O)O)COP(=O)(OP(=O)(OCC1OC(C(C1O)O)[n+]1cccc(c1)C(=O)N)O)O	nicotinamide cytosine dinucleotide	mol_299.sdf
C1(=CC=CC=C1)CC(C(=O)[O-])=O	phenylpyruvate	mol_298.sdf
O=C(C(=O)[O-])C(C)C	2-oxoisovalerate	mol_301.sdf
O=C(C(=O)[O-])CCCC	2-oxocaproate	mol_302.sdf
OCC(C(=O)[O-])=O	Hydroxypyruvate	mol_305.sdf
O=C(C(=O)[O-])CC(C)C	2-oxoisocaproate	mol_296.sdf
O=C(C(=O)[O-])CC	2-oxobutyrate	mol_297.sdf
O=C(C(=O)[O-])CCC	2-oxovalerate	mol_303.sdf
C(C=O)(=O)[O-]	glyoxylate	mol_304.sdf
C(=O)(C(=O)O)CC(=O)[O-]	oxaloacetate	mol_300.sdf
C(CC(=O)O)C(C(C(=O)O)O)C(=O)O	homoisocitrate	mol_309.sdf
C(C)(C)C(C(C(=O)[O-])O)C(=O)[O-]	3-isopropylmalate	mol_308.sdf
C(C(O)C(C(=O)[O-])CC(=O)[O-])(=O)[O-]	isocitrate	mol_310.sdf
C(CC(=O)C)(=O)[O-]	acetoacetate	mol_314.sdf
C(CCC(=O)C)(=O)O	levulinic acid	mol_315.sdf
CC(CC(=O)[O-])O	D-3-hydroxybutyrate	mol_316.sdf
OCCC(=O)O	3-hydroxypropanoic acid	mol_5516.sdf
OC[C@H](C(=O)[O-])C	(R)-3-hydroxyisobutyrate	mol_319.sdf
OC[C@@H](C(=O)[O-])C	(S)-3-hydroxyisobutyrate	mol_320.sdf
S(=O)(=O)([O-])CCO	isethionate	mol_321.sdf
CC1C(C2CC3N1C4C2C(C5(C4)C3=NC6=CC=CC=C56)OC(=O)C)C=O	perakine	mol_324.sdf
CC(=O)N[C@@H]1[C@H](OC([C@H](C1O)O)CO)O	UDP-2-acetamido-2-deoxy-alpha-D-glucuronate	mol_327.sdf
P(=O)(O)(O)OC[C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O	6-phospho-D-gluconate	mol_343.sdf
N(C(=O)N)[C@H](C(=O)[O-])O	(S)-ureidoglycolate	mol_349.sdf
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO	beta-D-glucose	mol_109.sdf
P(=O)(O)(O)OC[C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O	D-glucose 6-phosphate	mol_200.sdf
OC1CCCC=C1C(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O	6-hydroxycyclohex-1-ene-1-carbonyl-CoA	mol_376.sdf
C([C@@H](O)CC(=O)[O-])(=O)[O-]	(S)-malate	mol_379.sdf
C(C(O)CC(=O)[O-])(=O)[O-]	malate	mol_382.sdf
O[C@@H]1[C@H](O)[C@H](O[C@H]1[n+]1cccc(c1)C(=O)C)COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N)[O-])[O-]	reduced acetylpyridine adenine dinucleotide	mol_381.sdf
CC(=O)C1=C[N+](=CC=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O	acetylpyridine adenine dinucleotide	mol_380.sdf
O=C(C(=O)[O-])C(=O)[O-]	alpha-ketomalonate	mol_383.sdf
C1(C(C(C(=O)C(C1O)O)O)O)O	L-epi-2-inosose	mol_385.sdf
C1(C(C(C(C(C1O)O)O)O)O)O	scyllo-Inositol	mol_384.sdf
OC(CS(=O)(=O)[O-])C=O	2-hydroxy-3-oxopropane-1-sulfonate	mol_387.sdf
S(=O)(=O)(O)C[C@H](C=O)O	(S)-3-sulfolactaldehyde	mol_388.sdf
O=C[C@H](O)[C@@H](O)[C@@H](O)CO	L-arabinose	mol_130.sdf
O=C(C(=O)[O-])CCC(=O)[O-]	2-oxoglutarate	mol_337.sdf
ClC(C(=O)C1=CC=CC=C1)C	2-chloro-1-phenyl-1-propanone	mol_418.sdf
C1(C(CC2=CC=CC=C12)=O)=O	1,2-indanedione	mol_417.sdf
P(=O)(O)(O)OC[C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O	6-phosphono-D-gluconate	mol_431.sdf
P(=O)(O)(O)CC[C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O	6,7-dideoxy-7-phosphono-D-glucoheptonate	mol_432.sdf
CC1CCC(=C(C)C)C(=O)C1	(R)-pulegone	mol_444.sdf
CC1CCC(=C(C)C)C(=O)C1	(S)-pulegone	mol_445.sdf
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O	17beta-estradiol	mol_460.sdf
C[C@@]12[C@H](CC[C@H]1[C@@H]1CC=C3C[C@H](CC[C@]3(C)[C@H]1CC2)O)O	5-androstene-3beta,17beta-diol	mol_461.sdf
C[C@@H]([C@H](C)O)O	(2S,3S)-butane-2,3-diol	mol_466.sdf
P(=O)(O)(O)OCC(=O)CO	glycerone phosphate	mol_467.sdf
C(C)(C)[C@@H]([C@H](C(=O)[O-])O)C(=O)[O-]	(2R,3S)-3-isopropylmalate	mol_472.sdf
CSCCC(C(C(=O)O)O)C(=O)O	3-(2'-methylthio)ethylmalate	mol_479.sdf
CC(=O)C(C)(C(=O)O)O	(S)-2-acetolactate	mol_481.sdf
CC(=O)C(C)(C(=O)[O-])O	(2S)-2-acetolactate	mol_482.sdf
C1(=CC=CC=C1)[C@H](C)O	(S)-1-phenylethanol	mol_485.sdf
C1(=CC=CC=C1)[C@@H](C)O	(R)-1-phenylethanol	mol_486.sdf
C(C)(=O)C1=NC=CC=C1	acetylpyridine	mol_490.sdf
C(C1=CN=CC=C1)(=S)N	Thionicotinamide	mol_489.sdf
C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C=O	pyridinealdehyde adenine dinucleotide	mol_491.sdf
P(=O)(=O)OCC(C(=O)[O-])=O	3-phosphooxypyruvate	mol_492.sdf
C(C(C(=O)O)O)OP(=O)(O)O	3-phospho-D-glycerate	mol_487.sdf
C([C@@H](O)C)(=O)[O-]	L-lactate	mol_328.sdf
[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Fe+2]	ferricenium ion	mol_515.sdf
C1(C=CC(C=C1)=O)=O	1,4-benzoquinone	mol_499.sdf
N1=C(C)C(O)=C(CO)C(CO)=C1	pyridoxine	mol_516.sdf
CO	methanol	mol_53.sdf
C(COCCO)O	diethylene glycol	mol_521.sdf
C([C@@H](C)O)O	(R)-1,2-Propanediol	mol_522.sdf
C(CCC(C)O)O	pentane-1,4-diol	mol_524.sdf
C(CCCCO)O	pentane-1,5-diol	mol_525.sdf
C(CCCCC)O	hexan-1-ol	mol_518.sdf
C(CCCCCO)O	hexane-1,6-diol	mol_523.sdf
C(CCCO)O	Butane-1,4-diol	mol_520.sdf
S(CCO)CCO	2,2'-sulfanediyldi(ethan-1-ol)	mol_519.sdf
CCCCCCC(C(=O)O)O	L-2-hydroxy octanoate	mol_526.sdf
CCCCCCCCCCCCCCC(C(=O)O)O	L-2-hydroxy palmitate	mol_527.sdf
C(CO)(=O)[O-]	glycolate	mol_529.sdf
O=C(C(=O)[O-])CCCCCC	2-oxo-octanoate	mol_528.sdf
Cc1cc2nc3c(nc(=O)[nH]c3=O)n([*])c2cc1C	flavin	mol_5524.sdf
C(C(O)CO)(=O)[O-]	glycerate	mol_535.sdf
OC(C(=O)[O-])CC	2-hydroxybutanoate	mol_536.sdf
OC(C(=O)[O-])CCC	2-hydroxypentanoate	mol_534.sdf
C([C@@H](O)C1=CC=CC=C1)(=O)O	(S)-mandelic acid	mol_533.sdf
C1(CCCC1)C1=CC=C(C=C1)O	4-cyclopentylphenol	mol_5527.sdf
NC1=CC(=CC=C1O)C	2-amino-p-cresol	mol_545.sdf
C=1(C(OC)=CC(C)=CC1)O	creosol	mol_549.sdf
C(C)C1=CC=C(C=C1)O	4-Ethylphenol	mol_548.sdf
C(C1=CC(OC)=C(O)C=C1)O	Vanillyl alcohol	mol_543.sdf
C=1(C(O)=CC=C(CC=C)C1)OC	eugenol	mol_547.sdf
C1(=CC=C(CC=C)C=C1)O	chavicol	mol_550.sdf
COCC1=CC=C(C=C1)O	4-(Methoxymethyl)phenol	mol_544.sdf
CC1=CC(=CC=C1O)C	2-methyl-p-cresol	mol_546.sdf
C(C1=CC(OC)=C(O)C=C1)N	vanillylamine	mol_553.sdf
C(C)C=1C=C(C(=CC1)OC)O	4-ethylguaiacol	mol_552.sdf
OCC(O)CO	glycerol	mol_448.sdf
C([C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)O	D-mannitol	mol_136.sdf
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	D-sorbitol	mol_10.sdf
C1(=CC=CC=C1)[C@H](CO)O	(R)-1-phenyl-1,2-ethanediol	mol_556.sdf
C([C@H](O)[C@@H](O)[C@H](O)CO)O	xylitol	mol_91.sdf
C1(=CC=CC=C1)C(CO)O	1-phenyl-1,2-ethanediol	mol_555.sdf
C1(=CC=CC=C1)[C@@H](CO)O	(S)-1-phenyl-1,2-ethanediol	mol_554.sdf
C([C@@H](O)C1=CC=CC=C1)(=O)[O-]	(S)-Mandelate	mol_557.sdf
C(C1=CC=C(C=C1)OC)=O	4-anisaldehyde	mol_578.sdf
OCC1=CC=C(C=O)O1	5-hydroxymethylfurfural	mol_559.sdf
C(=O)C=1OC(=CC1)C=O	2,5-diformylfuran	mol_566.sdf
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	cholesterol	mol_567.sdf
C(C1=CC=C(C=C1)OC)O	anisyl alcohol	mol_574.sdf
C(C1=CC(OC)=C(OC)C=C1)O	veratryl alcohol	mol_573.sdf
C(C=CC1=CC=CC=C1)O	cinnamyl alcohol	mol_572.sdf
C=C(CO)CO	2-methylene-1,3-propanediol	mol_589.sdf
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O	maltose	mol_590.sdf
O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO	allose	mol_592.sdf
CO[C@H]([C@H](C=O)O)[C@H](O)[C@H](O)CO	3-O-methyl-D-glucose	mol_591.sdf
OC1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@H](O2)CO)[C@H](O1)CO	lactose	mol_133.sdf
C1=CC(=O)C=CC1=NC2=CC(=C(C(=C2)Cl)O)Cl	2,6-dichloroindophenol	mol_502.sdf
O=O	O2	mol_505.sdf
C1=CC(=O)C=CC1=NC2=CC(=C(C(=C2)Cl)O)Cl	2,6-dichlorophenol indophenol	mol_596.sdf
[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Fe+2]	ferrocenium ion	mol_599.sdf
C1=CC(=O)C=CC1=NC2=CC(=C(C(=C2)Cl)O)Cl	2,6-dichlorophenolindophenol	mol_598.sdf
O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	D-mannose	mol_134.sdf
O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO	D-allose	mol_602.sdf
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O	maltotriose	mol_601.sdf
OCC(=O)[C@@H](O)[C@H](O)[C@@H](O)CO	L-sorbose	mol_506.sdf
COC1C(C(C(C(O1)CO)O)O)O	methyl-alpha-D-glucopyranoside	mol_600.sdf
