SMILES	Ligand_name	Mol_ID	InChI	InChIKey
C(CC(=O)C)(=O)OC(C)(C)C	tert-butyl acetoacetate	mol_77.sdf	InChI=1S/C8H14O3/c1-6(9)5-7(10)11-8(2,3)4/h5H2,1-4H3	JKUYRAMKJLMYLO-UHFFFAOYSA-N
C(CCC)=O	Butyraldehyde	mol_40.sdf	InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3	ZTQSAGDEMFDKMZ-UHFFFAOYSA-N
C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O	NADPH	mol_93.sdf	InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)	ACFIXJIJDZMPPO-UHFFFAOYSA-N
C(CC(=O)C)(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O	acetoacetyl-CoA	mol_94.sdf	InChI=1S/C25H40N7O18P3S/c1-13(33)8-16(35)54-7-6-27-15(34)4-5-28-23(38)20(37)25(2,3)10-47-53(44,45)50-52(42,43)46-9-14-19(49-51(39,40)41)18(36)24(48-14)32-12-31-17-21(26)29-11-30-22(17)32/h11-12,14,18-20,24,36-37H,4-10H2,1-3H3,(H,27,34)(H,28,38)(H,42,43)(H,44,45)(H2,26,29,30)(H2,39,40,41)/t14-,18-,19-,20+,24-/m1/s1	OJFDKHTZOUZBOS-CITAKDKDSA-N
N[C@@H]([C@H](O)C)C(=O)O	L-threonine	mol_105.sdf	InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1	AYFVYJQAPQTCCC-GBXIJSLDSA-N
N[C@@H](CO)C(=O)O	L-serine	mol_106.sdf	InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1	MTCFGRXMJLQNBG-REOHCLBHSA-N
C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N	NADP+	mol_79.sdf	InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/p+1	XJLXINKUBYWONI-UHFFFAOYSA-O
O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	D-glucose	mol_110.sdf	InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h1,3-6,8-12H,2H2/t3-,4+,5+,6+/m0/s1	GZCGUPFRVQAUEE-SLPGGIOYSA-N
[C@H]1(CCC2=CC=CC=C12)O	(R)-indanol	mol_116.sdf	InChI=1S/C9H10O/c10-9-6-5-7-3-1-2-4-8(7)9/h1-4,9-10H,5-6H2/t9-/m1/s1	YIAPLDFPUUJILH-SECBINFHSA-N
C1CC2=CC=CC=C2C(=O)C1	alpha-tetralone	mol_113.sdf	InChI=1S/C10H10O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-2,4,6H,3,5,7H2	XHLHPRDBBAGVEG-UHFFFAOYSA-N
O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C	D-fucose	mol_125.sdf	InChI=1S/C6H12O5/c1-3(8)5(10)6(11)4(9)2-7/h2-6,8-11H,1H3/t3-,4+,5+,6-/m1/s1	PNNNRSAQSRJVSB-DPYQTVNSSA-N
O=C[C@H](O)[C@@H](O)[C@H](O)CO	D-xylose	mol_132.sdf	InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4+,5+/m0/s1	PYMYPHUHKUWMLA-VPENINKCSA-N
O=CC[C@@H](O)[C@H](O)[C@H](O)CO	2-deoxy-D-glucose	mol_114.sdf	InChI=1S/C6H12O5/c7-2-1-4(9)6(11)5(10)3-8/h2,4-6,8-11H,1,3H2/t4-,5-,6+/m1/s1	VRYALKFFQXWPIH-PBXRRBTRSA-N
C1(=CC=CC=C1)C(C(C)=O)=O	phenyl-1,2-propanedione	mol_112.sdf	InChI=1S/C9H8O2/c1-7(10)9(11)8-5-3-2-4-6-8/h2-6H,1H3	BVQVLAIMHVDZEL-UHFFFAOYSA-N
O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO	D-talose	mol_127.sdf	InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h1,3-6,8-12H,2H2/t3-,4-,5-,6+/m1/s1	GZCGUPFRVQAUEE-KAZBKCHUSA-N
OC1[C@H](N)[C@@H](O)[C@@H](O)[C@H](O1)CO	D-galactosamine	mol_538.sdf	InChI=1S/C6H13NO5/c7-3-5(10)4(9)2(1-8)12-6(3)11/h2-6,8-11H,1,7H2/t2-,3-,4+,5-,6?/m1/s1	MSWZFWKMSRAUBD-GASJEMHNSA-N
OC1[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO	D-glucosamine	mol_131.sdf	InChI=1S/C6H13NO5/c7-3-5(10)4(9)2(1-8)12-6(3)11/h2-6,8-11H,1,7H2/t2-,3-,4-,5-,6?/m1/s1	MSWZFWKMSRAUBD-IVMDWMLBSA-N
O=C[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C	L-fucose	mol_129.sdf	InChI=1S/C6H12O5/c1-3(8)5(10)6(11)4(9)2-7/h2-6,8-11H,1H3/t3-,4+,5+,6-/m0/s1	PNNNRSAQSRJVSB-KCDKBNATSA-N
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O	cellobiose	mol_124.sdf	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2	GUBGYTABKSRVRQ-UHFFFAOYSA-N
C1(CC2=CC=CC3=CC=CC1=C23)O	1-Acenaphthenol	mol_118.sdf	InChI=1S/C12H10O/c13-11-7-9-5-1-3-8-4-2-6-10(11)12(8)9/h1-6,11,13H,7H2	MXUCIEHYJYRTLT-UHFFFAOYSA-N
C1=CC(C(C=C1)O)O	cis-benzene dihydrodiol	mol_123.sdf	InChI=1S/C6H8O2/c7-5-3-1-2-4-6(5)8/h1-8H	YDRSQRPHLBEPTP-UHFFFAOYSA-N
N1C(=O)C(=O)C2=CC=CC=C12	isatin	mol_111.sdf	InChI=1S/C8H5NO2/c10-7-5-3-1-2-4-6(5)9-8(7)11/h1-4H,(H,9,10,11)	JXDYKVIHCLTXOP-UHFFFAOYSA-N
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O	cortisol	mol_143.sdf	InChI=1S/C21H30O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h9,14-16,18,22,24,26H,3-8,10-11H2,1-2H3	JYGXADMDTFJGBT-UHFFFAOYSA-N
CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	chenodeoxycholic acid	mol_146.sdf	InChI=1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)	RUDATBOHQWOJDD-UHFFFAOYSA-N
CC(C)(C=O)C(C(=O)O)O	(R)-4-dehydropantoate	mol_147.sdf	InChI=1S/C6H10O4/c1-6(2,3-7)4(8)5(9)10/h3-4,8H,1-2H3,(H,9,10)	HVMPYIKTQSOMHA-UHFFFAOYSA-N
O=CC([C@H](C(=O)[O-])O)(C)CO	ketopantoate	mol_149.sdf	InChI=1S/C6H10O5/c1-6(2-7,3-8)4(9)5(10)11/h2,4,8-9H,3H2,1H3,(H,10,11)/p-1/t4-,6?/m0/s1	XJYXOMKIPWYNND-VKZKZBKNSA-M
CC(C)(CO)C(=O)C(=O)O	2-dehydropantoate	mol_148.sdf	InChI=1S/C6H10O4/c1-6(2,3-7)4(8)5(9)10/h7H,3H2,1-2H3,(H,9,10)	PKVVTUWHANFMQC-UHFFFAOYSA-N
C([C@H](O)C(C)(C)CO)(=O)[O-]	(R)-pantoate	mol_150.sdf	InChI=1S/C6H12O4/c1-6(2,3-7)4(8)5(9)10/h4,7-8H,3H2,1-2H3,(H,9,10)/p-1/t4-/m0/s1	OTOIIPJYVQJATP-BYPYZUCNSA-M
C1(C(C(C(C(C1O)O)O)O)O)O	myo-inositol	mol_151.sdf	InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H	CDAISMWEOUEBRE-UHFFFAOYSA-N
OCC(=O)C1=CC=CC=C1	2-hydroxyacetophenone	mol_138.sdf	InChI=1S/C8H8O2/c9-6-8(10)7-4-2-1-3-5-7/h1-5,9H,6H2	ZWVHTXAYIKBMEE-UHFFFAOYSA-N
CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C	testosterone	mol_163.sdf	InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-17,21H,3-10H2,1-2H3	MUMGGOZAMZWBJJ-UHFFFAOYSA-N
CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O	estrone	mol_161.sdf	InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3	DNXHEGUUPJUMQT-UHFFFAOYSA-N
CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O	prostaglandin E2	mol_158.sdf	InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,15-17,19,21,23H,2-3,5-6,8-11,14H2,1H3,(H,24,25)	XEYBRNLFEZDVAW-UHFFFAOYSA-N
CC(=O)C	acetone	mol_159.sdf	InChI=1S/C3H6O/c1-3(2)4/h1-2H3	CSCPPACGZOOCGX-UHFFFAOYSA-N
C1=CC=CC=2C3=CC=CC=C3C(C(C12)=O)=O	9,10-phenanthrenequinone	mol_166.sdf	InChI=1S/C14H8O2/c15-13-11-7-3-1-5-9(11)10-6-2-4-8-12(10)14(13)16/h1-8H	YYVYAPXYZVYDHN-UHFFFAOYSA-N
CC1=CC(=O)C=CC1=O	p-toluquinone	mol_160.sdf	InChI=1S/C7H6O2/c1-5-4-6(8)2-3-7(5)9/h2-4H,1H3	VTWDKFNVVLAELH-UHFFFAOYSA-N
[N+](=O)([O-])C1=CC=C(C=O)C=C1	4-nitrobenzaldehyde	mol_164.sdf	InChI=1S/C7H5NO3/c9-5-6-1-3-7(4-2-6)8(10)11/h1-5H	BXRFQSNOROATLV-UHFFFAOYSA-N
CC1=CC(=O)C2=CC=CC=C2C1=O	menadione	mol_162.sdf	InChI=1S/C11H8O2/c1-7-6-10(12)8-4-2-3-5-9(8)11(7)13/h2-6H,1H3	MJVAVZPDRWSRRC-UHFFFAOYSA-N
C(C1=CC=CC=C1)(=O)C1=CC=NC=C1	4-benzoylpyridine	mol_165.sdf	InChI=1S/C12H9NO/c14-12(10-4-2-1-3-5-10)11-6-8-13-9-7-11/h1-9H	SKFLCXNDKRUHTA-UHFFFAOYSA-N
CN(CCCC(=O)C1=CN=CC=C1)N=O	4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone	mol_176.sdf	InChI=1S/C10H13N3O2/c1-13(12-15)7-3-5-10(14)9-4-2-6-11-8-9/h2,4,6,8H,3,5,7H2,1H3	FLAQQSHRLBFIEZ-UHFFFAOYSA-N
CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O	doxorubicin	mol_170.sdf	InChI=1S/C27H29NO11/c1-10-22(31)13(28)6-17(38-10)39-15-8-27(36,16(30)9-29)7-12-19(15)26(35)21-20(24(12)33)23(32)11-4-3-5-14(37-2)18(11)25(21)34/h3-5,10,13,15,17,22,29,31,33,35-36H,6-9,28H2,1-2H3	AOJJSUZBOXZQNB-UHFFFAOYSA-N
C1=CC=C2C(=C1)C3=C(C4=CC=CC=C4C3=O)N(C2=O)CCNCCO	oracin	mol_171.sdf	InChI=1S/C20H18N2O3/c23-12-10-21-9-11-22-18-14-6-2-3-7-15(14)19(24)17(18)13-5-1-4-8-16(13)20(22)25/h1-8,21,23H,9-12H2	LRHPCRBOMKRVOA-UHFFFAOYSA-N
CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O	daunorubicin	mol_168.sdf	InChI=1S/C27H29NO10/c1-10-22(30)14(28)7-17(37-10)38-16-9-27(35,11(2)29)8-13-19(16)26(34)21-20(24(13)32)23(31)12-5-4-6-15(36-3)18(12)25(21)33/h4-6,10,14,16-17,22,30,32,34-35H,7-9,28H2,1-3H3	STQGQHZAVUOBTE-UHFFFAOYSA-N
C1(C=CC(C2=CC=CC=C12)=O)=O	1,4-Naphthoquinone	mol_186.sdf	InChI=1S/C10H6O2/c11-9-5-6-10(12)8-4-2-1-3-7(8)9/h1-6H	FRASJONUBLZVQX-UHFFFAOYSA-N
CC(C(CCC)=O)=O	2,3-Hexanedione	mol_185.sdf	InChI=1S/C6H10O2/c1-3-4-6(8)5(2)7/h3-4H2,1-2H3	MWVFCEVNXHTDNF-UHFFFAOYSA-N
N([C@H](C(=O)O)CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(CC=O)CCC	3-glutathionyl-hexanal	mol_173.sdf	InChI=1S/C16H27N3O7S/c1-2-3-10(6-7-20)18-11(16(25)26)4-5-13(21)19-12(9-27)15(24)17-8-14(22)23/h7,10-12,18,27H,2-6,8-9H2,1H3,(H,17,24)(H,19,21)(H,22,23)(H,25,26)/t10?,11-,12-/m0/s1	FPGZOGRITWZCBH-RAMGSTBQSA-N
N(=O)SC[C@H](NC(CC[C@H](N)C(=O)O)=O)C(=O)NCC(=O)O	S-nitrosoglutathione	mol_167.sdf	InChI=1S/C10H16N4O7S/c11-5(10(19)20)1-2-7(15)13-6(4-22-14-21)9(18)12-3-8(16)17/h5-6H,1-4,11H2,(H,12,18)(H,13,15)(H,16,17)(H,19,20)/t5-,6-/m0/s1	HYHSBSXUHZOYLX-WDSKDSINSA-N
N([C@H](C(=O)O)CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(CC=O)CCCCCC	3-glutathionyl-nonanal	mol_174.sdf	InChI=1S/C19H33N3O7S/c1-2-3-4-5-6-13(9-10-23)21-14(19(28)29)7-8-16(24)22-15(12-30)18(27)20-11-17(25)26/h10,13-15,21,30H,2-9,11-12H2,1H3,(H,20,27)(H,22,24)(H,25,26)(H,28,29)/t13?,14-,15-/m0/s1	JDNIPNLVWPJWIO-FGRDXJNISA-N
N([C@H](C(=O)O)CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(C=O)CCCCCCC	glutathionyl-nonanal	mol_175.sdf	InChI=1S/C19H33N3O7S/c1-2-3-4-5-6-7-13(11-23)21-14(19(28)29)8-9-16(24)22-15(12-30)18(27)20-10-17(25)26/h11,13-15,21,30H,2-10,12H2,1H3,(H,20,27)(H,22,24)(H,25,26)(H,28,29)/t13?,14-,15-/m0/s1	WFVCNKMBOPTMMC-FGRDXJNISA-N
N([C@H](C(=O)O)CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)CCC=O	3-glutathionyl-propanal	mol_172.sdf	InChI=1S/C13H21N3O7S/c17-5-1-4-14-8(13(22)23)2-3-10(18)16-9(7-24)12(21)15-6-11(19)20/h5,8-9,14,24H,1-4,6-7H2,(H,15,21)(H,16,18)(H,19,20)(H,22,23)/t8-,9-/m0/s1	WLFJEKPDMHSYCR-IUCAKERBSA-N
CC=1C(=[N+](C2=CC=CC=C2[N+]1[O-])[O-])C(C)=O	1-(3-methyl-1,4-dioxidoquinoxalin-2-yl)ethanone	mol_178.sdf	InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3	CUJMCPPBTUATEJ-UHFFFAOYSA-N
CC=1C(=NC2=CC=CC=C2[N+]1[O-])C(C)=O	1-(3-methyl-4-oxidoquinoxalin-2-yl)ethanone	mol_177.sdf	InChI=1S/C11H10N2O2/c1-7-11(8(2)14)12-9-5-3-4-6-10(9)13(7)15/h3-6H,1-2H3	KKJLJOBEYXZTCY-UHFFFAOYSA-N
CC(=O)C=O	methylglyoxal	mol_179.sdf	InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3	AIJULSRZWUXGPQ-UHFFFAOYSA-N
CC(C(CC)=O)=O	2,3-Pentanedione	mol_180.sdf	InChI=1S/C5H8O2/c1-3-5(7)4(2)6/h3H2,1-2H3	TZMFJUDUGYTVRY-UHFFFAOYSA-N
CC(C(=O)OCC)C(=O)C	ethyl 2-methylacetoacetate	mol_183.sdf	InChI=1S/C7H12O3/c1-4-10-7(9)5(2)6(3)8/h5H,4H2,1-3H3	FNENWZWNOPCZGK-UHFFFAOYSA-N
O=C(C(=O)OCC)CCC1=CC=CC=C1	ethyl 2-oxo-4-phenylbutyrate	mol_182.sdf	InChI=1S/C12H14O3/c1-2-15-12(14)11(13)9-8-10-6-4-3-5-7-10/h3-7H,2,8-9H2,1H3	STPXIOGYOLJXMZ-UHFFFAOYSA-N
FC(C(=O)C1=CC=CC=C1)(F)F	2,2,2-trifluoroacetophenone	mol_64.sdf	InChI=1S/C8H5F3O/c9-8(10,11)7(12)6-4-2-1-3-5-6/h1-5H	KZJRKRQSDZGHEC-UHFFFAOYSA-N
ClCC(CC(=O)OCC)=O	ethyl 4-chloro-3-oxobutanoate	mol_184.sdf	InChI=1S/C6H9ClO3/c1-2-10-6(9)3-5(8)4-7/h2-4H2,1H3	OHLRLMWUFVDREV-UHFFFAOYSA-N
C1(C(C=CC2=CC=CC=C12)=O)=O	1,2-naphthoquinone	mol_187.sdf	InChI=1S/C10H6O2/c11-9-6-5-7-3-1-2-4-8(7)10(9)12/h1-6H	KETQAJRQOHHATG-UHFFFAOYSA-N
C[C@@]12C(CC[C@H]1[C@@H]1CCC3=CC(CC[C@]3(C)[C@H]1CC2)=O)=O	androst-4-ene-3,17-dione	mol_189.sdf	InChI=1S/C19H26O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-16H,3-10H2,1-2H3/t14-,15-,16-,18-,19-/m0/s1	AEMFNILZOJDQLW-QAGGRKNESA-N
C(\C=C\C1=CC=C(C=C1)O)=O	4-coumaryl aldehyde	mol_190.sdf	InChI=1S/C9H8O2/c10-7-1-2-8-3-5-9(11)6-4-8/h1-7,11H/b2-1+	CJXMVKYNVIGQBS-OWOJBTEDSA-N
COC1=C(C=CC(=C1)C=CC=O)O	coniferyl aldehyde	mol_191.sdf	InChI=1S/C10H10O3/c1-13-10-7-8(3-2-6-11)4-5-9(10)12/h2-7,12H,1H3	DKZBBWMURDFHNE-UHFFFAOYSA-N
COC1=CC(=CC(=C1O)OC)C=CC=O	sinapyl aldehyde	mol_192.sdf	InChI=1S/C11H12O4/c1-14-9-6-8(4-3-5-12)7-10(15-2)11(9)13/h3-7,13H,1-2H3	CDICDSOGTRCHMG-UHFFFAOYSA-N
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)C(=O)[O-]	beta-D-glucuronate	mol_208.sdf	InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/p-1/t1-,2-,3+,4-,6+/m0/s1	AEMOLEFTQBMNLQ-QIUUJYRFSA-M
