EC_number	UniProt_ID	Organism_name	WT_structures	Mutant_structures	Structure_type
1.1.1.159	G9FRD7	Clostridium sardiniense	-	5EPO	Substrate+Cofactor
1.1.1.169	A0A0J9X283	Staphylococcus aureus	-	4YCA	Cofactor only
1.1.1.169	P0A9J4	Escherichia coli	-	2OFP	Substrate+Cofactor
1.1.1.169	Q5JGC2	Thermococcus kodakarensis	-	5AYV	Substrate only
1.1.1.179	Q9TQS6	Macaca fascicularis	-	3OHS,2O4U,2O48,2POQ	Substrate only
1.1.1.18	P26935	Bacillus subtilis	-	4L8V,3NT4,3NTR,3NT5	Substrate+Cofactor
1.1.1.184	B2KJ46	Candida parapsilosis	-	3CTM	Substrate only
1.1.1.184	F1N9C1	Gallus gallus	-	3WXB	Substrate+Cofactor
1.1.1.184	O75828	Homo sapiens	-	2HRB	Cofactor only
1.1.1.184	P16152	Homo sapiens	-	1WMA,2PFG,3BHJ,3BHM,4Z3D	Substrate+Cofactor
1.1.1.184	Q28960	Sus scrofa	1N5D	-	Cofactor only
1.1.1.184	Q5FQJ0	Gluconobacter oxydans	-	6KIY	Apo only
1.1.1.184	Q5FT75	Gluconobacter oxydans	-	3WBW,3WBY	Cofactor only
1.1.1.184	Q9X265	Thermotoga maritima	-	6KIY,6KY6	Substrate+Cofactor
1.1.1.184	Q9Y8Y1	Aeropyrum pernix	-	5B1Y	Cofactor only
1.1.1.188	P42330	Homo sapiens	8BBS	1ZQ5,6F78,2FGB,4WDT,4XVE,4WRH,4WDX,3UGR,3UWE,1RY8,1RY0,4DZ5,4WDU,1S2A,7C7F,6GXK,3UG8,3R8G,1S2C,4DBW,4DBS,7C7H,7X3L,7C7G,6F2U,3UFY,3R8H,4WDW,3R6I,4H7C,1XF0,2F38,3R43,4ZFC,5HNT,5HNU,4FAM,4FAL,7X3O,3R94,7WQS,3R7M,7WQR,7WQM,4FA3,3R58,4YVX,4YVV,6A7B,4HMN,4DBU,7X3M,4XVD	Substrate+Cofactor
1.1.1.195	C5XC49	Sorghum bicolor	-	5VKT	Substrate+Cofactor
1.1.1.195	O49482	Arabidopsis thaliana	-	2CF6	Cofactor only
1.1.1.2	C6A190	Thermococcus sibiricus	-	3L77,3TN7	Substrate only
1.1.1.203	Q1QUN7	Chromohalobacter salexigens	-	6MFH	Substrate only
1.1.1.203	Q7CRQ0	Agrobacterium tumefaciens	-	3RFV	Substrate+Cofactor
1.1.1.205	A0A2R4D3F6	Campylobacter jejuni	-	6MGR	Substrate only
1.1.1.205	A0A6L8P2U9	Bacillus anthracis	5UUZ,5UUV	6MGU,4MYA,4MJM,4MY8,7MTU,3USB,5URS,7MTX,4MY9,4MY1,3TSD,4MYX,4QM1	Substrate only
1.1.1.205	P0C0H6	Streptococcus pyogenes	-	1ZFJ	Substrate only
1.1.1.205	P12268	Homo sapiens	-	8FOZ,8FUZ,8G8F,1B3O,1NFB,8G9B,6U8E,6U8S,6U8N,6U9O,6UA4,6UA5,6UAJ,6U8R,6UA2	Substrate+Cofactor
1.1.1.205	P20839	Homo sapiens	-	7RGL,7RER,7RFI,7RGM,7RGD,7RES,7RGI,7RGQ	Substrate+Cofactor
1.1.1.205	P50097	Tritrichomonas foetus	-	1MEW,1LRT	Substrate+Cofactor
1.1.1.205	P9WKI7	Mycobacterium tuberculosis	-	4ZQM	Substrate+Cofactor
1.1.1.205	Q756Z6	Eremothecium gossypii	4XTI,4XTD	4Z0G,6RPU,4Z87,5MCP,5TC3	Substrate only
1.1.1.205	Q8T6T2	Cryptosporidium parvum	-	4RV8,4IXH,4QJ1	Substrate only
1.1.1.206	P50162	Datura stramonium	-	1AE1	Cofactor only
1.1.1.208	Q06ZW2	Mentha x piperita	-	5L53	Cofactor only
1.1.1.209	Q91WR5	Mus musculus	-	2HEJ,2IPF,2IPG,3CV6,2HE5	Substrate+Cofactor
1.1.1.21	A0A0M4HL56	Debaryomyces nepalensis	-	5ZCM	Substrate+Cofactor
1.1.1.21	O60218	Homo sapiens	-	1ZUA,4WEV,5M2F,4GAB,4XZN,4XZL,4XZM,5LIU,5LIW,4ICC,4GA8,5LIX,5LIK,5LIY,4I5X,4GQ0,4JII,4JIH,5Y7N	Substrate+Cofactor
1.1.1.21	P15121	Homo sapiens	6SYW,6TUC,6TUF,2R24,1AZ1,1AZ2	1US0,4LBS,3BCJ,2QXW,4LBR,4LB4,4LB3,2I17,2I16,2J8T,4LAU,4IGS,4LAZ,2PF8,2PFH,4QXI,2PEV,4GCA,1PWM,6F7R,8A4N,5OU0,6Y1P,3M4H,3LZ5,6TXP,1Z8A,5OUK,5OUJ,4PRT,6XUM,6TD8,6F81,6T3P,4QBX,3LEP,2PZN,3U2C,4XZH,3GHS,3GHR,2AGT,6T7Q,4PRR,4YU1,6F82,3LZ3,1Z3N,4QR6,1T41,3ONC,4PR4,3M0I,4YS1,2FZD,6F84,3GHT,1PWL,3LBO,6T27,4NKC,4PUW,3LQL,4PUU,3MC5,6F8O,4Q7B,3GHU,4RPQ,3LEN,4QX4,3LD5,3T42,6T5G,3M64,1X98,3LQG,1X96,1X97,2PDG,1Z89,2IKG,2PDH,3DN5,3ONB,2IKI,2PDL,2FZ8,2FZB,2PDU,2NVD,2PDI,2IKJ,2PD9,2PDK,2IKH,2PDW,2PDF,2PDJ,2HVN,2HV5,2PDB,2FZ9,2DUZ,2DUX,2PD5,2DV0,2PDC,2NVC,2HVO,2PDP,2PDX,2PDY,3MB9,5HA7,6Y03,3P2V,2IS7,1EL3,2PDN,2PDQ,2PDM,2ACU,2ACS,2ACQ,1T40,3G5E,3S3G,1MAR,3RX2,3RX3,2INE,3V35,2F2K,2INZ,2IQ0,3RX4,2IQD,4JIR,2IPW,2ISF,3V36,4GQ0,4XZI,1IEI,1EF3	Substrate+Cofactor
1.1.1.213	P52895	Homo sapiens	-	4XO6,1J96,4JTR,4JQA,4JQ4,4JQ1,4JTQ,4JQ2,4JQ3,4XO7,2IPJ,1XJB,2HDJ,4L1X,4L1W,1IHI	Substrate+Cofactor
1.1.1.22	C9E261	Burkholderia cepacia	-	2Y0C,2Y0E,2Y0D	Substrate only
1.1.1.22	O60701	Homo sapiens	-	2Q3E,2QG4,6C5A,3PTZ,6C4J,3TDK,6C5Z,3PRJ	Substrate+Cofactor
1.1.1.22	Q0P8H3	Campylobacter jejuni subsp. jejuni	-	7KWS	Substrate+Cofactor
1.1.1.22	Q19905	Caenorhabditis elegans	-	6OM8	Substrate only
1.1.1.236	P50163	Datura stramonium	-	2AE2,1IPF	Substrate+Cofactor
1.1.1.24	Q9X5C9	Corynebacterium glutamicum	-	3JYP,3JYQ	Substrate+Cofactor
1.1.1.248	Q071N0	Papaver somniferum	-	3O26	Cofactor only
1.1.1.25	O67049	Aquifex aeolicus	-	2HK9	Substrate+Cofactor
1.1.1.25	P07547	Aspergillus nidulans	1DQS	1NR5,1NVB	Substrate+Cofactor
1.1.1.25	P15770	Escherichia coli	-	1NYT	Substrate+Cofactor
1.1.1.25	Q5HNV1	Staphylococcus epidermidis RP62A	-	3DOO	Substrate only
1.1.1.25	Q9SQT8	Arabidopsis thaliana	2O7S	-	Substrate+Cofactor
1.1.1.261	A3MTM6	Pyrobaculum calidifontis	-	5FB3	Substrate only
1.1.1.261	Q58122	Methanocaldococcus jannaschii	-	4RFL,4RGQ	Substrate+Cofactor
1.1.1.265	Q12068	Saccharomyces cerevisiae	-	4PVD	Cofactor only
1.1.1.267	P9WNS1	Mycobacterium tuberculosis	-	4A03,4OOE,2Y1F,4AIC,2JCX,2JCV,4RCV,3ZHY,4OOF,3RAS	Substrate+Cofactor
1.1.1.267	Q8ZH62	Yersinia pestis	-	5DUL	Cofactor only
1.1.1.267	Q9WZZ1	Thermotoga maritima	-	3A06	Substrate+Cofactor
1.1.1.268	Q56840	Xanthobacter sp.	2CFC	-	Substrate+Cofactor
1.1.1.27	P00344	Geobacillus stearothermophilus	-	1LDN,2LDB	Substrate+Cofactor
1.1.1.27	Q27743	Plasmodium falciparum	-	4PLZ,1T2D,1T24,1LDG,1T26,1T2E,1T25,1U5C	Substrate+Cofactor
1.1.1.27	Q5SJA1	Thermus thermophilus	-	2XXJ,2V7P,2E37	Substrate+Cofactor
1.1.1.270	Q04828	Homo sapiens	-	1MRQ,3C3U,3NTY,3GUG,6IJX,6A7A,4YVP	Substrate+Cofactor
1.1.1.28	A0A0M3KL04	Sporolactobacillus inulinus	-	4XKJ	Cofactor only
1.1.1.28	P26297	Lactobacillus delbrueckii subsp. bulgaricus	-	1J49	Cofactor only
1.1.1.28	P30901	Lactobacillus helveticus	2DLD	-	Substrate+Cofactor
1.1.1.28	Q8RG11	Fusobacterium nucleatum subsp. nucleatum	-	5Z21	Substrate+Cofactor
1.1.1.28	Q9I530	Pseudomonas aeruginosa	-	5Z20	Substrate+Cofactor
1.1.1.282	P0A6D5	Escherichia coli	-	1VI2,1NPD,1O9B	Substrate+Cofactor
1.1.1.282	Q88JP1	Pseudomonas putida	-	4K28	Cofactor only
1.1.1.286	Q5JFV8	Thermococcus kodakarensis	-	5HN3,5HN6,5HN5,5HN4	Substrate only
1.1.1.286	Q72IW9	Thermus thermophilus	-	4YB4	Substrate+Cofactor
1.1.1.292	Q2I8V6	Ensifer adhaerens	-	2GLX	Cofactor only
1.1.1.3	O58802	Pyrococcus horikoshii	-	4XB2	Substrate+Cofactor
1.1.1.3	Q5SL04	Thermus thermophilus	-	6A0T,6A0U,6A0S	Substrate+Cofactor
1.1.1.30	D0VWQ0	Alcaligenes faecalis	3VDR	5B4T,3W8E,3W8D,3W8F,5B4U,5B4V	Substrate+Cofactor
1.1.1.30	Q5KST5	Pseudomonas fragi	-	2ZTL,2ZTM	Substrate+Cofactor
1.1.1.30	Q9AE70	Pseudomonas putida	-	2Q2V,2Q2Q	Cofactor only
1.1.1.307	O74237	Yamadazyma tenuis	-	1MI3,1K8C,1R38,1SM9,1YE6,1YE4,1Z9A	Cofactor only
1.1.1.307	P31867	Scheffersomyces stipitis	-	5Z6T	Cofactor only
1.1.1.31	P9WNY5	Mycobacterium tuberculosis	-	5Y8L,5Y8M,5Y8O,5Y8H,5Y8N	Substrate+Cofactor
1.1.1.313	D3U1D9	Klebsiella oxytoca	-	6IXJ	Substrate only
1.1.1.317	Q3L181	Rauvolfia serpentina	-	3V0S,3UYI,3V0T	Substrate only
1.1.1.320	A0A0H4SN47	Ogataea glucozyma	-	6YC8	Substrate+Cofactor
1.1.1.335	Q7NQL0	Chromobacterium violaceum	-	3Q2I	Substrate+Cofactor
1.1.1.337	P14295	Weissella confusa	-	1HYH	Cofactor only
1.1.1.343	A9H324	Gluconacetobacter diazotrophicus	6VPB	-	Substrate only
1.1.1.345	Q1GAA2	Lactobacillus delbrueckii subsp. bulgaricus	-	2YQ5	Cofactor only
1.1.1.35	Q0KEY8	Cupriavidus necator	-	4PZE	Substrate only
1.1.1.35	Q99714	Homo sapiens	-	2O23,1U7T,7ONU	Cofactor only
1.1.1.350	P77555	Escherichia coli	-	1XRH	Substrate only
1.1.1.357	P17516	Homo sapiens	-	2FVL	Cofactor only
1.1.1.357	P80702	Comamonas testosteroni	1FK8	-	Cofactor only
1.1.1.359	O93715	Saccharolobus solfataricus	-	2CDC,2CDB	Substrate+Cofactor
1.1.1.363	P11411	Leuconostoc mesenteroides	-	1E7Y	Substrate+Cofactor
1.1.1.368	O87871	Thauera aromatica	-	7QUL	Substrate only
1.1.1.369	Q9WYP5	Thermotoga maritima	-	3EZY	Substrate only
1.1.1.37	A0A088E2H7	Metallosphaera sedula	-	6IHE,6IHD	Substrate+Cofactor
1.1.1.37	A0A0U3FQH7	Ignicoccus islandicus	-	6QSS	Substrate only
1.1.1.37	P61889	Escherichia coli	-	1EMD,1IE3	Substrate+Cofactor
1.1.1.37	P93819	Arabidopsis thaliana	-	5NUE,5NUF	Substrate+Cofactor
1.1.1.37	P9WK13	Mycobacterium tuberculosis	-	5KVV	Substrate+Cofactor
1.1.1.37	Q07841	Haloarcula marismortui	1O6Z	2X0R,1HLP	Cofactor only
1.1.1.37	Q6VVP7	Plasmodium falciparum	6R8G	-	Substrate+Cofactor
1.1.1.37	Q84FY8	Methylorubrum extorquens	-	5UJK	Cofactor only
1.1.1.370	K7ZP76	Paracoccus laeviglucosivorans	-	6KTK,6KTL,5YAP,5YAQ,5YA8	Substrate+Cofactor
1.1.1.373	P0A9V8	Escherichia coli	-	6SMY	Substrate+Cofactor
1.1.1.376	Q53TZ2	Azospirillum brasilense	-	7CGQ	Substrate+Cofactor
1.1.1.38	P23368	Homo sapiens	-	1PJ3,1QR6,1DO8,1PJ2,7BSJ,1EFK,1EFL,7XDF,7XDG,1PJL	Substrate+Cofactor
1.1.1.38	P26616	Escherichia coli	-	1PJ2	Apo only
1.1.1.381	Q05016	Saccharomyces cerevisiae	-	3RKU	Cofactor only
1.1.1.383	D0WGK0	Slackia exigua	-	4KQW,4KQX	Substrate+Cofactor
1.1.1.383	P05793	Escherichia coli	-	3ULK	Substrate+Cofactor
1.1.1.387	Q9I5I6	Pseudomonas aeruginosa	-	3Q3C	Substrate+Cofactor
1.1.1.395	P19337	[Clostridium] scindens	-	4IS3	Substrate+Cofactor
1.1.1.40	P48163	Homo sapiens	-	7X11	Substrate+Cofactor
1.1.1.408	P58718	Salmonella enterica subsp. enterica serovar Typhimurium	-	2HI1	Substrate only
1.1.1.41	Q8GAX0	Acidithiobacillus thiooxidans	-	2D4V	Substrate+Cofactor
1.1.1.42	O75874	Homo sapiens	-	4UMX,6BKZ,3INM,7PJM,6VEI,4L03,6U4J,6BL0,6PAY,6IO0,5TQH,4KZO,5DE1,4L06,6B0Z,5SVF,8BAY,1T0L,7PJN,5SUN,6O2Z,6VG0,5L57,5LGE,6O2Y,3MAP,4L04,6ADG,5L58,4XRX,3MAS,4XS3,4I3L,4I3K	Substrate+Cofactor
1.1.1.42	P08200	Escherichia coli	1BL5,1IDE	4AJA,1AI2,1AI3,4AJ3,4AJB,1HJ6,4AJR	Substrate+Cofactor
1.1.1.42	P33198	Sus scrofa	-	1LWD	Substrate only
1.1.1.42	P48735	Homo sapiens	-	5I95,4JA8,5I96,5SVO,6ADI,6VFZ,5SVN	Substrate+Cofactor
1.1.1.42	P54071	Mus musculus	-	5H3E,5H3F	Substrate only
1.1.1.42	P9WKL1	Mycobacterium tuberculosis	-	4HCX	Cofactor only
1.1.1.42	Q6AQ66	Desulfotalea psychrophila	-	4AOV	Substrate+Cofactor
1.1.1.422	A0A545BBS8	Arthrobacter sp.	-	6QHE	Substrate only
1.1.1.433	A0A0A7I0A5	Bifidobacterium catenulatum subsp. kashiwanohense	-	6JKP	Substrate only
1.1.1.44	P00349	Ovis aries	-	1PGN	Substrate+Cofactor
1.1.1.44	P52209	Homo sapiens	-	4GWK,5UQ9	Substrate only
1.1.1.44	Q8IKT2	Plasmodium falciparum	-	6FQY	Substrate+Cofactor
1.1.1.47	P40288	Priestia megaterium	-	1GEE,1GCO,1G6K,1RWB	Cofactor only
1.1.1.49	P11413	Homo sapiens	-	7SNI,7UAL,1QKI	Substrate+Cofactor
1.1.1.49	Q1WBU6	Trypanosoma cruzi	6D24	-	Substrate only
1.1.1.50	Q59718	Pseudomonas sp. B-0831	-	2DKN	Cofactor only
1.1.1.53	P9WGT1	Mycobacterium tuberculosis	-	1NFR,1NFQ	Substrate+Cofactor
1.1.1.54	Q9SLN8	Nicotiana tabacum	-	4HFN	Substrate+Cofactor
1.1.1.6	P32816	Geobacillus stearothermophilus	-	1JQ5	Cofactor only
1.1.1.62	O93874	Curvularia lunata	-	4FJ0,4FJ1,3QWI,4FJ2,3QWH	Substrate+Cofactor
1.1.1.62	Q9BPX1	Homo sapiens	6H0M,6ZR6,6ZRA,6ZDE,6ZT2,6GBT,6ZDI	5O6X,6G4L,5O6O,5O43,5EN4,5O6Z,5O7C,6GTB,6FFB,6QCK,5ICM,5L7W,5O42,5JSF,5O72,5L7Y,5L7T,5JS6,5HS6,6GTU,6EMM	Substrate+Cofactor
1.1.1.67	O08355	Pseudomonas fluorescens	-	1LJ8,1M2W	Substrate+Cofactor
1.1.1.67	Q4WQY4	Aspergillus fumigatus	-	7RK5	Cofactor only
1.1.1.76	Q48436	Klebsiella pneumoniae	-	1GEG	Substrate+Cofactor
1.1.1.8	P21695	Homo sapiens	-	6PYP,6E90,6E8Z,1WPQ	Substrate+Cofactor
1.1.1.81	F8AEA4	Pyrococcus yayanosii	-	6BII	Substrate+Cofactor
1.1.1.81	Q8U3Y2	Pyrococcus furiosus	-	5AOV	Substrate+Cofactor
1.1.1.85	D2YZL2	Shewanella benthica	3VML	3VMK	Substrate only
1.1.1.85	P93832	Arabidopsis thaliana	-	5J32	Substrate only
1.1.1.85	Q4JB37	Sulfolobus acidocaldarius	-	4Y1P	Substrate only
1.1.1.85	Q5SIY4	Thermus thermophilus	2Y42	4F7I,4WUO,2ZTW	Substrate+Cofactor
1.1.1.85	Q8E9N3	Shewanella oneidensis	3VML	3WZY,3VMJ,3VL3,3WZW,3VKZ,3VL4,3WZV,3WZX,3VL2,3VL6,3VL7	Substrate only
1.1.1.86	C8WR67	Alicyclobacillus acidocaldarius subsp. acidocaldarius	-	4TSK	Substrate+Cofactor
1.1.1.86	Q04M32	Streptococcus pneumoniae	-	6L2I,6L2Z	Cofactor only
1.1.1.86	Q2FWK4	Staphylococcus aureus	-	6AQJ,5W3K,6VO2,6C5N,6BUL,6C55	Substrate+Cofactor
1.1.1.86	Q4J8K9	Sulfolobus acidocaldarius	-	5YEQ	Substrate only
1.1.1.86	Q57179	Corynebacterium glutamicum	-	6JX2	Substrate+Cofactor
1.1.1.9	Q8GR61	Gluconobacter oxydans	-	1ZEM	Cofactor only
1.1.1.91	C0IR58	Ralstonia sp.	-	6IHI,6IHH	Substrate+Cofactor
1.1.1.95	O43175	Homo sapiens	-	2G76,7DKM,6CWA,5N6C	Substrate+Cofactor
1.1.1.95	P0A9T0	Escherichia coli	-	1SC6,1YBA,2P9C,2P9E,2PA3,1PSD,2P9G	Substrate+Cofactor
1.1.1.95	P9WNX3	Mycobacterium tuberculosis	-	1YGY,3DDN,3DC2	Substrate only
1.1.1.95	Q76KF5	Entamoeba histolytica	-	4NJO	Substrate+Cofactor
1.1.2.3	P00175	Saccharomyces cerevisiae	-	1KBI,1FCB,1KBJ,1LTD,1SZF,2OZ0,1LCO,1LDC,1SZE	Substrate+Cofactor
1.1.2.7	A3FJ49	Methylophaga aminisulfidivorans	-	5SV6	Substrate only
1.1.3.10	Q6QWR1	Phanerodontia chrysosporium	-	4MIG,4MIH	Substrate+Cofactor
1.1.3.10	Q7ZA32	Trametes ochracea	1TT0	3PL8,4MOR,4MOQ,4MOO,3K4C,3LSM,3K4L,4MOS,4MOF,4MOM,4MOI,4MOK,2IGO,3LSK,4MOL,4MOG,4MOE,4MOJ,4MOH,3K4M,4MOP	Substrate+Cofactor
1.1.3.12	Q5NT46	Mesorhizobium loti	-	4HA6	Substrate+Cofactor
1.1.3.13	E3QHV8	Colletotrichum graminicola	-	5C92	Substrate only
1.1.3.13	P04842	Komagataella pastoris	5I68	-	Cofactor only
1.1.3.13	Q7X2H8	Arthrobacter globiformis	2JBV	4MJW	Substrate+Cofactor
1.1.3.13	T2M2J4	Phanerodontia chrysosporium	-	6H3O,6H3G	Cofactor only
1.1.3.15	Q07523	Rattus norvegicus	-	3SGZ,1TB3	Substrate+Cofactor
1.1.3.15	Q9UJM8	Homo sapiens	-	6GMC,5QIF,5QIH,5QIC,5QIE,2NZL,6GMB,7R4P,5QIG,5QID,5QIB,7R4O,6W44,2RDU,6W45,7R4N,6W4C,2RDT,7M2O,2W0U	Substrate+Cofactor
1.1.3.2	Q44467	Aerococcus viridans	2E77,2DU2,2J6X	7F20,7F1Y,7F21,7F22,2NLI,4RJE,2ZFA,4YL2,5EBU	Substrate only
1.1.3.38	E4QP00	Methylovorus sp. MP688	-	4UDQ,4UDR	Substrate+Cofactor
1.1.3.38	P56216	Penicillium simplicissimum	1W1K,1W1J,1W1L,1E0Y,2VAO,1DZN,1W1M,1AHV,1AHZ	1E8G,1QLU	Substrate+Cofactor
1.1.3.38	Q0SBK1	Rhodococcus jostii	5FXD,5FXE,5FXF,5FXP	7YWV,7YWU	Substrate+Cofactor
1.1.3.4	P13006	Aspergillus niger	5NIT,1CF3	3QVP,3QVR,5NIW,1GAL	Substrate+Cofactor
1.1.3.4	P81156	Penicillium amagasakiense	1GPE	-	Substrate+Cofactor
1.1.3.41	Q9ZBU1	Streptomyces coelicolor	-	2VFS,2VFT,2VFU	Substrate+Cofactor
1.1.3.46	O52792	Amycolatopsis orientalis	-	5ZZR,5ZZQ,6A1A,5ZZT,6A0V,6A24,5ZZS,6A1N,5ZZZ,6A11,6A1B,5ZZX,5ZZY,6A08,6A19,6A0O,6A00,6A0B,6A0D,6A0Y,6A0M,6A0G,6A01	Substrate+Cofactor
1.1.3.47	E3Q9X3	Colletotrichum graminicola	6STX,6RYV,6RYW,6RYX	-	Substrate only
1.1.3.47	O94219	Pleurotus eryngii	-	5OC1	Substrate+Cofactor
1.1.3.6	P12676	Streptomyces sp.	1MXT,1N4U,2GEW	5KWF	Substrate+Cofactor
1.1.3.6	P22637	Brevibacterium sterolicum	-	1COY	Substrate+Cofactor
1.1.3.7	G2PZJ2	Thermothelomyces thermophilus	-	6O9N	Substrate+Cofactor
1.1.3.9	P0CS93	Fusarium graminearum	2WQ8	6XLR,1K3I,1GOF,6XLS,2EIE,2EIC	Substrate only
1.1.5.2	P13650	Acinetobacter calcoaceticus	-	1CRU,1CQ1	Substrate+Cofactor
1.1.5.2	Q8ZUN8	Pyrobaculum aerophilum	-	3A9H	Cofactor only
1.1.5.5	Q88JH0	Pseudomonas putida	-	6ZCW,6ZCV	Substrate only
1.1.5.9	B8MX95	Aspergillus flavus	-	4YNU	Substrate+Cofactor
1.1.99.18	A9XK88	Thermothelomyces myriococcoides	-	4QI3,4QI5,4QI4,4QI6	Substrate+Cofactor
1.1.99.18	Q01738	Phanerodontia chrysosporium	1KDG,1NAA,1D7B,1D7C,1D7D	1PL3	Substrate+Cofactor
1.1.99.29	Q3L245	Leucoagaricus meleagris	-	4H7U	Substrate+Cofactor
1.1.99.31	P20932	Pseudomonas putida	-	2A7P,6BFG,2A85	Substrate+Cofactor
1.1.99.38	Q8G907	Niallia circulans	-	4M7T,4M7S	Substrate only
1.10.3.2	A0A0M4FJ81	Streptomyces griseoflavus	5O4Q,5O3K	7PUH,6ZIJ,7PES,6S0O,6RH9,7PTM,6FC7,5MKM,5LHL,6ZIP,6FDJ	Substrate only
1.10.3.2	J9S5G3	Streptomyces viridochromogenes	-	4N8U	Substrate only
1.10.3.2	P36649	Escherichia coli	-	3UAD,3OD3,3UAB,3UAE,3UAC,1KV7,4HAL,4HAK,5B7E,5B7F,7F0V,1PF3,2YXW,3QQX,4NER,3UAA,1N68,7F19,3NT0,2YXV,4EF3,2FQE,3PAU,3NSD,2FQF,3NSY,2FQG,2FQD	Substrate only
1.10.3.2	Q70KY3	Melanocarpus albomyces	1GW0	2Q9O,3FU7,3FU8,3QPK,2IH8,2IH9,3FU9,3DKH	Substrate only
1.10.3.2	Q72HW2	Thermus thermophilus	2XU9,5G3B,5G3E,5G3D,5G3F,5AFA	5K3K,6WCM,6WCL,6WCH,6WCG,6W9X,6WCN,6WCP,2XVB,6Q29,2XUW,2YAM,2YAQ,2YAH,2YAF,2YAE,2YAP,2YAO,2YAR,6TYR,5JRR,6W2K	Substrate only
1.10.3.2	Q96UT7	Trametes versicolor	1KYA	-	Substrate only
1.10.3.2	Q9UVQ2	Trametes cinnabarina	2XYB	-	Substrate only
1.11.1.1	P37062	Enterococcus faecalis	1JOA	1NHS,1NPX,2NPX,1F8W	Substrate+Cofactor
1.11.1.10	P04963	Leptoxyphium fumago	2CIW,2CIZ,2CJ2,2CIY,2CJ1,2CJ0,2J19,2J5M,2CIV,2CIX,1CPO,2CPO	7RST,2J18	Substrate+Cofactor
1.11.1.12	P36969	Homo sapiens	7L8Q,6HKQ	6HN3,5H5Q,5H5R,6ELW,7L8K,7L8R,7U4N,7L8L,7U4K,7U4J,5H5S,7U4M,7U4I,7U4L	Substrate only
1.11.1.14	Q0SE24	Rhodococcus jostii	-	4HOV,3QNR,3VEE	Substrate+Cofactor
1.11.1.14	Q60FD2	Trametopsis cervina	-	3Q3U	Cofactor only
1.11.1.16	O94753	Pleurotus eryngii	3FJW	3FMU,3FM6,3FM1,3FKG,3FM4,4G05	Substrate+Cofactor
1.11.1.16	Q9UR19	Pleurotus eryngii	-	4BLK,4BLL,4BLN,4BLX,4BLY,4BLZ,4BM0	Cofactor only
1.11.1.19	A0A2P1C6N4	Irpex lacteus	-	7D8M	Substrate+Cofactor
1.11.1.19	D1A807	Thermomonospora curvata	-	7RMU	Substrate+Cofactor
1.11.1.19	I2DBY1	Auricularia auricula-judae	5AG0,4AU9,4UZI	-	Substrate+Cofactor
1.11.1.19	K7N5M8	Amycolatopsis sp.	-	4G2C	Cofactor only
1.11.1.19	P39597	Bacillus subtilis	-	7E5Q,6KMM,7DLK,6KMN	Substrate+Cofactor
