EC_number	UniProt_ID	Organism_name	Substrate_only	Cofactor_only	Substrate+Cofactor	Apo_structures
1.1.1.100	P14697	Cupriavidus necator	4N5M_A,4N5M_B,3VZP_A,3VZP_B,3VZP_C,3VZP_D	4N5N_A,4N5N_B	3VZS_A,3VZS_B,3VZS_C,3VZS_D	3VZQ_A,3VZQ_B,3VZR_B,3VZR_A,4N5L_A,4N5L_B
1.1.1.100	P35731	Saccharomyces cerevisiae	-	4FDA_A,4HBG_A	-	4FD3_A,4FD3_B,4FD3_C,4FD3_D,4FD3_E,4FD3_F
1.1.1.100	P71534	Mycolicibacterium smegmatis	-	5OVL_A,5OVL_B,5OVL_C,5OVL_D,5OVK_A,5OVK_B,5OVK_C,5OVK_D	-	5OVJ_A,5OVJ_B
1.1.1.103	D6PBM7	uncultured archaeon	-	5Y1F_A	5Y1G_A,5Y1E_A	5Y1D_A,5Y1D_B
1.1.1.103	O58389	Pyrococcus horikoshii	-	-	2D8A_A,2DFV_A,2DFV_B,2DFV_C	-
1.1.1.103	Q8K3F7	Mus musculus	-	4YRB_A,4YRB_B,4YRB_C,4YRB_D,4YRB_E,4YRB_F,4YR9_A,4YR9_B,4YR9_C,4YR9_D,4YR9_E,4YR9_F	-	4YRA_A,4YRA_B,4YRA_C,4YRA_D,4YRA_E,4YRA_F,4YRA_G,4YRA_H,4YRA_I,4YRA_J,4YRA_K,4YRA_L
1.1.1.103	Q97BK3	Thermoplasma volcanium	-	3A1N_A,3A1N_B	3A9W_A,3A9W_B,3A4V_A,3A4V_B,3AJR_A,3AJR_B	-
1.1.1.119	Q96ZY1	Sulfurisphaera tokodaii	3GF2_A	-	-	2YR2_A,2YR2_B,2EB7_A,3GEZ_A,3GFL_A,3GFM_A,2GXG_A,3GFJ_A,3GFI_A,3GFI_C,3GFI_D,3GFI_E
1.1.1.12	Q7SI09	Neurospora crassa	-	3M6I_A,3M6I_B	-	-
1.1.1.121	Q5SLC4	Thermus thermophilus HB8	-	2D1Y_A,2D1Y_B,2D1Y_C,2D1Y_D	-	-
1.1.1.140	D4I194	Erwinia amylovora	-	-	-	5O3Z_A,5O3Z_B,5O3Z_C,5O3Z_D,5O3Z_E,5O3Z_F,5O3Z_G,5O3Z_H,5O3Z_I,5O3Z_J,5O3Z_K,5O3Z_L
1.1.1.149	A7A7R9	Bifidobacterium adolescentis	6M9U_A,6M9U_B	6OW4_A,6OW4_B,6OW4_C,6OW4_D,6OW4_E,6OW4_F,6OW4_G,6OW4_H	-	-
1.1.1.159	G9FRD7	Clostridium sardiniense	-	-	5EPO_A,5EPO_B,5EPO_C,5EPO_D	-
1.1.1.169	A0A0J9X283	Staphylococcus aureus	-	4YCA_A,4YCA_B	-	-
1.1.1.169	P0A9J4	Escherichia coli	1YON_A	1YJQ_A	2OFP_A,2OFP_B	1KS9_A
1.1.1.169	Q5JGC2	Thermococcus kodakarensis	5AYV_B	5HWS_A,5HWS_B,5HWS_C,5HWS_D,5AYV_A	-	-
1.1.1.179	Q9TQS6	Macaca fascicularis	2O4U_X,2O48_X,3OHS_X,2POQ_X	-	-	-
1.1.1.18	P26935	Bacillus subtilis	3MZ0_A,3NTO_A	3NTQ_A,3NTQ_B,3NT2_A,3NT2_B,4L8V_B	4L8V_A,4L8V_C,4L8V_D,3NT5_A,3NT5_B,3NT4_A,3NT4_B,3NTR_A,3NTR_B	4L9R_A
1.1.1.184	B2KJ46	Candida parapsilosis	3CTM_A,3CTM_B,3CTM_D,3CTM_E,3CTM_F,3CTM_G,3CTM_H	-	-	3CTM_C
1.1.1.184	F1N9C1	Gallus gallus	-	3WXB_B	3WXB_A	-
1.1.1.184	O75828	Homo sapiens	-	2HRB_A	-	-
1.1.1.184	P16152	Homo sapiens	-	3BHI_A	3BHM_A,3BHJ_A,1WMA_A,2PFG_A,4Z3D_A,4Z3D_B,4Z3D_C,4Z3D_D	-
1.1.1.184	Q28960	Sus scrofa	-	1N5D_A	-	-
1.1.1.184	Q5FQJ0	Gluconobacter oxydans	-	-	-	3N2T_A
1.1.1.184	Q5FT75	Gluconobacter oxydans	-	3WBY_A,3WBY_B,3WBW_A,3WBW_B	-	3WBX_A,3WBX_B
1.1.1.184	Q9X265	Thermotoga maritima	6KIK_A	5DAN_A	6KIY_A,6KY6_A,6KY6_B	-
1.1.1.184	Q9Y8Y1	Aeropyrum pernix	-	5B1Y_A,5B1Y_B	-	-
1.1.1.188	P42330	Homo sapiens	-	5HNU_A,1S1R_A,1S1P_A	3UGR_A,3R94_A,4DZ5_A,7C7H_A,7C7H_B,4FA3_A,1S2C_A,7WQS_A,7WQS_B,7X3O_A,7X3O_B,3R7M_A,4FAL_A,4DBS_A,4DBS_B,1S2A_A,6F78_A,6F78_B,4XVD_A,4XVD_B,4YVV_A,4YVV_B,7C7F_A,7C7F_B,3UWE_A,3UFY_A,4WDT_A,6A7B_A,6A7B_B,5HNU_C,7X3M_A,7X3M_B,4DBW_A,4DBW_B,8BBS_B,8BBS_A,4FAM_A,4FAM_B,3R43_A,4HMN_A,7C7G_A,7C7G_B,2F38_A,6GXK_A,6GXK_B,4WRH_A,4YVX_A,4YVX_B,3R8G_A,4XVE_A,2FGB_A,7WQR_A,7WQR_B,6F2U_A,6F2U_B,1ZQ5_A,7X3L_A,7X3L_B,1XF0_A,4WDW_A,4WDW_B,4ZFC_A,4ZFC_B,1RY8_A,1RY8_B,3R58_A,5HNT_A,5HNT_C,3R8H_A,1RY0_A,1RY0_B,4WDU_A,4WDX_A,4WDX_B,4H7C_A,7WQM_A,7WQM_B,4DBU_A,4DBU_B,3UG8_A,3R6I_A	-
1.1.1.195	C5XC49	Sorghum bicolor	-	-	5VKT_A	5VKT_B
1.1.1.195	O49482	Arabidopsis thaliana	-	2CF6_A	-	2CF5_A
1.1.1.198	A0A1B3EB36	Pseudomonas sp.	-	-	-	6M5N_A
1.1.1.2	C6A190	Thermococcus sibiricus	3L77_A,3TN7_A,3TN7_B	-	-	-
1.1.1.202	Q59477	Klebsiella pneumoniae	-	-	-	3BFJ_A,3BFJ_B,3BFJ_C,3BFJ_D,3BFJ_E,3BFJ_F,3BFJ_G,3BFJ_H,3BFJ_I,3BFJ_J,3BFJ_K,3BFJ_L,3BFJ_M,3BFJ_N,3BFJ_O,3BFJ_P,3BFJ_Q,3BFJ_R,3BFJ_S,3BFJ_T
1.1.1.202	Q7WRJ3	Klebsiella pneumoniae	-	-	-	3BFJ_A,3BFJ_B,3BFJ_C,3BFJ_D,3BFJ_E,3BFJ_F,3BFJ_G,3BFJ_H,3BFJ_I,3BFJ_J,3BFJ_K,3BFJ_L,3BFJ_M,3BFJ_N,3BFJ_O,3BFJ_P,3BFJ_Q,3BFJ_R,3BFJ_S,3BFJ_T
1.1.1.203	Q1QUN7	Chromohalobacter salexigens	6MFH_A	-	-	3AY3_A,3AY3_B,3AY3_C,3AY3_D
1.1.1.203	Q7CRQ0	Agrobacterium tumefaciens	-	3RFX_A,3RFX_B,3RFX_C	3RFV_A,3RFV_B,3RFV_C	3RFT_A,3RFT_B,3RFT_C
1.1.1.205	A0A2R4D3F6	Campylobacter jejuni	6MGR_A,6MGR_B,6MGR_C,6MGR_D	-	-	-
1.1.1.205	A0A6L8P2U9	Bacillus anthracis	7MTX_A,7MTX_B,7MTX_C,7MTX_D,7MTX_E,7MTX_F,7MTX_G,7MTX_H,3USB_A,3USB_B,4MYA_A,4MYA_B,7MTU_A,7MTU_B,7MTU_C,7MTU_D,7MTU_E,7MTU_F,7MTU_G,7MTU_H,5UUZ_A,5UUZ_B,5UUZ_C,5UUZ_D,5UUZ_E,5UUZ_F,5UUZ_G,5UUZ_H,4MY9_A,4MY9_B,4MY9_C,4MY9_D,4MY9_E,4MY9_F,4MY9_G,4MY9_H,4MY8_A,4MY8_B,4MY8_C,4MY8_D,4QM1_A,4QM1_B,4QM1_C,4QM1_D,3TSD_A,3TSD_B,4MYX_A,4MYX_B,4MYX_C,4MYX_D,4MYX_E,4MYX_F,4MYX_G,4MYX_H,4MJM_A,4MJM_B,4MJM_C,4MJM_D,5UUV_A,5UUV_B,5UUV_C,5UUV_D,5URS_A,5URS_B,5URS_C,5URS_D,5URS_E,5URS_F,5URS_G,5URS_H,6MGU_A,6MGU_B,4MY1_A,4MY1_B,4MY1_C,4MY1_D,4MY1_E,4MY1_F,4MY1_G,4MY1_H	-	-	3TSB_A,3TSB_B
1.1.1.205	P0C0H6	Streptococcus pyogenes	1ZFJ_A	-	-	-
1.1.1.205	P12268	Homo sapiens	1NF7_A,1NF7_B,6UDO_A,6UDO_B,6UDO_C,6UDO_D,6UDO_E,6UDO_F,6UDO_G,6UDO_H,6I0M_A,6I0M_B,6I0O_A,6I0O_B,6UDP_A,6UDP_B,6UDP_C,6UDP_D,6UDP_E,6UDP_F,6UDP_G,6UDP_H,6UDQ_A,6UDQ_E,6UDQ_B,6UDQ_F,6UDQ_C,6UDQ_G,6UDQ_D,6UDQ_H,6UC2_A,6UC2_B,6UC2_C,6UC2_D,6UC2_E,6UC2_F,6UC2_G,6UC2_H	-	1NFB_A,1NFB_B,8FUZ_A,8FUZ_B,8FUZ_C,8FUZ_D,8FUZ_E,8FUZ_F,8FUZ_G,8FUZ_H,8G9B_A,8G9B_B,8G9B_C,8G9B_D,8G9B_E,8G9B_F,8G9B_G,8G9B_H,6U8N_A,6U8N_B,6U8N_C,6U8N_D,6U8N_E,6U8N_F,6U8N_G,6U8N_H,1B3O_A,1B3O_B,6U9O_A,6U9O_B,6U9O_C,6U9O_D,6U9O_E,6U9O_F,6U9O_G,6U9O_H,6U8S_A,6U8S_B,6U8S_C,6U8S_D,6U8S_E,6U8S_F,6U8S_G,6U8S_H,6UA5_A,6UA5_B,6UA5_C,6UA5_D,6UA5_E,6UA5_F,6UA5_G,6UA5_H,8FOZ_A,8FOZ_B,8FOZ_C,8FOZ_D,8FOZ_E,8FOZ_F,8FOZ_G,8FOZ_H,6UA2_A,6UA2_B,6UA2_C,6UA2_D,6UA2_E,6UA2_F,6UA2_G,6UA2_H,8G8F_A,8G8F_B,8G8F_C,8G8F_D,8G8F_E,8G8F_F,8G8F_G,8G8F_H,6UAJ_A,6UAJ_B,6UAJ_C,6UAJ_D,6UAJ_E,6UAJ_F,6UAJ_G,6UAJ_H,6U8E_A,6U8E_B,6U8E_C,6U8E_D,6U8E_E,6U8E_F,6U8E_G,6U8E_H,6U8R_A,6U8R_B,6U8R_C,6U8R_D,6U8R_E,6U8R_F,6U8R_G,6U8R_H,6UA4_A,6UA4_B,6UA4_C,6UA4_D,6UA4_E,6UA4_F,6UA4_G,6UA4_H	6UDO_I,6UDO_J,6UDO_K,6UDO_L,6UDO_M,6UDO_N,6UDO_O,6UDO_P,6U8N_I,6U8N_J,6U8N_K,6U8N_L,6U8N_M,6U8N_N,6U8N_O,6U8N_P,6U9O_I,6U9O_J,6U9O_K,6U9O_L,6U9O_M,6U9O_N,6U9O_O,6U9O_P,6UA2_M,6UA2_N,6UA2_O,6UA2_P,6UA2_I,6UA2_J,6UA2_K,6UA2_L,6UDQ_I,6UDQ_J,6UDQ_K,6UDQ_L,6U8R_M,6U8R_N,6U8R_O,6U8R_P,6U8R_I,6U8R_J,6U8R_K,6U8R_L,6UA4_M,6UA4_N,6UA4_O,6UA4_P,6UA4_I,6UA4_J,6UA4_K,6UA4_L
1.1.1.205	P20839	Homo sapiens	7RFH_A,7RFH_B,7RFH_C,7RFH_D,7RFH_E,7RFH_F,7RFH_G,7RFH_H,1JCN_A,1JCN_B,7RFG_A,7RFG_B,7RFG_C,7RFG_D,7RFG_E,7RFG_F,7RFG_G,7RFG_H,7RFE_A,7RFE_B,7RFE_C,7RFE_D,7RFE_E,7RFE_F,7RFE_G,7RFE_H	-	7RER_A,7RER_D,7RER_C,7RER_B,7RER_E,7RER_H,7RER_G,7RER_F,7RFI_A,7RFI_B,7RFI_C,7RFI_D,7RFI_E,7RFI_F,7RFI_G,7RFI_H,7RGD_A,7RGD_B,7RGD_C,7RGD_D,7RGD_E,7RGD_F,7RGD_G,7RGD_H,7RES_A,7RES_B,7RES_C,7RES_D,7RES_E,7RES_F,7RES_G,7RES_H,7RGI_A,7RGI_B,7RGI_C,7RGI_D,7RGI_E,7RGI_F,7RGI_G,7RGI_H,7RGL_A,7RGL_B,7RGL_C,7RGL_D,7RGL_E,7RGL_F,7RGL_G,7RGL_H,7RGM_A,7RGM_B,7RGM_C,7RGM_D,7RGM_E,7RGM_F,7RGM_G,7RGM_H,7RGQ_A,7RGQ_B,7RGQ_C,7RGQ_D,7RGQ_E,7RGQ_F,7RGQ_G,7RGQ_H	7RFF_A,7RFF_B,7RFF_C,7RFF_D,7RFF_E,7RFF_F,7RFF_G,7RFF_H
1.1.1.205	P9WKI7	Mycobacterium tuberculosis	4ZQP_A,4ZQO_A,5UPU_A,4ZQN_A,5UPV_A,4ZQR_A,4ZQR_B,4ZQR_C,4ZQR_D	-	4ZQM_A	-
1.1.1.205	Q756Z6	Eremothecium gossypii	5TC3_A,5TC3_B,6RPU_A,4Z0G_A,4Z0G_B,4XTI_A,4XTI_B,4Z87_A,4Z87_B,4Z87_C,4Z87_D,5MCP_A,5MCP_B,5MCP_C,5MCP_D,5MCP_E,5MCP_F,5MCP_G,5MCP_H,4XTD_A,4XTD_B	-	-	4XWU_A
1.1.1.205	Q8T6T2	Cryptosporidium parvum	4RV8_A,4RV8_B,4RV8_C,4RV8_D,4IXH_A,4IXH_B,4IXH_C,4IXH_D,4QJ1_A,4QJ1_B,4QJ1_C,4QJ1_D	-	-	3FFS_A,3FFS_B,3FFS_C,3FFS_D
1.1.1.205	P50097	Tritrichomonas foetus	1ME7_A,1ME8_A,1ME9_A,1MEH_A,1MEI_A,1PVN_A,1PVN_B,1PVN_C,1PVN_D	-	1LRT_A,1LRT_B,1LRT_C,1LRT_D,1MEW_A	1AK5_A
1.1.1.206	P50162	Datura stramonium	-	1AE1_A,1AE1_B	-	-
1.1.1.208	Q06ZW2	Mentha x piperita	-	5L53_A	-	5L51_A
1.1.1.209	Q91WR5	Mus musculus	2HE8_A,2HE8_B	2P5N_A,2P5N_B,2HE5_A,2HE5_B,2HE5_D	2IPG_A,2IPG_B,2HEJ_A,2HEJ_B,3CV6_A,3CV6_B,2HE5_C,2IPF_A,2IPF_B	3FJN_A,3FJN_B
1.1.1.21	A0A0M4HL56	Debaryomyces nepalensis	-	-	5ZCM_A	5ZCI_A,5ZCI_B
1.1.1.21	O60218	Homo sapiens	-	4GQG_A	4GA8_A,4XZN_X,5LIX_X,5M2F_X,4XZM_X,5LIK_X,4JII_X,4ICC_X,4GAB_A,4WEV_X,4I5X_A,5LIY_X,5LIU_X,1ZUA_X,4GQ0_A,4JIH_A,4XZL_X,5LIW_X,5Y7N_A	-
1.1.1.21	P15121	Homo sapiens	-	1ADS_A,3Q67_A,3Q67_B,2ACR_A,1ABN_A,3Q65_A,3Q65_B	3LZ3_A,2PZN_A,3M64_A,3M0I_A,3MB9_A,4Q7B_A,4YU1_A,6TUC_A,1PWL_A,4GCA_A,6TXP_A,2PDW_A,2PDM_A,4LB3_A,3LD5_A,2DV0_A,3DN5_A,6T5G_A,2FZ9_A,6SYW_A,2PD5_A,1AZ1_A,4IGS_A,4JIR_A,2IS7_A,4QX4_A,2ISF_A,2ACS_A,2FZ8_A,2I17_A,2PDB_A,5HA7_A,5HA7_B,8A4N_A,4NKC_A,2DUZ_A,2PDG_A,3S3G_A,3LQG_A,4PR4_A,2PDQ_A,2PDJ_A,6T27_A,2PF8_A,4LAZ_A,2PDN_A,2I16_A,3V35_A,2IQ0_A,4LB4_A,4PUU_A,4QR6_A,2INZ_A,6F7R_A,5OUK_A,5OUJ_A,2PDF_A,2IKJ_A,2J8T_A,6Y1P_A,2NVD_A,2FZD_A,2IPW_A,2DUX_A,3GHT_A,3T42_A,2IKG_A,3U2C_A,1Z3N_A,4LAU_A,6XUM_A,2IKI_A,4LBR_A,1X98_A,5OU0_A,3GHS_A,2PDX_A,1X96_A,2PFH_A,1X97_A,3G5E_A,1Z8A_A,4PUW_A,2PDY_A,2PDH_A,6T3P_A,6TUF_A,2FZB_A,1MAR_A,4LBS_A,3MC5_A,3RX3_A,2PDI_A,1EL3_A,4QXI_A,2R24_A,3BCJ_A,1EF3_A,1EF3_B,2PDL_A,2HVN_A,4GQ0_A,1IEI_A,2IKH_A,2PDC_A,6T7Q_A,6F8O_A,3LEN_A,3LQL_A,2QXW_A,4XZI_A,2PD9_A,3ONB_A,2PDU_A,3GHR_A,4XZH_A,4XZH_B,4PRT_A,2F2K_A,4QBX_A,4RPQ_A,2PDP_A,2NVC_A,1PWM_A,6TD8_A,2ACU_A,1T40_A,3GHU_A,2AGT_A,3LEP_A,2IQD_A,3P2V_A,1Z89_A,2ACQ_A,1T41_A,3RX2_A,2PEV_A,1AZ2_A,3LBO_A,6Y03_A,3LZ5_A,2HVO_A,3ONC_A,3V36_A,4PRR_A,6F81_A,6F82_A,2INE_A,2PDK_A,4YS1_A,3M4H_A,3RX4_A,1US0_A,2HV5_A,6F84_A	1XGD_A
1.1.1.213	P52895	Homo sapiens	-	-	1XJB_A,1XJB_B,4XO6_A,4XO6_B,4JQ4_A,4JQ4_B,2IPJ_A,2IPJ_B,4JTQ_A,4JTQ_B,4L1X_A,4L1X_B,4JTR_A,4JTR_B,4JQ3_A,4JQ3_B,2HDJ_A,2HDJ_B,4JQ1_A,4JQ1_B,4L1W_A,4L1W_B,4XO7_A,4XO7_B,1J96_A,1J96_B,4JQA_A,4JQA_B,4JQ2_A,4JQ2_B,1IHI_A,1IHI_B	-
1.1.1.22	C9E261	Burkholderia cepacia	2Y0C_A,2Y0C_B,2Y0C_C,2Y0C_D,2Y0E_A,2Y0E_B,2Y0E_C,2Y0E_D,2Y0D_A,2Y0D_B,2Y0D_C,2Y0D_D	-	-	-
1.1.1.22	O60701	Homo sapiens	6C5Z_B,5TJH_A,5TJH_B,5TJH_C,5TJH_D,5TJH_E,5TJH_F,5W4X_A,5W4X_B,5W4X_C,3ITK_A,3ITK_B,3ITK_C,3ITK_D,3ITK_E,3ITK_F,5VR8_A,5VR8_B,5VR8_C,5VR8_D,5VR8_E,5VR8_F,3KHU_A,3KHU_B,3KHU_C,3KHU_D,3KHU_E,3KHU_F,6C58_A,6C58_B,6C58_C,6C58_D,6C58_E,6C58_F,4EDF_A,4EDF_B,4EDF_C,4EDF_D	-	6C5Z_A,6C5Z_C,6C5Z_D,6C5Z_E,6C5Z_F,3PTZ_A,3PTZ_B,3PTZ_C,3PTZ_D,3PTZ_E,3PTZ_F,6C4J_A,6C4J_B,6C4J_C,6C4J_D,6C4J_E,6C4J_F,6C4J_G,6C4J_H,6C4J_I,6C4J_J,6C4J_K,6C4J_L,3TDK_A,3TDK_B,3TDK_G,3TDK_H,3TDK_L,3TDK_K,3TDK_F,3TDK_E,3TDK_D,3TDK_C,3TDK_J,3TDK_I,6C5A_A,6C5A_B,6C5A_C,6C5A_D,6C5A_E,6C5A_F,2QG4_A,2QG4_B,2QG4_C,2QG4_D,2QG4_E,2QG4_F,2QG4_G,2QG4_H,2Q3E_A,2Q3E_B,2Q3E_C,2Q3E_D,2Q3E_E,2Q3E_F,2Q3E_G,2Q3E_H,2Q3E_I,2Q3E_J,2Q3E_K,2Q3E_L,3PRJ_A,3PRJ_B,3PRJ_C,3PRJ_D,3PRJ_E,3PRJ_F	3TF5_A,3TF5_B,3TF5_C,6C4K_A,6C4K_B,6C4K_C,4RJT_A,4RJT_B,4RJT_C
1.1.1.22	Q0P8H3	Campylobacter jejuni subsp. jejuni	-	-	7KWS_A,7KWS_B	-
1.1.1.22	Q19905	Caenorhabditis elegans	6OM8_A,6OM8_B,6OM8_C,6OM8_D,6OM8_E,6OM8_F,6OM8_G,6OM8_H,6OM8_I,6OM8_J,6OM8_K,6OM8_L	-	-	2O3J_A,2O3J_B,2O3J_C
1.1.1.236	P50163	Datura stramonium	-	1IPE_A,1IPE_B	1IPF_A,1IPF_B,2AE2_A,2AE2_B	2AE1_A
1.1.1.24	Q9X5C9	Corynebacterium glutamicum	-	3JYO_A	3JYQ_A,3JYP_A	2NLO_A
1.1.1.247	Q9SQ68	Papaver somniferum	-	-	-	7MBF_A,7MBF_B,7MBF_C,7MBF_D,7MBF_E,7MBF_F
1.1.1.248	Q071N0	Papaver somniferum	-	3O26_A	-	-
1.1.1.25	O67049	Aquifex aeolicus	2HK9_A	-	2HK9_B,2HK9_C,2HK9_D	2HK7_A,2HK7_B,2HK8_A,2HK8_B,2HK8_C,2HK8_D,2HK8_E,2HK8_F,2HK8_G,2HK8_H
1.1.1.25	P07547	Aspergillus nidulans	1NVB_B,1NVF_A,1NVF_B,1NVF_C,1NVA_A,1NVA_B,1NVD_A,1NVD_B	1SG6_A,1SG6_B,1NRX_A,1NRX_B,1NVE_A,1NVE_B,1NVE_C,1NVE_D	1NVB_A,1DQS_A,1DQS_B,1NR5_A,1NR5_B	1NUA_A,1NUA_B
1.1.1.25	P15770	Escherichia coli	-	1NYT_B,1NYT_C,1NYT_D	1NYT_A	-
1.1.1.25	Q5HNV1	Staphylococcus epidermidis RP62A	3DOO_A	-	-	3DON_A
1.1.1.25	Q88IJ7	Pseudomonas putida	-	-	-	3PWZ_A
1.1.1.25	Q9SQT8	Arabidopsis thaliana	2GPT_A,6BMB_A,2O7Q_A,6BMQ_A	-	2O7S_A	-
1.1.1.25	Q88RQ5	Pseudomonas putida	-	-	-	4OMU_A,4OMU_B
1.1.1.261	A3MTM6	Pyrobaculum calidifontis	5FB3_B	5FB3_D,5FB3_E,5FB3_F	-	5FB3_A,5FB3_C
1.1.1.261	Q58122	Methanocaldococcus jannaschii	-	-	4RFL_A,4RFL_B,4RFL_C,4RFL_D,4RGQ_A,4RGQ_B,4RGQ_C,4RGQ_D	4RGV_A,4RGV_B
1.1.1.265	Q12068	Saccharomyces cerevisiae	-	4PVD_A,4PVD_B	-	4PVD_C,4PVD_D,4PVC_A,4PVC_B
1.1.1.267	P9WNS1	Mycobacterium tuberculosis	2Y1D_A,2Y1G_A,3ZHX_A,3ZI0_A,3ZHZ_A	4AIC_B,2JCX_B,2Y1F_B,2JD0_A,2JD1_A,2JCV_B	4AIC_A,2JCX_A,2Y1F_A,4OOF_A,4OOF_B,4RCV_A,4RCV_B,4A03_A,4A03_B,4OOE_A,4OOE_B,4OOE_C,4OOE_D,3ZHY_A,3ZHY_B,2JCV_A,3RAS_A,3RAS_B	2C82_A,2C82_B,2JD2_A,2JD2_B,2Y1D_B,2JCY_A,2JCY_B,2JD0_B,2Y1G_B,2Y1E_A,2Y1E_B,3ZHX_B,2Y1C_A,2Y1C_B,3ZI0_B,2JD1_B,3ZHZ_B
1.1.1.267	Q8ZH62	Yersinia pestis	-	5DUL_A,5DUL_B,5DUL_C,5DUL_D	-	-
1.1.1.267	Q9WZZ1	Thermotoga maritima	-	3A14_A,3A14_B	3A06_A,3A06_B	-
1.1.1.268	Q56840	Xanthobacter sp.	-	-	2CFC_A,2CFC_B,2CFC_C,2CFC_D	-
