EC_number	UniProt_ID	PDB_IDs	Organism_name
1.1.1.146	P28845	1XU9,5PGX,3FRJ,4IJU,2BEL,5PGY,3TFQ,2RBE,2IRW,4BB6,4IJV,5PGU,3FCO,3OQ1,3BYZ,3D4N,3QQP,4HX5,5QII,4C7J,4IJW,3EY4,4K1L,3HFG,3H6K,2ILT,5PGV,1XU7,4P38,4BB5,4C7K,3CH6,5PGW,3D5Q,3D3E,4YYZ,3CZR,3PDJ,4HFR,3BZU	Homo sapiens
1.1.1.149	A7A7R9	6M9U,6OW4	Bifidobacterium adolescentis
1.1.1.149	Q04828	6IJX,3NTY,6A7A,1MRQ,3GUG,3C3U,4YVP	Homo sapiens
1.1.1.159	G9FRD7	5EPO	Clostridium sardiniense
1.1.1.169	A0A0J9X283	4YCA	Staphylococcus aureus
1.1.1.169	P0A9J4	2OFP,1YJQ,1YON,1KS9	Escherichia coli
1.1.1.169	Q5JGC2	5HWS,5AYV	Thermococcus kodakarensis
1.1.1.17	D0C7J2	7OCP,7OCT,7OCR,7OCS,7OCU,7OCQ,7OCN	Acinetobacter baumannii
1.1.1.179	Q9TQS6	2O4U,2O48,3OHS,2POQ	Macaca fascicularis
1.1.1.18	P26935	3MZ0,3NTQ,3NTO,3NT2,4L8V,3NT5,4L9R,3NT4,3NTR	Bacillus subtilis
1.1.1.184	B2KJ46	3CTM	Candida parapsilosis
1.1.1.184	F1N9C1	3WXB	Gallus gallus
1.1.1.184	O75828	2HRB	Homo sapiens
1.1.1.184	P16152	3BHI,3BHM,3BHJ,1WMA,2PFG,4Z3D	Homo sapiens
1.1.1.184	Q28960	1N5D	Sus scrofa
1.1.1.184	Q5FQJ0	3N2T	Gluconobacter oxydans
1.1.1.184	Q5FT75	3WBX,3WBY,3WBW	Gluconobacter oxydans
1.1.1.184	Q9X265	6KIY,6KY6,6KIK,5DAN	Thermotoga maritima
1.1.1.184	Q9Y8Y1	5B1Y	Aeropyrum pernix
1.1.1.184	Q8WNV7	2ZAT	Sus scrofa
1.1.1.188	P15121	3LZ3,2PZN,3M64,3M0I,3MB9,4Q7B,4YU1,6TUC,1PWL,4GCA,6TXP,2PDW,2PDM,4LB3,3LD5,2DV0,3DN5,6T5G,2FZ9,6SYW,2PD5,1AZ1,4IGS,4JIR,2IS7,4QX4,2ISF,2ACS,2FZ8,2I17,2PDB,5HA7,8A4N,4NKC,2DUZ,2PDG,3S3G,3LQG,4PR4,2PDQ,2PDJ,1ADS,6T27,2PF8,4LAZ,2PDN,3Q67,2I16,3V35,2IQ0,4LB4,4PUU,4QR6,2INZ,6F7R,5OUK,5OUJ,2PDF,2IKJ,2J8T,6Y1P,2NVD,2FZD,2IPW,2DUX,3GHT,1XGD,3T42,2IKG,3U2C,1Z3N,4LAU,6XUM,2IKI,4LBR,1X98,5OU0,3GHS,2PDX,1X96,2PFH,1X97,3G5E,1Z8A,4PUW,2ACR,2PDY,2PDH,6T3P,6TUF,2FZB,1ABN,1MAR,4LBS,3MC5,3RX3,2PDI,1EL3,4QXI,2R24,3BCJ,1EF3,2PDL,2HVN,4GQ0,1IEI,2IKH,2PDC,6T7Q,6F8O,3LEN,3LQL,2QXW,4XZI,3Q65,2PD9,3ONB,2PDU,3GHR,4XZH,4PRT,2F2K,4QBX,4RPQ,2PDP,2NVC,1PWM,6TD8,2ACU,1T40,3GHU,2AGT,3LEP,2IQD,3P2V,1Z89,2ACQ,1T41,3RX2,2PEV,1AZ2,3LBO,6Y03,3LZ5,2HVO,3ONC,3V36,4PRR,6F81,6F82,2INE,2PDK,4YS1,3M4H,3RX4,1US0,2HV5,6F84	Homo sapiens
1.1.1.188	P42330	3UGR,3R94,4DZ5,7C7H,4FA3,1S2C,7WQS,7X3O,3R7M,4FAL,4DBS,1S2A,6F78,4XVD,4YVV,7C7F,3UWE,3UFY,4WDT,6A7B,5HNU,7X3M,4DBW,8BBS,4FAM,3R43,4HMN,7C7G,2F38,6GXK,4WRH,4YVX,3R8G,4XVE,2FGB,7WQR,6F2U,1ZQ5,7X3L,1XF0,4WDW,4ZFC,1S1R,1RY8,3R58,1S1P,5HNT,3R8H,1RY0,4WDU,4WDX,4H7C,7WQM,4DBU,3UG8,3R6I	Homo sapiens
1.1.1.195	C5XC49	5VKT	Sorghum bicolor
1.1.1.195	O49482	2CF6,2CF5	Arabidopsis thaliana
1.1.1.198	A0A1B3EB36	6M5N	Pseudomonas sp.
1.1.1.2	C6A190	3L77,3TN7	Thermococcus sibiricus
1.1.1.2	P14550	2ALR	Homo sapiens
1.1.1.200	A5JUQ9	7S5I	Prunus persica
1.1.1.202	A0NIJ1	4FR2	Oenococcus oeni
1.1.1.202	Q59477	3BFJ	Klebsiella pneumoniae
1.1.1.202	Q7WRJ3	3BFJ	Klebsiella pneumoniae
1.1.1.203	Q1QUN7	3AY3,6MFH	Chromohalobacter salexigens
1.1.1.203	Q7CRQ0	3RFV,3RFT,3RFX	Agrobacterium tumefaciens
1.1.1.205	A0A2R4D3F6	6MGR	Campylobacter jejuni
1.1.1.205	A0A6L8P2U9	7MTX,3USB,4MYA,7MTU,5UUZ,4MY9,4MY8,4QM1,3TSD,4MYX,4MJM,3TSB,5UUV,5URS,6MGU,4MY1	Bacillus anthracis
1.1.1.205	P0C0H6	1ZFJ	Streptococcus pyogenes
1.1.1.205	P12268	1NF7,1NFB,6UDO,6I0M,6I0O,8FUZ,8G9B,6U8N,1B3O,6U9O,6UDP,6U8S,6UA5,8FOZ,6UA2,8G8F,6UDQ,6UAJ,6UC2,6U8E,6U8R,6UA4	Homo sapiens
1.1.1.205	P20839	7RER,7RFI,7RGD,7RES,7RGI,7RFH,7RGL,7RGM,7RFF,7RGQ,1JCN,7RFG,7RFE	Homo sapiens
1.1.1.205	P9WKI7	4ZQP,4ZQO,5UPU,4ZQN,5UPV,4ZQM,4ZQR	Mycobacterium tuberculosis
1.1.1.205	Q756Z6	5TC3,6RPU,4Z0G,4XTI,4Z87,5MCP,4XTD,4XWU	Eremothecium gossypii
1.1.1.205	Q8T6T2	3FFS,4RV8,4IXH,4QJ1	Cryptosporidium parvum
1.1.1.206	P50162	1AE1	Datura stramonium
1.1.1.209	Q91WR5	2IPG,2HEJ,3FJN,2HE8,2P5N,3CV6,2HE5,2IPF	Mus musculus
1.1.1.21	A0A0M4HL56	5ZCM,5ZCI	Debaryomyces nepalensis
1.1.1.21	A2T1W7	5JH2,5JH1	Zea mays
1.1.1.21	O60218	4GA8,4XZN,5LIX,5M2F,4XZM,5LIK,4JII,4ICC,4GAB,4WEV,4I5X,5LIY,5LIU,1ZUA,4GQ0,4GQG,4JIH,4XZL,5LIW,5Y7N	Homo sapiens
1.1.1.213	P52895	1XJB,4XO6,4JQ4,2IPJ,4JTQ,4L1X,4JTR,4JQ3,2HDJ,4JQ1,4L1W,4XO7,1J96,4JQA,4JQ2,1IHI	Homo sapiens
1.1.1.22	A1RUM9	3VTF	Pyrobaculum islandicum
1.1.1.22	C9E261	2Y0C,2Y0E,2Y0D	Burkholderia cepacia
1.1.1.22	O60701	6C5Z,3PTZ,5TJH,5W4X,3ITK,5VR8,6C4J,3KHU,3TDK,3TF5,6C58,6C5A,4EDF,2QG4,2Q3E,6C4K,4RJT,3PRJ	Homo sapiens
1.1.1.22	Q0P8H3	7KWS	Campylobacter jejuni subsp. jejuni
1.1.1.22	Q19905	2O3J,6OM8	Caenorhabditis elegans
1.1.1.23	Q8G2R2	4G09,4G07	Brucella suis
1.1.1.236	P50163	2AE1,1IPF,1IPE,2AE2	Datura stramonium
1.1.1.24	Q9X5C9	3JYQ,3JYP,2NLO,3JYO	Corynebacterium glutamicum
1.1.1.247	Q9SQ68	7MBF	Papaver somniferum
1.1.1.248	Q071N0	3O26	Papaver somniferum
1.1.1.25	O67049	2HK7,2HK9,2HK8	Aquifex aeolicus
1.1.1.25	P07547	1SG6,1NVB,1NRX,1NVF,1NVA,1NVD,1NUA,1DQS,1NR5,1NVE	Aspergillus nidulans
1.1.1.25	P15770	1NYT	Escherichia coli
1.1.1.25	Q5HNV1	3DON,3DOO	Staphylococcus epidermidis RP62A
1.1.1.25	Q88IJ7	3PWZ	Pseudomonas putida
1.1.1.25	Q9SQT8	2GPT,6BMB,2O7Q,2O7S,6BMQ	Arabidopsis thaliana
1.1.1.25	Q88RQ5	4OMU	Pseudomonas putida
1.1.1.261	A3MTM6	5FB3	Pyrobaculum calidifontis
1.1.1.261	Q58122	4RFL,4RGQ,4RGV	Methanocaldococcus jannaschii
1.1.1.264	P39346	6DKH	Escherichia coli
1.1.1.265	Q12068	4PVD,4PVC	Saccharomyces cerevisiae
1.1.1.267	P45568	1ONP,1Q0L,3ANL,1ONN,1T1R,2EGH,3ANN,3ANM,3R0I,1JVS,1Q0Q,1Q0H,1T1S,1ONO,1K5H	Escherichia coli
1.1.1.267	P9WNS1	2C82,4AIC,2JCX,2JD2,2Y1F,4OOF,2Y1D,4RCV,2JCY,2JD0,4A03,2Y1G,2Y1E,3ZHX,2Y1C,4OOE,3ZHY,3ZI0,2JD1,3ZHZ,2JCV,3RAS	Mycobacterium tuberculosis
1.1.1.267	Q8ZH62	5DUL	Yersinia pestis
1.1.1.267	Q9WZZ1	3A14,3A06	Thermotoga maritima
1.1.1.268	Q56840	2CFC	Xanthobacter autotrophicus
1.1.1.27	P00336	5YTA,6CEP,5LDH	Sus scrofa
1.1.1.27	P00339	9LDB,9LDT	Sus scrofa
1.1.1.27	P00344	1LDN,1LDB,2LDB	Geobacillus stearothermophilus
1.1.1.27	P07864	7EPM	Homo sapiens
1.1.1.27	P50933	2V6B	Deinococcus radiodurans
1.1.1.27	Q27743	1T2E,1T26,1U4O,1T2D,4PLZ,1LDG,1U5C,1T24,1CET,1T2C,1U5A,1T25,1U4S,1CEQ,1XIV,2A94	Plasmodium falciparum
1.1.1.27	Q5SJA1	4A73,2V7P,3ZZN,2E37,2XXJ,2V6M,2XXB	Thermus thermophilus
1.1.1.27	P13491	3H3F,4I8X,4I9H,4I9N,4I9U,5KKC,5NQB,5NQQ,6P6U,7P4G	Oryctolagus cuniculus
1.1.1.272	Q2VEQ7	5MH6,5MH5,5MHA	Haloferax mediterranei
1.1.1.274	P06632	1M9H,1A80,1HW6	Corynebacterium sp.
1.1.1.28	A0A0M3KL04	4XKJ	Sporolactobacillus inulinus
1.1.1.28	P30901	2DLD	Pediococcus pentosaceus
1.1.1.28	Q8RG11	6ABI,5Z21	Fusobacterium nucleatum subsp. nucleatum
1.1.1.28	Q9I530	6ABJ,5Z20	Pseudomonas aeruginosa
1.1.1.282	P0A6D5	1NPD,1VI2,1O9B	Escherichia coli
1.1.1.282	Q88JP1	4K28	Pseudomonas putida
1.1.1.284	D2Y3F4	4DLA,4DL9,4DLB	Solanum lycopersicum
1.1.1.284	P11766	2FZE,1MP0,1MC5,1MA0,1TEH,3QJ5,2FZW,1M6W,1M6H	Homo sapiens
1.1.1.286	Q5JFV8	5HN5,5HN4,5HN3,5HN6	Thermococcus kodakarensis
1.1.1.286	Q72IW9	1X0L,4YB4,3AH3	Thermus thermophilus
1.1.1.292	Q2I8V6	2GLX	Ensifer adhaerens
1.1.1.3	F9VNG5	4YDR,7F4C,7F4B,5X9D,5AVO	Sulfurisphaera tokodaii
1.1.1.3	O58802	4XB2,4XB1	Pyrococcus horikoshii
1.1.1.3	Q5SL04	2EJW,5XDF,6A0U,6A0S,6A0R,6A0T	Thermus thermophilus
1.1.1.30	D0VWQ0	2YZ7,5B4V,3VDQ,3VDR,3W8E,3W8F,3W8D,5B4T,5B4U	Alcaligenes faecalis
1.1.1.30	Q5KST5	2ZTV,2ZTM,1X1T,1WMB,2ZTU,2ZTL	Pseudomonas fragi
1.1.1.30	Q9AE70	2Q2V,2Q2Q,2Q2W	Pseudomonas putida
1.1.1.305	P77398	1U9J,2BLL,2BLN,1Z75,1Z7B,1Z7E,1YRW,6PIH,4WKG,1Z74,1Z73,6PIK	Escherichia coli
1.1.1.307	O74237	1SM9,1YE4,1YE6,1JEZ,1MI3,1K8C,1Z9A,1R38	Yamadazyma tenuis
1.1.1.307	P31867	5Z6T,5Z6U	Scheffersomyces stipitis
1.1.1.31	P9WNY5	5Y8L,5Y8M,5Y8N,5Y8K,5Y8H,5Y8I,5Y8J,5Y8P,5Y8O,5Y8G	Mycobacterium tuberculosis
1.1.1.313	D3U1D9	6IXJ	Klebsiella oxytoca
1.1.1.316	Q6BDJ2	7SVQ,7SMI	Spinacia oleracea
1.1.1.317	Q3L181	3UYI,3V0S,3V0T,3V0U	Rauvolfia serpentina
1.1.1.320	A0A0H4SN47	6YC8	Ogataea glucozyma
1.1.1.335	Q7NQL0	3Q2I	Chromobacterium violaceum
1.1.1.337	P14295	1HYH	Weissella confusa
1.1.1.337	Q58820	2X06	Methanocaldococcus jannaschii
1.1.1.34	P04035	3CDB,2Q1L,3CCZ,2Q6B,2Q6C,1DQ9,1HW8,3CCW,1HWI,3CD5,1HWJ,3CDA,1DQ8,1DQA,1HWL,3CD0,2R4F,1HWK,1HW9,3CD7,3BGL,3CCT	Homo sapiens
1.1.1.343	A9H324	6VPB	Gluconacetobacter diazotrophicus
1.1.1.343	G5EBD7	6XEQ	Gluconobacter oxydans
1.1.1.345	P17584	1DXY	Lacticaseibacillus paracasei
1.1.1.345	Q1GAA2	2YQ5,2YQ4	Lactobacillus delbrueckii subsp. bulgaricus
1.1.1.35	P34439	4J0F,4J0E	Caenorhabditis elegans
1.1.1.35	P9WNP7	6HRD	Mycobacterium tuberculosis
1.1.1.35	Q0KEY8	4PZE,4PZD,4PZC	Cupriavidus necator
1.1.1.35	Q99714	2O23,1SO8,7ONU,1U7T	Homo sapiens
1.1.1.350	P77555	1XRH,4H8A	Escherichia coli
1.1.1.357	P17516	2FVL	Homo sapiens
1.1.1.357	P23457	1AFS,1RAL,1LWI	Rattus norvegicus
1.1.1.357	P80702	1FJH,1FK8	Comamonas testosteroni
1.1.1.359	O93715	2CD9,2CDA,2CDC,2CDB	Saccharolobus solfataricus
1.1.1.360	Q979W2	3WIE,3WID,3WIC	Thermoplasma volcanium
1.1.1.363	P11411	1DPG,1E7Y,2DPG,1E7M,1H9B,1H93,1H94,1E77,1H9A	Leuconostoc mesenteroides
1.1.1.368	O87871	7QUL,7QUY	Thauera aromatica
1.1.1.369	Q9WYP5	3EZY	Thermotoga maritima
1.1.1.37	A0A088E2H7	6IHD,6IHE	Metallosphaera sedula
1.1.1.37	A0A0U3FQH7	6QSS	Ignicoccus islandicus
1.1.1.37	P10584	4KDF,1Y7T,1BDM,1WZI,4KDE,2CVQ,1IZ9,1BMD,1WZE	Thermus thermophilus
1.1.1.37	P61889	1IB6,5KKA,6KA1,7CGC,3HHP,5Z3W,1IE3,6KA0,7CGD,1EMD,2PWZ,2CMD	Escherichia coli
1.1.1.37	P93819	5NUE,5NUF	Arabidopsis thaliana
1.1.1.37	P9WK13	5KVV,4TVO	Mycobacterium tuberculosis
1.1.1.37	Q07841	1O6Z,2J5K,4JCO,7Q3X,2X0R,2HLP,2J5R,2J5Q,1D3A,1HLP	Haloarcula marismortui
1.1.1.37	Q6VVP7	6Y91,6R8G	Plasmodium falciparum
1.1.1.37	Q84FY8	5ULV,5UJK	Methylorubrum extorquens
1.1.1.37	Q8NN33	6ITK	Corynebacterium glutamicum
1.1.1.37	O08349	2X0I,2X0J	Archaeoglobus fulgidus
1.1.1.370	K7ZP76	5YA8,5YAB,6KTJ,6KTL,5YAP,6KTK,5YAQ	Paracoccus laeviglucosivorans
1.1.1.371	O32223	3GDO,3GFG	Bacillus subtilis
1.1.1.373	P0A9V8	6SMZ,6SMY,6SM7	Escherichia coli
1.1.1.375	Q60176	1HYG,1HYE	Methanocaldococcus jannaschii
1.1.1.376	Q53TZ2	7CGQ,7CGR,6JNK,6JNJ	Azospirillum brasilense
1.1.1.379	Q7LLW9	2W2K,2W2L	Rhodotorula graminis
1.1.1.38	P23368	1GZ3,1PJ2,1EFK,7BSK,7XDG,7XDE,1PJL,7BSL,1DO8,1QR6,7BSJ,7XDF,1PJ4,1GZ4,1PJ3,1EFL	Homo sapiens
1.1.1.38	P26616	6AGS	Escherichia coli
1.1.1.381	Q05016	3RKU	Saccharomyces cerevisiae
1.1.1.383	D0WGK0	4KQX,4KQW	Slackia exigua
1.1.1.383	P05793	1YRL,3ULK	Escherichia coli
1.1.1.387	Q9I5I6	3Q3C,3OBB	Pseudomonas aeruginosa
1.1.1.395	P19337	4IS2,4IS3	[Clostridium] scindens
1.1.1.4	O34788	6IE0	Bacillus subtilis subsp. subtilis
1.1.1.40	P16243	5OU5	Zea mays
1.1.1.40	P48163	7X11,3WJA,2AW5,7X12	Homo sapiens
1.1.1.40	P40927	1GQ2	Columba livia
1.1.1.40	Q16798	8E76,8E78,8E8O,8EYN,8EYO	Homo sapiens
1.1.1.406	C0KTJ6	2WDZ,3LQF,2WSB	Cereibacter sphaeroides
1.1.1.408	P58718	2HI1	Salmonella enterica subsp. enterica serovar Typhimurium
1.1.1.41	Q8GAX0	2D4V	Acidithiobacillus thiooxidans
1.1.1.42	O29610	2IV0	Archaeoglobus fulgidus
1.1.1.42	O75874	4KZO,6Q6F,5SVF,5DE1,6VEI,6PAY,4UMY,5TQH,4XRX,3INM,1T09,6BL2,1T0L,5K11,6B0Z,5YFM,6BKX,6BL1,6IO0,6O2Y,4L03,6VG0,3MAP,4I3L,5K10,4L04,7PJM,4XS3,6ADG,4L06,5YFN,5GIR,6O2Z,6BKY,5L57,6U4J,8BAY,4UMX,3MAS,8HB9,5L58,5LGE,6BKZ,4I3K,3MAR,6BL0,7PJN,5SUN	Homo sapiens
1.1.1.42	O88844	5YZI,5YZH	Mus musculus
1.1.1.42	P08200	3ICD,1AI2,4AJS,5ICD,1IKA,1IDD,6ICD,1IDC,1PB1,1ISO,1P8F,1HJ6,4BNP,1PB3,1IDE,1CW7,4AJC,1AI3,1GRP,1IDF,4AJB,1CW1,4ICD,1GRO,4AJA,1CW4,3LCB,1BL5,9ICD,4AJR,7ICD,8ICD,4P69,1SJS,4AJ3	Bos taurus
1.1.1.42	P33198	1LWD	Sus scrofa
1.1.1.42	P48735	4JA8,6UJ8,6UJ7,5I95,5I96,6VFZ,5SVN,6UJ9,5SVO,6ADI,5GIS	Homo sapiens
1.1.1.42	P54071	5H3E,5H3F	Mus musculus
1.1.1.42	Q4E4L7	6AJC	Trypanosoma cruzi
1.1.1.42	Q9X0N2	1ZOR	Thermotoga maritima
1.1.1.42	Q9YE81	1XGV,1TYO,1XKD,1V94	Aeropyrum pernix
1.1.1.42	V5VCI0	5Z16	Acinetobacter baumannii
1.1.1.42	P21954	2QFV,2QFW,2QFX,2QFY	Saccharomyces cerevisiae
1.1.1.42	P9WKL1	4HCX	Mycobacterium tuberculosis
1.1.1.422	A0A545BBS8	6QHE	Arthrobacter sp.
1.1.1.427	Q97YM2	2H6E	Saccharolobus solfataricus
1.1.1.433	A0A0A7I0A5	6JKO,6JKP	Bifidobacterium catenulatum subsp. kashiwanohense
1.1.1.44	P00349	1PGQ,2PGD,1PGP,1PGO,1PGN	Ovis aries
1.1.1.44	P00350	2ZYD,2ZYA,3FWN	Escherichia coli
1.1.1.44	P31072	1PGJ	Trypanosoma brucei
1.1.1.44	P38720	2P4Q	Saccharomyces cerevisiae
1.1.1.44	P52209	4GWK,5UQ9,2JKV,4GWG	Homo sapiens
1.1.1.44	Q8IKT2	6FQY,6FQX,6FQZ	Plasmodium falciparum
1.1.1.45	P14755	3ADO,3ADP	Oryctolagus cuniculus
1.1.1.47	P39485	3AY6,3AY7,3AUU,3AUT,3AUS	Priestia megaterium
1.1.1.47	P40288	1GEE,1RWB,1GCO,1G6K	Priestia megaterium
1.1.1.47	Q8GQE7	6A2U,8HDD	Burkholderia cepacia
1.1.1.49	P11413	6VA8,6E07,2BH9,6VAQ,6VA0,7SNF,1QKI,7TOE,5UKW,6VA9,7UAG,7UC2,6VA7,7SNI,6JYU,7SNG,7SEI,7UAL,7SEH,2BHL,7SNH,6E08,7TOF	Homo sapiens
1.1.1.49	Q1WBU6	6D24,6D23	Trypanosoma cruzi
1.1.1.49	Q4E0B2	5AQ1	Trypanosoma cruzi
1.1.1.50	Q59718	2DKN	Pseudomonas sp. B-0831
1.1.1.53	P9WGT1	1NFQ,1NFF,1NFR	Mycobacterium tuberculosis
1.1.1.54	Q9SLN8	4HFN,4HFM,4HFJ	Nicotiana tabacum
1.1.1.6	A0A150JSL8	6CSJ	Weizmannia coagulans
1.1.1.6	P0A9S5	8GOB,8GOA,5ZXL	Escherichia coli
1.1.1.6	P32816	1JQA,1JPU,1JQ5	Geobacillus stearothermophilus
1.1.1.6	Q9WYQ4	1KQ3	Thermotoga maritima
1.1.1.62	O93874	4FJ2,3QWF,3QWI,3IS3,4FJ0,4FJ1,3ITD,4FIZ,3QWH	Curvularia lunata
1.1.1.62	P14061	6CGE,3DEY,3KLM,1FDS,1FDV,1A27,1FDW,6DTP,1FDU,6MNC,1DHT,3HB5,1QYW,3DHE,7X3Z,1EQU,1QYV,3KM0,3HB4,1IOL,6CGC,1I5R,1FDT,1BHS,1QYX,1JTV,6MNE,3KLP	Homo sapiens
1.1.1.62	Q9BPX1	5O6X,6ZT2,1YDE,5L7W,6FFB,6EMM,6GTU,5L7T,5HS6,5EN4,5L7Y,6ZDI,6H0M,5JSF,5O7C,5O6Z,5JS6,6QCK,5O43,6GBT,6HNO,5ICS,6ZRA,5O42,6GTB,5O72,6ZDE,5O6O,6ZR6,6G4L,5ICM	Homo sapiens
1.1.1.67	O08355	1LJ8,1M2W	Pseudomonas fluorescens
1.1.1.67	Q4WQY4	7RK4,7RK5	Aspergillus fumigatus
1.1.1.76	Q48436	3WYE,1GEG	Klebsiella pneumoniae
1.1.1.79	Q9LSV0	3DOJ	Arabidopsis thaliana
1.1.1.8	P21695	1X0V,1X0X,1WPQ,6PYP,6E90,6E8Z,6E8Y	Homo sapiens
1.1.1.81	F8AEA4	6BII	Pyrococcus yayanosii
1.1.1.81	Q8U3Y2	5AOV	Pyrococcus furiosus
1.1.1.81	Q92LZ4	5V7G,5V72,5V6Q,5UOG,5V7N,5J23	Sinorhizobium meliloti
1.1.1.81	Q92T34	5UNN,4WEQ,4Z0P	Sinorhizobium meliloti
1.1.1.82	Q9YEA1	2D4A	Aeropyrum pernix
1.1.1.85	D2YZL2	3VML,3VMK	Shewanella benthica
1.1.1.85	P50455	1WPW	Sulfurisphaera tokodaii
1.1.1.85	P93832	5J34,5J32,3R8W,5J33	Arabidopsis thaliana
1.1.1.85	Q4JB37	4Y1P	Sulfolobus acidocaldarius
1.1.1.85	Q5SIY4	1IDM,1OSJ,2Y42,4WUO,1XAD,1G2U,1XAB,1DR0,2ZTW,1IPD,1HEX,2Y3Z,2Y40,1GC8,1GC9,4F7I,1DR8,1OSI,1XAA,1DPZ,1XAC,2Y41	Thermus thermophilus
1.1.1.85	Q8E9N3	3WZX,3WZV,3VL4,3VMJ,3VL3,3VL7,3VML,3WZW,3WZY,3VL6,3VKZ,3VL2	Shewanella oneidensis
1.1.1.86	C8WR67	4TSK	Alicyclobacillus acidocaldarius subsp. acidocaldarius
1.1.1.86	P9WKJ7	4YPO	Mycobacterium tuberculosis
1.1.1.86	Q04M32	6L2I,6L2Z,6L2K,6L2R,6L2S	Streptococcus pneumoniae
1.1.1.86	Q2FWK4	6BUL,7KH7,6C55,5W3K,6AQJ,7KE2,6C5N,6VO2	Staphylococcus aureus
1.1.1.86	Q4J8K9	5YEQ	Sulfolobus acidocaldarius
1.1.1.86	Q57179	6JX2	Corynebacterium glutamicum
1.1.1.86	Q65XK0	3FR8,3FR7	Oryza sativa
1.1.1.87	Q5SIJ1	3ASJ	Thermus thermophilus
1.1.1.9	Q8GR61	1ZEM	Gluconobacter oxydans
1.1.1.91	C0IR58	4BMS,4I5E,6IHH,4I5D,4BMN,6IHI,4I5G,4I5F	Ralstonia sp.
