EC_number,Organism_name,Protein_file,Mol_file,pH,Temperature,Km_value_with_ref,Value_to_be_retained_for_model,pH,Temperature,Error,Comments
1.1.1.119,Haloferax mediterranei,2VWG.pdb,mol_109.sdf,-----,-----,"[(31.1, '13'), (12.9, '13'), (12.9, '13'), (31.1, '13')]","(31.1, '13')",-----,-----,-----,Value with NADP as cofactor considered
1.1.1.119,Haloferax mediterranei,2VWG.pdb,mol_110.sdf,-----,-----,"[(2.8, ""{11: 'Analysis of acidic surface of Haloferax mediterranei glucose dehydrogenase by site-directed mutagenesis,2007', 13: 'Alteration of coenzyme specificity in halophilic NAD(P)+ glucose dehydrogenase by site-directed mutagenesis. J. Mol. Catal,2009'}""), (12.9, ""{13: 'Alteration of coenzyme specificity in halophilic NAD(P)+ glucose dehydrogenase by site-directed mutagenesis. J. Mol. Catal,2009'}""), (12.9, ""{13: 'Alteration of coenzyme specificity in halophilic NAD(P)+ glucose dehydrogenase by site-directed mutagenesis. J. Mol. Catal,2009'}""), (2.8, ""{11: 'Analysis of acidic surface of Haloferax mediterranei glucose dehydrogenase by site-directed mutagenesis,2007', 13: 'Alteration of coenzyme specificity in halophilic NAD(P)+ glucose dehydrogenase by site-directed mutagenesis. J. Mol. Catal,2009'}"")]","(2.8, '13')",8.8,40°C,-----,Value with NADP as cofactor considered
1.1.1.159,Clostridium sardiniense,5EPO.pdb,mol_79.sdf,and,-----,"[(0.34, '21'), (0.69, '27'), (0.69, '27'), (0.34, '21')]","(0.69, '27')",-----,-----,-----,Other value not found
1.1.1.169,Thermococcus kodakarensis,5AYV.pdb,mol_150.sdf,6.4,70°C,"[(0.13, '20'), (2.04, '20'), (2.04, '20'), (0.13, '20')]","(0.13, '20')",6.4,70°C,-----,Difference in isomers of the substrate
1.1.1.18,Bacillus subtilis,3NT4.pdb,mol_151.sdf,9,25°C,"[(18.0, '6,15'), (4.4, '18'), (4.4, '18'), (18.0, '6,15')]","(18.0, '6,15')",9,25°C,-----,Other value not found
1.1.1.184,Candida parapsilosis,3CTM.pdb,mol_138.sdf,5,35°C,"[(0.63, '80'), (8.03, '80'), (0.63, '80'), (0.59, ""{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}""), (0.63, '80'), (7.89, ""{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}""), (8.03, '80'), (0.63, '80'), (8.03, '80'), (0.59, ""{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}""), (8.03, '80'), (7.89, ""{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}""), (0.59, ""{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}""), (0.63, '80'), (0.59, ""{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}""), (8.03, '80'), (0.59, ""{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}""), (7.89, ""{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}""), (7.89, ""{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}""), (0.63, '80'), (7.89, ""{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}""), (8.03, '80'), (7.89, ""{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}""), (0.59, ""{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}"")]","(0.59,'70')",5,35°C,-----,Value with NADPH as cofactor considered
1.1.1.184,Homo sapiens,1WMA.pdb,mol_111.sdf,7.4,25°C,"[(0.008, '90'), (0.017, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.017, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.008, '90')]","(0.008, '90')",7.4,25°C,-----,Value without treatment with N-nitrosoglutathione considered
1.1.1.184,Homo sapiens,1WMA.pdb,mol_170.sdf,-----,-----,"[(0.14, '76'), (0.132, '76'), (0.14, '76'), (0.163, '76'), (0.14, '76'), (0.167, '76'), (0.14, '76'), (0.134, '76'), (0.14, '76'), (0.287, '77'), (0.14, '76'), (0.239, '76'), (0.14, '76'), (0.231, '76'), (0.14, '76'), (0.244, '76'), (0.132, '76'), (0.14, '76'), (0.132, '76'), (0.163, '76'), (0.132, '76'), (0.167, '76'), (0.132, '76'), (0.134, '76'), (0.132, '76'), (0.287, '77'), (0.132, '76'), (0.239, '76'), (0.132, '76'), (0.231, '76'), (0.132, '76'), (0.244, '76'), (0.163, '76'), (0.14, '76'), (0.163, '76'), (0.132, '76'), (0.163, '76'), (0.167, '76'), (0.163, '76'), (0.134, '76'), (0.163, '76'), (0.287, '77'), (0.163, '76'), (0.239, '76'), (0.163, '76'), (0.231, '76'), (0.163, '76'), (0.244, '76'), (0.167, '76'), (0.14, '76'), (0.167, '76'), (0.132, '76'), (0.167, '76'), (0.163, '76'), (0.167, '76'), (0.134, '76'), (0.167, '76'), (0.287, '77'), (0.167, '76'), (0.239, '76'), (0.167, '76'), (0.231, '76'), (0.167, '76'), (0.244, '76'), (0.134, '76'), (0.14, '76'), (0.134, '76'), (0.132, '76'), (0.134, '76'), (0.163, '76'), (0.134, '76'), (0.167, '76'), (0.134, '76'), (0.287, '77'), (0.134, '76'), (0.239, '76'), (0.134, '76'), (0.231, '76'), (0.134, '76'), (0.244, '76'), (0.287, '77'), (0.14, '76'), (0.287, '77'), (0.132, '76'), (0.287, '77'), (0.163, '76'), (0.287, '77'), (0.167, '76'), (0.287, '77'), (0.134, '76'), (0.287, '77'), (0.239, '76'), (0.287, '77'), (0.231, '76'), (0.287, '77'), (0.244, '76'), (0.239, '76'), (0.14, '76'), (0.239, '76'), (0.132, '76'), (0.239, '76'), (0.163, '76'), (0.239, '76'), (0.167, '76'), (0.239, '76'), (0.134, '76'), (0.239, '76'), (0.287, '77'), (0.239, '76'), (0.231, '76'), (0.239, '76'), (0.244, '76'), (0.231, '76'), (0.14, '76'), (0.231, '76'), (0.132, '76'), (0.231, '76'), (0.163, '76'), (0.231, '76'), (0.167, '76'), (0.231, '76'), (0.134, '76'), (0.231, '76'), (0.287, '77'), (0.231, '76'), (0.239, '76'), (0.231, '76'), (0.244, '76'), (0.244, '76'), (0.14, '76'), (0.244, '76'), (0.132, '76'), (0.244, '76'), (0.163, '76'), (0.244, '76'), (0.167, '76'), (0.244, '76'), (0.134, '76'), (0.244, '76'), (0.287, '77'), (0.244, '76'), (0.239, '76'), (0.244, '76'), (0.231, '76')]","(0.287, '77')",-----,-----,-----,Value without organ specificity considered
1.1.1.184,Homo sapiens,1WMA.pdb,mol_111.sdf,7.4,37°C,"[(0.0008, '90'), (0.017, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.017, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.0008, '90')]","(0.0008, '90')",7.4,37°C,-----,Value without treatment with N-nitrosoglutathione considered
1.1.1.184,Homo sapiens,1WMA.pdb,mol_171.sdf,7.4,37°C,"[(0.034, '90'), (0.096, '90'), (0.096, '90'), (0.034, '90')]","(0.096, '90')",7.4,37°C,-----,Value without treatment with N-nitrosoglutathione considered
1.1.1.184,Candida parapsilosis,3CTM.pdb,mol_138.sdf,-----,-----,"[(0.59, ""{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}""), (7.89, ""{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}""), (7.89, ""{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}""), (0.59, ""{70: 'Ser67Asp and His68Asp substitutions in candida parapsilosis carbonyl reductase alter the coenzyme specificity and enantioselectivity of ketone reduction. Appl. Environ,2009', 80: 'Crystal structure of a carbonyl reductase from Candida parapsilosis with anti-Prelog stereospecificity,2008'}"")]","(0.59,'70')",-----,-----,-----,Value with NADPH as cofactor considered
1.1.1.184,Homo sapiens,1WMA.pdb,mol_185.sdf,7.4,25°C,"[(0.06, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.159, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.159, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.06, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"")]","(0.159, '90')",7.4,25°C,-----,Value without treatment with N-nitrosoglutathione considered
1.1.1.184,Homo sapiens,1WMA.pdb,mol_185.sdf,7.4,37°C,"[(0.06, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.159, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.159, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.06, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"")]","(0.159, '90')",7.4,37°C,-----,Value without treatment with N-nitrosoglutathione considered
1.1.1.184,Homo sapiens,1WMA.pdb,mol_186.sdf,7.4,25°C,"[(0.032, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.0073, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.0073, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.032, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"")]","(0.0073, '90')",7.4,25°C,-----,Value without treatment with N-nitrosoglutathione considered
1.1.1.184,Homo sapiens,1WMA.pdb,mol_186.sdf,7.4,37°C,"[(0.032, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.0073, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.0073, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.032, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"")]","(0.0073, '90')",7.4,37°C,-----,Value without treatment with N-nitrosoglutathione considered
1.1.1.184,Homo sapiens,1WMA.pdb,mol_165.sdf,7.4,25°C,"[(0.25, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.016, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.016, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.25, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"")]","(0.25, '90')",7.4,25°C,-----,Value without treatment with N-nitrosoglutathione considered
1.1.1.184,Homo sapiens,1WMA.pdb,mol_165.sdf,7.4,37°C,"[(0.25, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.016, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.016, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}""), (0.25, ""{90: 'S-nitrosoglutathione covalently modifies cysteine residues of human carbonyl reductase 1 and affects its activity. Chem. Biol,2013'}"")]","(0.25, '90')",7.4,37°C,-----,Value without treatment with N-nitrosoglutathione considered
1.1.1.203,Agrobacterium tumefaciens,3RFV.pdb,mol_207.sdf,and,-----,"[(0.1, '8'), (0.3, '8'), (0.3, '8'), (0.1, '8')]","[(0.1, '8'), (0.3, '8')]",-----,-----,-----,Difference in buffers not considered for the model
1.1.1.203,Agrobacterium tumefaciens,3RFV.pdb,mol_210.sdf,and,-----,"[(8.3, '8'), (19.4, '8'), (19.4, '8'), (8.3, '8')]","[(8.3, '8'), (19.4, '8')]",-----,-----,-----,Difference in buffers not considered for the model
1.1.1.203,Agrobacterium tumefaciens,3RFV.pdb,mol_208.sdf,and,-----,"[(0.2, '8'), (1.0, ""{8: 'Characterization of uronate dehydrogenases catalysing the initial step in an oxidative pathway. Microb,2015', 11: 'Thermostabilization of the uronate dehydrogenase from Agrobacterium tumefaciens by semi-rational design,2017'}""), (1.0, ""{8: 'Characterization of uronate dehydrogenases catalysing the initial step in an oxidative pathway. Microb,2015', 11: 'Thermostabilization of the uronate dehydrogenase from Agrobacterium tumefaciens by semi-rational design,2017'}""), (0.2, '8')]","[(0.2, '8'), (1.0, '8')]",-----,-----,-----,Difference in buffers not considered for the model
1.1.1.205,Cryptosporidium parvum,4IXH.pdb,mol_11.sdf,8,25°C,"[(0.14, '104128'), (1.4, '128'), (0.14, '104128'), (2.4, '128'), (1.4, '128'), (0.14, '104128'), (1.4, '128'), (2.4, '128'), (2.4, '128'), (0.14, '104128'), (2.4, '128'), (1.4, '128')]","[(0.14, '104128'), (1.4, '128'), (2.4, '128')]",8,25°C,-----,Effect of ions not considered for the model
1.1.1.21,Homo sapiens,4XZM.pdb,mol_235.sdf,7.4,25°C,"[(0.0009, '104'), (0.0004, '104'), (0.0004, '104'), (0.0009, '104')]","(0.0009, '104')",7.4,25°C,-----,Other value not found
1.1.1.22,Homo sapiens,2Q3E.pdb,mol_11.sdf,8.7,25°C,"[(0.7, '59'), (0.384, '55'), (0.7, '59'), (0.133, ""{24: 'Importance of Gly-13 for the coenzyme binding of human UDP-glucose dehydrogenase. J. Biol,2004', 37: 'Alteration of the quaternary structure of human UDP-glucose dehydrogenase by a double mutation. J. Biochem. Mol,2007'}""), (0.384, '55'), (0.7, '59'), (0.384, '55'), (0.133, ""{24: 'Importance of Gly-13 for the coenzyme binding of human UDP-glucose dehydrogenase. J. Biol,2004', 37: 'Alteration of the quaternary structure of human UDP-glucose dehydrogenase by a double mutation. J. Biochem. Mol,2007'}""), (0.133, ""{24: 'Importance of Gly-13 for the coenzyme binding of human UDP-glucose dehydrogenase. J. Biol,2004', 37: 'Alteration of the quaternary structure of human UDP-glucose dehydrogenase by a double mutation. J. Biochem. Mol,2007'}""), (0.7, '59'), (0.133, ""{24: 'Importance of Gly-13 for the coenzyme binding of human UDP-glucose dehydrogenase. J. Biol,2004', 37: 'Alteration of the quaternary structure of human UDP-glucose dehydrogenase by a double mutation. J. Biochem. Mol,2007'}""), (0.384, '55')]","(0.133, '24')",8.7,25°C,-----,Other values recorded at wrong pH in BRENDA
1.1.1.22,Homo sapiens,2Q3E.pdb,mol_264.sdf,7.5,25°C,"[(0.016, '56'), (0.0076, '76'), (0.016, '56'), (0.0097, '75'), (0.0076, '76'), (0.016, '56'), (0.0076, '76'), (0.0097, '75'), (0.0097, '75'), (0.016, '56'), (0.0097, '75'), (0.0076, '76')]","(0.016, '56')",7.5,25°C,-----,Original value not estimated using Hill's equation considered
1.1.1.24,Corynebacterium glutamicum,3JYP.pdb,mol_11.sdf,7.5,30°C,"[(0.87, '15'), (0.13, '15'), (0.13, '15'), (0.87, '15')]",-----,7.5,30°C,Both values are incorrect. NAD+ is not the substrate,-----
1.1.1.25,Pseudomonas putida,3DOO.pdb,mol_269.sdf,8.8,-----,"[(0.0046, '33'), (0.351, '33'), (0.0046, '33'), (0.105, ""{33: 'A phylogenomic analysis of the shikimate dehydrogenases reveals broadscale functional diversification and identifies one functionally distinct subclass. Mol. Biol,2008'}""), (0.0046, '33'), (0.0786, ""{33: 'A phylogenomic analysis of the shikimate dehydrogenases reveals broadscale functional diversification and identifies one functionally distinct subclass. Mol. Biol,2008'}""), (0.351, '33'), (0.0046, '33'), (0.351, '33'), (0.105, ""{33: 'A phylogenomic analysis of the shikimate dehydrogenases reveals broadscale functional diversification and identifies one functionally distinct subclass. Mol. Biol,2008'}""), (0.351, '33'), (0.0786, ""{33: 'A phylogenomic analysis of the shikimate dehydrogenases reveals broadscale functional diversification and identifies one functionally distinct subclass. Mol. Biol,2008'}""), (0.105, ""{33: 'A phylogenomic analysis of the shikimate dehydrogenases reveals broadscale functional diversification and identifies one functionally distinct subclass. Mol. Biol,2008'}""), (0.0046, '33'), (0.105, ""{33: 'A phylogenomic analysis of the shikimate dehydrogenases reveals broadscale functional diversification and identifies one functionally distinct subclass. Mol. Biol,2008'}""), (0.351, '33'), (0.105, ""{33: 'A phylogenomic analysis of the shikimate dehydrogenases reveals broadscale functional diversification and identifies one functionally distinct subclass. Mol. Biol,2008'}""), (0.0786, ""{33: 'A phylogenomic analysis of the shikimate dehydrogenases reveals broadscale functional diversification and identifies one functionally distinct subclass. Mol. Biol,2008'}""), (0.0786, ""{33: 'A phylogenomic analysis of the shikimate dehydrogenases reveals broadscale functional diversification and identifies one functionally distinct subclass. Mol. Biol,2008'}""), (0.0046, '33'), (0.0786, ""{33: 'A phylogenomic analysis of the shikimate dehydrogenases reveals broadscale functional diversification and identifies one functionally distinct subclass. Mol. Biol,2008'}""), (0.351, '33'), (0.0786, ""{33: 'A phylogenomic analysis of the shikimate dehydrogenases reveals broadscale functional diversification and identifies one functionally distinct subclass. Mol. Biol,2008'}""), (0.105, ""{33: 'A phylogenomic analysis of the shikimate dehydrogenases reveals broadscale functional diversification and identifies one functionally distinct subclass. Mol. Biol,2008'}"")]","[(0.0046, '33'), (0.105, '33')]",8.8,-----,-----,Only values with NADP as cofactor considered
1.1.1.25,Pseudomonas putida,3DOO.pdb,mol_79.sdf,8.8,-----,"[(0.0073, '33'), (0.112, ""{33: 'A phylogenomic analysis of the shikimate dehydrogenases reveals broadscale functional diversification and identifies one functionally distinct subclass. Mol. Biol,2008'}""), (0.112, ""{33: 'A phylogenomic analysis of the shikimate dehydrogenases reveals broadscale functional diversification and identifies one functionally distinct subclass. Mol. Biol,2008'}""), (0.0073, '33')]","[(0.0073, '33'), (0.112, '33')]",8.8,-----,-----,Both values are correct
1.1.1.267,Escherichia coli,1Q0Q.pdb,mol_278.sdf,-----,-----,"[(0.06, '9'), (0.25, '9'), (0.06, '9'), (0.099, '9'), (0.25, '9'), (0.06, '9'), (0.25, '9'), (0.099, '9'), (0.099, '9'), (0.06, '9'), (0.099, '9'), (0.25, '9')]","[(0.06, '9'), (0.25, '9'), (0.099, '9')]",-----,-----,-----,Effect of ions not considered for the model
1.1.1.267,Escherichia coli,1Q0Q.pdb,mol_93.sdf,-----,-----,"[(0.02, '9'), (0.009, '9'), (0.02, '9'), (0.007, '9'), (0.009, '9'), (0.02, '9'), (0.009, '9'), (0.007, '9'), (0.007, '9'), (0.02, '9'), (0.007, '9'), (0.009, '9')]","[(0.02, '9'), (0.009, '9'), (0.007, '9')]",-----,-----,-----,Effect of ions not considered for the model
1.1.1.27,Homo sapiens,7EPM.pdb,mol_292.sdf,8,-----,"[(21.78, '124'), (10.73, '124'), (10.73, '124'), (21.78, '124')]","(10.73, '124')",8,-----,-----,"Value in healthy breast tissue considered, not cancerous tissue"
1.1.1.272,Haloferax mediterranei,5MH6.pdb,mol_35.sdf,8.5,40°C,"[(0.5, '1'), (0.33, '1'), (0.5, '1'), (0.233, '1'), (0.33, '1'), (0.5, '1'), (0.33, '1'), (0.233, '1'), (0.233, '1'), (0.5, '1'), (0.233, '1'), (0.33, '1')]",-----,8.5,40°C,NADH is not the substrate,-----
1.1.1.272,Haloferax mediterranei,5MH6.pdb,mol_295.sdf,8.5,40°C,"[(11.9, '1'), (1.31, '1'), (1.31, '1'), (11.9, '1')]","(11.9, '1')",8.5,40°C,-----,Value with NADH as cofactor considered
1.1.1.272,Haloferax mediterranei,5MH6.pdb,mol_296.sdf,8.5,40°C,"[(13.9, '1'), (3.77, '1'), (3.77, '1'), (13.9, '1')]","(13.9, '1')",8.5,40°C,-----,Value with NADH as cofactor considered
1.1.1.272,Haloferax mediterranei,5MH6.pdb,mol_297.sdf,8.5,40°C,"[(106.0, '1'), (13.45, '1'), (13.45, '1'), (106.0, '1')]","(106.0, '1')",8.5,40°C,-----,Value with NADH as cofactor considered
1.1.1.28,Fusobacterium nucleatum subsp. nucleatum,5Z21.pdb,mol_293.sdf,8,30°C,"[(1.7, '49'), (2.5, '49'), (1.7, '49'), (1.2, ""{49: 'Diverse allosteric and catalytic functions of tetrameric D-lactate dehydrogenases from three Gram-negative bacteria,2014'}""), (2.5, '49'), (1.7, '49'), (2.5, '49'), (1.2, ""{49: 'Diverse allosteric and catalytic functions of tetrameric D-lactate dehydrogenases from three Gram-negative bacteria,2014'}""), (1.2, ""{49: 'Diverse allosteric and catalytic functions of tetrameric D-lactate dehydrogenases from three Gram-negative bacteria,2014'}""), (1.7, '49'), (1.2, ""{49: 'Diverse allosteric and catalytic functions of tetrameric D-lactate dehydrogenases from three Gram-negative bacteria,2014'}""), (2.5, '49')]","[(2.5, '49'), (1.2, '49')]",8,30°C,-----,Value without any co-substrates considered
1.1.1.28,Pseudomonas aeruginosa,5Z20.pdb,mol_293.sdf,8,30°C,"[(0.36, '49'), (0.85, '49'), (0.36, '49'), (1.2, ""{49: 'Diverse allosteric and catalytic functions of tetrameric D-lactate dehydrogenases from three Gram-negative bacteria,2014'}""), (0.85, '49'), (0.36, '49'), (0.85, '49'), (1.2, ""{49: 'Diverse allosteric and catalytic functions of tetrameric D-lactate dehydrogenases from three Gram-negative bacteria,2014'}""), (1.2, ""{49: 'Diverse allosteric and catalytic functions of tetrameric D-lactate dehydrogenases from three Gram-negative bacteria,2014'}""), (0.36, '49'), (1.2, ""{49: 'Diverse allosteric and catalytic functions of tetrameric D-lactate dehydrogenases from three Gram-negative bacteria,2014'}""), (0.85, '49')]","[(0.36, '49'), (1.2, '49')]",8,30°C,-----,Value without any co-substrates considered
