EC_number	UniProt_ID	Organism_name	Apo_structures	Holo_mapping
3.1.1.96	P0A6M4	Escherichia coli	1JKE_A,1JKE_B,1JKE_C,1JKE_D	No other examples
3.1.2.2	O00154	Homo sapiens	2QQ2_A,2QQ2_B,2QQ2_C,2QQ2_D,2QQ2_E,2QQ2_F,2QQ2_G,2QQ2_H,2QQ2_I,2QQ2_J,2QQ2_K,2QQ2_L	No similarity
3.1.21.2	P9WQ13	Mycobacterium tuberculosis	5ZHZ_A	No other examples
3.1.26.4	O29634	Archaeoglobus fulgidus	3P83_A,3P83_B,3P83_C,3P83_D,3P83_E,3P83_F,1I3A_A,1I39_A	No other examples
3.1.26.4	O67644	Aquifex aeolicus	3VN5_A	No other examples
3.1.26.4	O75792	Homo sapiens	3PUF_A,3PUF_B,3PUF_C,3PUF_D,3PUF_E,3PUF_F,3PUF_G,3PUF_H,3PUF_I,3PUF_J,3PUF_K,3PUF_L,3PUF_M,3PUF_N,3PUF_O,3PUF_P,3PUF_Q,3PUF_R,3P56_A,3P56_B,3P56_C,3P56_D,3P56_E,3P56_F	No other examples
3.1.26.4	Q6L6Q4	Geobacillus stearothermophilus	3ASM_A,2D0C_A,2D0B_A,2D0A_A	No other examples
3.1.3.104	Q8A947	Bacteroides thetaiotaomicron	4JB3_A	No other examples
3.1.3.11	Q8TZH9	Pyrococcus furiosus	1XI6_A	No similarity
3.1.3.12	P9WFZ5	Mycobacterium tuberculosis	5GVX_A	No similarity
3.1.3.2	Q71EB8	Salmonella enterica subsp. enterica serovar Typhimurium	2IPB_A,2IPB_B,2IPB_C,2IPB_D	No similarity
3.1.3.21	O33194	Mycobacterium tuberculosis	4I9G_A,4I9G_B	No other examples
3.1.3.48	Q16828	Homo sapiens	1HZM_A,1MKP_A	No similarity
3.1.3.48	Q6MNP0	Bdellovibrio bacteriovorus	4NX8_A,4NX8_B	No similarity
3.1.4.16	P67095	Escherichia coli	1SU1_A,1SU1_B,1SU1_C,1SU1_D	No other examples
3.1.4.52	Q9HV27	Pseudomonas aeruginosa	4R8Z_A,4R8Z_B	No similarity
3.1.6.19	F8KAY7	Pseudomonas sp. DSM 6611	2YHE_A,2YHE_B,2YHE_C,2YHE_D,2YHE_E,2YHE_F,4AXH_A,4AXH_B,4AV7_A,4AV7_B,4AV7_C,4AV7_D,4AV7_E,4AV7_F	No other examples
3.1.8.1	A0A077JBW9	Sphingobium sp. TCM1	5HRM_A,5HRM_B,5HRM_C,5HRM_D,5IOJ_A,5IOJ_B	No similarity
3.2.1.133	A3DM60	Staphylothermus marinus	4AEE_A,4AEE_B	No similarity
3.2.1.196	P15067	Escherichia coli	2WSK_A	No other examples
3.2.1.214	A6LGF6	Parabacteroides distasonis	5Z06_A,5Z06_B	No other examples
3.2.1.40	Q93RE7	Bacillus sp. (in: Bacteria)	2OKX_A,2OKX_B	No similarity
3.2.1.52	Q9WZR6	Thermotoga maritima MSB8	3WO8_A,3WO8_B	No similarity
3.2.1.54	Q8TZP8	Pyrococcus furiosus	4AEF_A,4AEF_B	No other examples
3.2.1.67	Q9WYR8	Thermotoga maritima	3JUR_A,3JUR_B,3JUR_C,3JUR_D	No other examples
3.2.1.70	Q5FMB7	Lactobacillus acidophilus	4AIE_A	No other examples
3.2.1.78	Q8WPJ2	Mytilus edulis	2C0H_A	No similarity
3.2.2.15	C6Y1J8	Pedobacter heparinus	5H0K_A,5H0J_A	No other examples
3.4.11.1	B8D484	Desulfurococcus amylolyticus	4WWV_A,4WWV_B	No similarity
3.4.11.1	Q9WXP9	Thermotoga maritima	2ZSG_A,2ZSG_B	No similarity
3.4.11.7	Q8I2J3	Plasmodium falciparum	4EME_A,4EME_B,4EME_C,4EME_D	No other examples
3.4.13.20	Q59632	Brucella anthropi	1B65_A,1B65_B,1B65_C,1B65_D,1B65_E,1B65_F	No similarity
3.4.13.22	Q06241	Enterococcus faecium	1R44_A,1R44_B,1R44_C,1R44_D,1R44_E,1R44_F	No other examples
3.4.14.4	Q08225	Saccharomyces cerevisiae	3CSK_A	No similarity
3.4.17.22	O75976	Homo sapiens	5AQ0_A,5AQ0_B	No other examples
3.4.19.5	Q9ZSD6	Lupinus luteus	2GEZ_A,2GEZ_B,2GEZ_C,2GEZ_D,2GEZ_E,2GEZ_F,2GEZ_G,2GEZ_H	No similarity
3.4.21.108	P83110	Homo sapiens	4RI0_A,4RI0_B,4RI0_C,2P3W_A,2P3W_B	No similarity
3.4.21.114	A1E8J1	porcine reproductive and respiratory syndrome virus	5Y4L_B,5Y4L_A,5Y4L_C,5Y4L_D,3FAO_A,3FAN_A	No other examples
3.4.21.2	Q99895	Homo sapiens	4H4F_A,4H4F_B,4H4F_Q	No other examples
3.4.21.4	Q54137	Saccharopolyspora erythraea	5KWM_A,5DJ7_A,5DKM_A	No similarity
3.4.21.79	P18291	Rattus norvegicus	1FI8_A,1FI8_C,1FI8_D,1FI8_B,1FI8_E,1FI8_F	No other examples
3.4.21.9	A4UWM5	Oryzias latipes	3W94_A,3W94_B	No similarity
3.4.21.92	O97252	Plasmodium falciparum	2F6I_A,2F6I_B,2F6I_C,2F6I_D,2F6I_E,2F6I_F,2F6I_G	No similarity
3.5.1.105	A6P4T5	Vibrio parahaemolyticus	3WX7_A,3WX7_B	No similarity
3.5.1.124	A0A0H3AFW5	Vibrio cholerae	5JZO_A,5JZO_B,5JZO_C,5JZO_D,5JZO_E,5JZO_F,4I46_A,4I46_B,4I46_C,4I46_D,4I46_E,4I46_F,5JZM_A,5JZM_B,5JZM_C,5JZM_D,5JZM_E,5JZM_F,5K4A_C,5K4A_F,5K4A_A,5K4A_B,5K4A_D,5K4A_E,4I4N_A,4I4N_B,4I4N_C,4I4N_D,4I4N_E,4I4N_F,4I2N_A,4I2N_B,4I2N_C,4I2N_D,4I2N_E,4I2N_F	No similarity
3.5.1.135	P67603	Escherichia coli	1TE7_A	No other examples
3.5.1.41	Q6DWK3	Colletotrichum lindemuthianum	2IW0_A	No other examples
3.5.1.42	A9CJ26	Agrobacterium fabrum	2A9S_A,2A9S_B	No other examples
3.5.1.81	Q9AGH8	Alcaligenes faecalis	1RJQ_A,1V4Y_A,1RK5_A,1M7J_A,1V51_A,1RJR_A,1RJP_A,1RK6_A	No other examples
3.5.2.17	A6T926	Klebsiella pneumoniae	3QVA_A,3QVA_B,3QVA_C,3QVA_D	No other examples
3.5.3.8	Q4DSA0	Trypanosoma cruzi	4MYL_A,4MXR_A,4MXR_B,4MYN_A,4MYK_A,2A0M_A,4MYF_A	No other examples
3.5.4.11	P0CI72	unidentified prokaryotic organism	2PAJ_A	No other examples
3.5.4.3	P76641	Escherichia coli	6OHB_A,6OHB_B,6OHB_C,6OHB_D,6OHC_A,6OHC_B,6OHC_C,6OHC_D	No similarity
3.5.5.1	Q55949	Synechocystis sp. PCC 6803	3WUY_A,3WUY_B	No other examples
3.6.1.40	P25552	Escherichia coli	6PBZ_A,6PBZ_B,6PBZ_C,6PBZ_D	No other examples
3.6.1.65	P77788	Escherichia coli	2RRK_A	No other examples
3.6.1.73	P39411	Escherichia coli	1U5W_A,1U5W_B,1U5W_C,1U5W_D,1U5W_E,1U5W_F,1U5W_G,1U5W_H	No other examples
3.6.1.74	O13297	Saccharomyces cerevisiae	1D8I_A,1D8I_B,1D8I_C,3KYH_A,3KYH_B,3KYH_C,3KYH_D,1D8H_A,1D8H_B,1D8H_C	No other examples
3.6.1.74	P08411	Semliki forest virus	5FW5_A,5FW5_B,5FW5_C,5DRV_A,5DRV_B,1FW5_A	No other examples
3.6.1.9	P22413	Homo sapiens	2YS0_A	No similarity
3.6.1.9	P25536	Escherichia coli	4P0E_A,4P0E_B	No similarity
3.6.5.3	P0A6M8	Escherichia coli	3J0E_A,3J0E_B,3J0E_C,3J0E_D,3J0E_E,3J0E_e,3J0E_F,3J0E_G,3J0E_H,2RDO_A,2RDO_B,2RDO_V,2RDO_C,2RDO_D,2RDO_E,2RDO_F,2RDO_G,2RDO_J,2RDO_K,2RDO_L,2RDO_M,2RDO_N,2RDO_O,2RDO_P,2RDO_Q,2RDO_R,2RDO_S,2RDO_T,2RDO_U,2RDO_W,2RDO_X,2RDO_Y,2RDO_Z,2RDO_0,2RDO_1,2RDO_2,2RDO_3,2RDO_4,2RDO_I,2RDO_H,2RDO_9,2RDO_7,2RDO_8	No similarity
3.7.1.13	Q84II3	Janthinobacterium sp. J3	1J1I_A	No other examples
3.7.1.14	P77044	Escherichia coli	1U2E_A,1U2E_B,1U2E_C,1U2E_D	No other examples
4.1.1.19	P21170	Escherichia coli	3NZQ_A,3NZQ_B	No other examples
4.1.2.10	E8WYN5	Granulicella tundricola	4BIF_A,4BIF_B,4BIF_C,4BIF_D,4BIF_E,4BIF_F,4BIF_G,4BIF_H,4UXA_A,4UXA_B,4UXA_C,4UXA_D,4UXA_E,4UXA_F,4UXA_G,4UXA_H,4UXA_I,4UXA_J,4UXA_K,4UXA_L,4UXA_M,4UXA_N,4UXA_O,4UXA_P,4UXA_Q,4UXA_R,4UXA_S,4UXA_T	No similarity
4.1.2.43	Q9LBW4	Mycobacterium gastri	3AJX_A,3AJX_B,3AJX_C,3AJX_D	No other examples
4.2.1.154	P39890	Streptomyces glaucescens	1TUW_A	No other examples
4.2.1.171	A0NXQ8	Roseibium aggregatum	4MGG_A,4MGG_B,4MGG_C,4MGG_D,4MGG_E,4MGG_F,4MGG_G,4MGG_H	No other examples
4.2.1.176	A0NP48	Roseibium aggregatum	3STP_A	No other examples
4.2.1.18	Q13825	Homo sapiens	2ZQR_A,2ZQR_B,2ZQR_C,2ZQR_D,2ZQR_E,2ZQR_F,1HZD_A,1HZD_B,1HZD_C,1HZD_D,1HZD_E,1HZD_F,2ZQQ_A,2ZQQ_B,2ZQQ_C,2ZQQ_D,2ZQQ_E,2ZQQ_F	No other examples
4.2.1.20	P0A877	Escherichia coli	1WQ5_A,1WQ5_B,1V7Y_A,1V7Y_B,1XC4_A,1XC4_B,1XCF_A,1XCF_B	No similarity
4.2.1.75	P10746	Homo sapiens	1JR2_A,1JR2_B	No other examples
4.2.1.77	Q96EM0	Homo sapiens	7QPO_A,7QPO_B	No other examples
4.2.3.132	Q38710	Abies grandis	3S9V_A,3S9V_B,3S9V_C,3S9V_D	No other examples
4.2.3.153	Q58499	Methanocaldococcus jannaschii	4RC1_A,4RC1_B,4RC1_C,4RC1_D,4RC1_E,4RC1_F,4RC1_G,4RC1_H,4RC1_I,4U9P_A,4U9P_B,4U9P_C	No other examples
4.2.3.81	E3W202	Santalum album	5ZZJ_A,5ZZJ_B,5ZZJ_C,5ZZJ_D	No other examples
4.3.2.1	P04424	Homo sapiens	1AOS_A,1AOS_B,1K62_A,1K62_B	No similarity
4.3.2.2	A0R4I6	Mycolicibacterium smegmatis	4NLE_A,4NLE_B	No similarity
4.3.2.7	Q8WUX2	Homo sapiens	6KY1_A,6KY1_B,6KY1_C,6K95_A,6K95_B,6K95_C,6KY0_A,6KY0_B,6KY0_C	No other examples
4.3.3.7	Q3MFY8	Trichormus variabilis	5KT0_A	No similarity
4.4.1.19	Q57703	Methanocaldococcus jannaschii	1QWG_A	No other examples
4.6.1.23	P00655	Aspergillus giganteus	1DE3_A,1R4Y_A	No other examples
4.99.1.3	P61816	Methanosarcina barkeri	6M2A_A,6M2A_B	No other examples
5.1.1.19	D2Z026	Streptomyces lavendulae subsp. lavendulae	7VDY_A,7VDY_B	No other examples
5.1.1.20	P51981	Escherichia coli	1JPD_X	No similarity
5.1.1.8	Q9I476	Pseudomonas aeruginosa	2AZP_A	No other examples
5.1.3.31	N0DP12	Mesorhizobium loti	3VYL_A,3VYL_B,3VYL_C,3VYL_D,3VYL_E,3VYL_F,3VYL_G,3VYL_H	No other examples
5.1.99.3	E3SAZ9	Pseudomonas fluorescens	5LG5_A,5LG5_B,5LG5_C,5LG5_D,5LG5_F,5LG5_G,5LFD_A,5LFD_B	No other examples
5.1.99.8	P0AC19	Escherichia coli	1B9L_A,1B9L_B,1B9L_C,1B9L_D,1B9L_E,1B9L_F,1B9L_G,1B9L_H	No other examples
5.3.2.6	A2SL37	Methylibium petroleiphilum	4FDX_A,4FDX_B	No other examples
5.3.2.6	A9W9U6	Chloroflexus aurantiacus	3MB2_A,3MB2_B,3MB2_C,3MB2_D,3MB2_E,3MB2_F,3MB2_G,3MB2_H,3MB2_I,3MB2_J,3MB2_K,3MB2_L	No other examples
5.3.2.6	O29588	Archaeoglobus fulgidus	3M20_A,3M20_B,3M20_C	No other examples
5.3.3.6	Q0QLE6	Eubacterium barkeri	3G7K_A,3G7K_B,3G7K_C,3G7K_D	No other examples
5.4.2.2	Q4QCF1	Leishmania major	4QG5_A,4QG5_B,4QG5_C,4QG5_D	No similarity
5.5.1.2	Q2HNZ1	Agrobacterium tumefaciens	2FEL_A,2FEL_B,2FEL_D,2FEL_C,2FEL_E,2FEL_F,2FEL_G,2FEL_H,2FEL_I,2FEL_J,2FEL_L,2FEL_K,2FEN_A,2FEN_B,2FEN_D,2FEN_C,2FEN_E,2FEN_F,2FEN_H,2FEN_G,2FEN_I,2FEN_J,2FEN_L,2FEN_K	No other examples
5.5.1.7	Q8G9L1	Rhodococcus opacus	4M0X_A,4M0X_B	No other examples
5.6.1.3	Q61768	Mus musculus	6IGV_A,6IGN_A	No similarity
5.6.2.3	Q96RR1	Homo sapiens	7T8C_A,7T8C_B,7T8C_C,7T8C_D,7T8C_E,7T8C_F,7T8C_G,7T8B_A,7T8B_B,7T8B_C,7T8B_D,7T8B_E,7T8B_F,7T8B_G,7T8B_H	No similarity
5.6.2.4	P17888	Escherichia coli	2DWL_E,2DWL_F,2DWL_A,2DWL_B,2DWL_C,2DWL_D,2D7H_A,2D7H_B,2D7H_C,2D7H_D,2D7H_E,6DCR_A,6DCR_B,2D7G_A,2D7G_B,2D7G_C,2D7G_D,2D7G_E,2D7G_F,2D7G_G,2D7G_H,2DWN_A,2DWN_B,2DWN_C,2DWN_D,2DWN_E,2DWN_F,2D7E_A,2D7E_B,2D7E_C,2D7E_D,2DWM_E,2DWM_F,2DWM_G,2DWM_A,2DWM_B,2DWM_C,2DWM_D	No similarity
6.1.1.12	Q6PI48	Homo sapiens	4AH6_A,4AH6_B,4AH6_C,4AH6_D	No similarity
6.1.1.15	Q58635	Methanocaldococcus jannaschii	1NJ8_A,1NJ8_B,1NJ8_C,1NJ8_D	No other examples
6.1.1.18	P47897	Homo sapiens	4R3Z_A,4R3Z_B,4R3Z_C,4YE6_A,4YE9_A,4YE8_A	No similarity
6.1.1.4	O58698	Pyrococcus horikoshii	1WZ2_C,1WZ2_D,1WZ2_A,1WZ2_B,1WKB_A	No similarity
6.2.2.2	B2KYG8	uncultured Prochloron sp. 06037A	4BS9_A	No other examples
6.3.1.2	O04998	Medicago truncatula	4IS4_A,4IS4_B,4IS4_C,4IS4_D,4IS4_E,4IS4_F,4IS4_G,4IS4_H,4IS4_I,4IS4_J	No similarity
6.3.1.9	Q711P7	Leishmania major	2VOB_A,2VOB_B,2VPS_A,2VPM_A,2VPM_B	No other examples
6.3.3.1	P08178	Escherichia coli	1CLI_A,1CLI_B,1CLI_C,1CLI_D	No other examples
6.3.4.21	Q6XQN6	Homo sapiens	4YUB_A,4YUB_B	No other examples
