ID	Title	Authors	Journal	Year	Pages	Volume	PMID
35	Overexpression of bacterial xylose isomerase and yeast host xylulokinase improves xylose alcoholic fermentation in the thermotolerant yeast Hansenula polymorpha	Dmytruk, O.V.,Voronovsky, A.Y.,Abbas, C.A.,Dmytruk, K.V.,Ishchuk, O.P.,Sibirny, A.A.	FEMS Yeast Res.	2008	165-173	8	17662053
36	Metabolic engineering of Saccharomyces cerevisiae for conversion of D-glucose to xylitol and other five-carbon sugars and sugar alcohols. Appl. Environ	Toivari, M.H.,Ruohonen, L.,Miasnikov, A.N.,Richard, P.,Penttila, M.	Microbiol.	2007	5471-5476	73	17630301
37	High activity of xylose reductase and xylitol dehydrogenase improves xylose fermentation by recombinant Saccharomyces cerevisiae. Appl. Microbiol	Karhumaa, K.,Fromanger, R.,Hahn-Haegerdal, B.,Gorwa-Grauslund, M.	Biotechnol.	2007	1039-1046	73	16977466
38	A rare sugar xylitol. Part I: The biochemistry and biosynthesis of xylitol. Appl. Microbiol	Granstroem, T.B.,Izumori, K.,Leisola, M.	Biotechnol.	2007	277-281	74	17216457
39	Catalytic mechanism of Zn2+-dependent polyol dehydrogenases: kinetic comparison of sheep liver sorbitol dehydrogenase with wild-type and Glu154-Cys forms of yeast xylitol dehydrogenase. Biochem	Klimacek, M.,Hellmer, H.,Nidetzky, B.	J.	2007	421-429	404	17343568
40	Production of L-xylulose from xylitol by a newly isolated strain of Bacillus pallidus Y25 and characterization of its relevant enzyme xylitol dehydrogenase. Enzyme Microb	Poonperm, W.,Takata, G.,Morimoto, K.,Granstroem, T.B.,Izumori, K.	Technol.	2007	1206-1212	40	-----
41	Thermostabilization of Pichia stipitis xylitol dehydrogenase by mutation of structural zinc-binding loop. J	Annaluru, N.,Watanabe, S.,Pack, S.P.,Saleh, A.A.,Kodaki, T.,Makino, K.	Biotechnol.	2007	717-722	129	17350704
42	Effect of the reversal of coenzyme specificity by expression of mutated Pichia stipitis xylitol dehydrogenase in recombinant Saccharomyces cerevisiae. Lett. Appl	Hou, J.,Shen, Y.,Li, X.P.,Bao, X.M.	Microbiol.	2007	184-189	45	17651216
43	Engineering of a matched pair of xylose reductase and xylitol dehydrogenase for xylose fermentation by Saccharomyces cerevisiae. Biotechnol	Krahulec, S.,Klimacek, M.,Nidetzky, B.	J.	2009	684-694	4	19452479
44	Profiles of xylose reductase, xylitol dehydrogenase and xylitol production under different oxygen transfer volumetric coefficient values. J. Chem. Technol	Branco, R.,dos Santos, J.,Sarrouh, B.,Rivaldi, J.,Pessoa Jr., A.,da Silva, S.	Biotechnol.	2009	326-330	84	-----
45	The behavior of key enzymes of xylose metabolism on the xylitol production by Candida guilliermondii grown in hemicellulosic hydrolysate. J. Ind. Microbiol	Gurpilhares, D.B.,Hasmann, F.A.,Pessoa, A.,Roberto, I.C.	Biotechnol.	2009	87-93	36	18830730
46	Altering the coenzyme preference of xylose reductase to favor utilization of NADH enhances ethanol yield from xylose in a metabolically engineered strain of Saccharomyces cerevisiae. Microb	Petschacher, B.,Nidetzky, B.	Cell Fact.	2008	9	7	18346277
47	Cloning and characterization of a thermostable xylitol dehydrogenase from Rhizobium etli CFN42. Appl. Microbiol	Tiwari, M.K.,Moon, H.J.,Jeya, M.,Lee, J.K.	Biotechnol.	2010	571-581	87	20177886
48	NAD+-dependent xylitol dehydrogenase (xdhA) and L-arabitol-4-dehydrogenase (ladA) deletion mutants of Aspergillus oryzae for improved xylitol production. Biotechnol	Mahmud, A.,Hattori, K.,Hongwen, C.,Kitamoto, N.,Suzuki, T.,Nakamura, K.,Takamizawa, K.	Lett.	2013	769-777	35	23436125
49	Feasibility of xylose fermentation by engineered Saccharomyces cerevisiae overexpressing endogenous aldose reductase (GRE3), xylitol dehydrogenase (XYL2) and xylulokinase (XYL3) from Scheffersomyces stipitis	Kim, S.R.,Kwee, N.R.,Kim, H.,Jin, Y.S.	FEMS Yeast Res.	2013	312-321	13	23398717
50	Purification of xylitol dehydrogenase and improved production of xylitol by increasing XDH activity and NADH supply in Gluconobacter oxydans. J. Agric	Zhang, J.,Li, S.,Xu, H.,Zhou, P.,Zhang, L.,Ouyang, P.	Food Chem.	2013	2861-2867	61	-----
51	Analysis and prediction of the physiological effects of altered coenzyme specificity in xylose reductase and xylitol dehydrogenase during xylose fermentation by Saccharomyces cerevisiae. J	Krahulec, S.,Klimacek, M.,Nidetzky, B.	Biotechnol.	2012	192-202	158	21903144
52	Molecular analysis of NAD+-dependent xylitol dehydrogenase from the zygomycetous fungus Rhizomucor pusillus and reversal of the coenzyme preference. Biosci. Biotechnol	Yamasaki-Yashiki, S.,Komeda, H.,Hoshino, K.,Asano, Y.	Biochem.	2014	1943-1953	78	25082263
53	Effects of xylitol dehydrogenase (XYL2) on xylose fermentation by engineered Candida glycerinogenes. Biotechnol. Appl	Zong, H.,Zhang, C.,Zhuge, B.,Lu, X.,Fang, H.,Sun, J.	Biochem.	2017	590-599	64	27245615
54	Enhanced xylitol production: Expression of xylitol dehydrogenase from Gluconobacter oxydans and mixed culture of resting cell. J. Biosci	Qi, X.H.,Zhu, J.F.,Yun, J.H.,Lin, J.,Qi, Y.L.,Guo, Q.,Xu, H.	Bioeng.	2016	257-262	122	26975753
55	Purification and characterization of xylitol dehydrogenase with L-arabitol dehydrogenase activity from the newly isolated pentose-fermenting yeast Meyerozyma caribbica 5XY2. J. Biosci	Sukpipat, W.,Komeda, H.,Prasertsan, P.,Asano, Y.	Bioeng.	2016	20-27	123	27506274
56	Point mutation of the xylose reductase (XR) gene reduces xylitol accumulation and increases citric acid production in Aspergillus carbonarius. J. Ind. Microbiol	Weyda, I.,Luebeck, M.,Ahring, B.K.,Luebeck, P.S.	Biotechnol.	2014	733-739	41	24570325
57	Integrative expression vectors for overexpression of xylitol dehydrogenase (XYL2) in osmotolerant yeast, Candida glycerinogenes WL2002-5. J. Ind. Microbiol	Zhang, C.,Zong, H.,Zhuge, B.,Lu, X.,Fang, H.,Zhuge, J.	Biotechnol.	2015	113-124	42	25363139
58	Xylitol production by NAD+-dependent xylitol dehydrogenase (xdhA)- and L-arabitol-4-dehydrogenase (ladA)-disrupted mutants of Aspergillus oryzae. J. Biosci	Mahmud, A.,Hattori, K.,Hongwen, C.,Kitamoto, N.,Suzuki, T.,Nakamura, K.,Takamizawa, K.	Bioeng.	2013	353-359	115	23287496
59	Boost in bioethanol production using recombinant Saccharomyces cerevisiae with mutated strictly NADPH-dependent xylose reductase and NADP+-dependent xylitol dehydrogenase. J	Khattab, S.M.,Saimura, M.,Kodaki, T.	Biotechnol.	2013	153-156	165	23578809
60	Molecular analysis of NAD+-dependent xylitol dehydrogenase from the zygomycetous fungus Rhizomucor pusillus and reversal of the coenzyme preference. Biosci. Biotechnol	Yamasaki-Yashiki, S.,Komeda, H.,Hoshino, K.,Asano, Y.	Biochem.	2014	1943-1953	78	25082263
61	Purification of xylitol dehydrogenase and improved production of xylitol by increasing XDH activity and NADH supply in Gluconobacter oxydans. J. Agric	Zhang, J.,Li, S.,Xu, H.,Zhou, P.,Zhang, L.,Ouyang, P.	Food Chem.	2013	2861-2867	61	23432201
62	Xylitol production by NAD+-dependent xylitol dehydrogenase (xdhA)- and L-arabitol-4-dehydrogenase (ladA)-disrupted mutants of Aspergillus oryzae. J. Biosci	Mahmud, A.,Hattori, K.,Hongwen, C.,Kitamoto, N.,Suzuki, T.,Nakamura, K.,Takamizawa, K.	Bioeng.	2013	353-359	115	23287496
63	Enhanced xylitol production	 expression of xylitol dehydrogenase from Gluconobacter oxydans and mixed culture of resting cell. J. Biosci	Qi, X.H.,Zhu, J.F.,Yun, J.H.,Lin, J.,Qi, Y.L.,Guo, Q.,Xu, H.	Bioeng.	2016	257-262	122	26975753
64	Analysis of metabolisms and transports of xylitol using xylose- and xylitol-assimilating Saccharomyces cerevisiae. J. Biosci	Tani, T.,Taguchi, H.,Akamatsu, T.	Bioeng.	2017	613-620	123	28126230
65	Point mutation of the xylose reductase (XR) gene reduces xylitol accumulation and increases citric acid production in Aspergillus carbonarius. J. Ind. Microbiol	Weyda, I.,Luebeck, M.,Ahring, B.K.,Luebeck, P.S.	Biotechnol.	2014	733-739	41	24570325
66	Enhanced xylose fermentation by engineered yeast expressing NADH oxidase through high cell density inoculums. J. Ind. Microbiol	Zhang, G.C.,Turner, T.L.,Jin, Y.S.	Biotechnol.	2017	387-395	44	28070721
67	Identification of NAD-dependent xylitol dehydrogenase from Gluconobacter oxydans WSH-003	Liu, L.,Zeng, W.,Du, G.,Chen, J.,Zhou, J.	ACS omega	2019	15074-15080	4	31552350
68	Construction of efficient xylose-fermenting Saccharomyces cerevisiae through a synthetic isozyme system of xylose reductase from Scheffersomyces stipitis. Biores	Jo, J.H.,Park, Y.C.,Jin, Y.S.,Seo, J.H.	Technol.	2017	88-94	241	28550778
69	Xylose fermentation efficiency of industrial Saccharomyces cerevisiae yeast with separate or combined xylose reductase/xylitol dehydrogenase and xylose isomerase pathways. Biotechnol	Cunha, J.T.,Soares, P.O.,Romani, A.,Thevelein, J.M.,Domingues, L.	Biofuels	2019	20	12	30705706
70	Photosynthetic reduction of xylose to xylitol using cyanobacteria. Biotechnol	Fan, E.S.,Lu, K.W.,Wen, R.C.,Shen, C.R.	J.	2020	e1900354	15	32388928
71	Combining xylose reductase from Spathaspora arborariae with xylitol dehydrogenase from Spathaspora passalidarum to promote xylose consumption and fermentation into xylitol by Saccharomyces cerevisiae	Mouro, A.,Santos, A.,Agnolo, D.,Gubert, G.,Bon, E.,Rosa, C.,Fonseca, C.,Stambuk, B.	Fermentation	2020	72	6	-----
72	Purification and characterization of xylitol dehydrogenase with L-arabitol dehydrogenase activity from the newly isolated pentose-fermenting yeast Meyerozyma caribbica 5XY2. J. Biosci	Sukpipat, W.,Komeda, H.,Prasertsan, P.,Asano, Y.	Bioeng.	2017	20-27	123	27506274
73	Cloning and functional characterization of xylitol dehydrogenase genes from Issatchenkia orientalis and Torulaspora delbrueckii. J. Biosci	Han, X.,Hu, X.,Zhou, C.,Wang, H.,Li, Q.,Ouyang, Y.,Kuang, X.,Xiao, D.,Xiang, Q.,Yu, X.,Li, X.,Gu, Y.,Zhao, K.,Chen, Q.,Ma, M.	Bioeng.	2020	29-35	130	32171656
74	Heterologous expression of Spathaspora passalidarum xylose reductase and xylitol dehydrogenase genes improved xylose fermentation ability of Aureobasidium pullulans. Microb	Guo, J.,Huang, S.,Chen, Y.,Guo, X.,Xiao, D.	Cell Fact.	2018	64	17	29712559
