ID	Title	Authors	Journal	Year	Pages	Volume	PMID
13	Isolation and characterization of rat liver aldehyde reductase. Biochim. Biophys	Turner, A.J.,Hryszko, J.	Acta	1980	256-265	613	7448191
14	Purification of the high-Km aldehyde reductase from rat brain and liver and from ox brain. Biochem	Rivett, A.J.,Smith, I.L.,Tipton, K.F.	J.	1981	473-481	197	6798966
15	Kinetic mechanisms in the reduction of aldehydes and ketones catalyzed by rabbit liver aldehyde reductases and hydroxysteroid dehydrogenases. J	Sawada, H.,Hara, A.,Nakayama, T.,Hayashibara, M.	Biochem.	1982	185-191	92	6749832
16	Aldehyde reductases: Monomeric NADPH-dependent oxidoreductases with multifunctional potential. Biochem	Flynn, T.G.	Pharmacol.	1982	2705-2712	31	6814444
17	Purification and characterization of the multiple forms of aldehyde reductase in ox kidney. Biochem	Daly, A.K.,Mantle, T.J.	J.	1982	373-380	205	6753832
18	The kinetic mechanism of the major form of ox kidney aldehyde reductase with D-glucuronic acid. Biochem	Daly, A.K.,Mantle, T.J.	J.	1982	381-388	205	6814425
19	Properties of an aldose reductase from pig lens. Comparative studies of an aldehyde reductase from pig lens. Eur. J	Branlant, G.	Biochem.	1982	99-104	129	6819141
20	Purification and properties of human liver aldehyde reductases. Biochim. Biophys	Petrash, J.M.,Srivastava, S.K.	Acta	1982	105-114	707	6753936
21	Tissue distribution of mammalian aldose reductase and related enzymes. Biochem	Markus, H.B.,Raducha, M.,Harris, H.	Med.	1983	31-45	29	6404249
22	Purification and properties of an NADPH-linked aldehyde reductase from rat kidney. Biochim. Biophys	Takahashi, N.,Saito, T.,Tomita, K.	Acta	1983	444-452	748	6416297
23	Isolation and characterization of multiforms of aldehyde reductase in chicken kidney. Eur. J	Hara, A.,Deyashiki, Y.,Nakayama, T.,Sawada, H.	Biochem.	1983	207-214	133	6343086
24	The kinetics and mechanism of pig-liver aldehyde reductase. Comparative studies with pyridine-3-aldehyde and p-carboxybenzaldehyde. Eur. J	Magnien, A.,Branlant, G.	Biochem.	1983	375-381	131	6339239
25	Purification and properties of aldose reductase and aldehyde reductase II from human erythrocyte. Arch. Biochem	Das, B.,Srivastava, S.K.	Biophys.	1985	670-679	238	3922304
26	Purification and properties of aldehyde reductases from human placenta. Biochim. Biophys	Das, B.,Srivastava, S.K.	Acta	1985	324-333	840	3890957
27	Purification of aldehyde reductase 1 from pig liver. J	Kovar, J.,Plocek, J.	Chromatogr.	1986	371-375	351	3514645
28	Kinetic mechanism of sheep liver NADPH-dependent aldehyde reductase. Biochem	De Jongh, K.S.,Schofield, P.J.,Edwards, M.R.	J.	1987	143-150	242	3593233
29	Purification and properties of primary and secondary alcohol dehydrogenases from Thermoanaerobacter ethanolicus. Appl. Environ	Bryant, F.O.,Wiegel, J.,Ljungdahl, L.G.	Microbiol.	1988	460-465	2	-----
30	Characterization of aldose reductase and aldehyde reductase from rat testis. Biochim. Biophys	Kawasaki, N.,Tanimoto, T.,Tanaka, A.	Acta	1989	30-36	996	2500152
31	The NADP-linked aldehyde reductase from Trypanosoma cruzi subcellular localization and some properties. FEMS Microbiol	Arauzo, S.,Cazzulo, J.J.	Lett.	1989	283-286	58	2663637
32	A novel NADPH-dependent aldehyde reductase, catalyzing asymmetric reduction of beta-keto acid esters, from Sporobolomyces salmonicolor: purification and characterization. FEMS Microbiol	Yamada, H.,Shimizu, S.,Kataoka, M.,Sakai, H.,Miyoshi, T.	Lett.	1990	45-48	70	-----
33	Localization, isolation and properties of three NADPH-dependent aldehyde reducing enzymes from dog kidney. Biochim. Biophys	Ohta, M.,Tanimoto, T.,Tanaka, A.	Acta	1991	395-403	1078	1907200
34	Purification of acetaldehyde dehydrogenase and alcohol dehydrogenases from Thermoanaerobacter ethanolicus 39E and characterization of the secondary-alcohol dehydrogenase (2 degrees Adh) as a bifunctional alcohol dehydrogenase-acetyl-CoA reductive thioesterase. Biochem	Burdette, D.,Zeikus, J.G.	J.	1994	163-170	302	8068002
35	Purification and characterization of NADP-specific alcohol dehydrogenase and glutamate dehydrogenase from the hyperthermophilic archaeon Thermococcus litoralis. Appl. Environ	Ma, K.,Robb, F.T.,Adams, M.W.	Microbiol.	1994	562-568	60	8135516
36	Mechanism of human aldehyde reductase: characterization of the active site pocket	Barski, O.A.,Gabbay, K.H.,Grimshaw, C.E.,Bohren, K.M.	Biochemistry	1995	11264-11275	34	7669785
37	The C-terminal loop of aldehyde reductase determines the substrate and inhibitor specificity	Barski, O.A.,Gabbay, K.H.,Bohren, K.M.	Biochemistry	1996	14276-14280	35	8916913
38	Thermoanaerobacter brockii alcohol dehydrogenase: characterization of the active site metal and its ligand amino acids	Bogin, O.,Peretz, M.,Burstein, Y.	Protein Sci.	1997	450-458	6	9041649
39	Purification and sequence analysis of a novel NADP(H)-dependent type III alcohol dehydrogenase from Thermococcus strain AN1. J	Li, D.,Stevenson, K.J.	Bacteriol.	1997	4433-4437	179	9209068
40	Purification and characterization of a novel NADP-dependent branched-chain alcohol dehydrogenase from Saccharomyces cerevisiae. Appl. Environ	Van Iersel, M.F.,Eppink, M.H.,van Berkel, W.J.,Rombouts, F.M.,Abee, T.	Microbiol.	1997	4079-4082	63	9327572
41	Mitochondrial aldehyde reductase: identification and characterization in rat liver and kidney cortex. Int. J. Biochem	Udovikova, E.A.,Wojtczak, L.	Cell Biol.	1998	597-608	30	9693960
42	Purification and characterization of a NADPH-dependent aldehyde reductase from mung bean that detoxifies eutypine, a toxin from Eutypa lata1	Colrat, S.,Latche, A.,Guis, M.,Pech, J.C.,Bouzayen, M.,Fallot, J.,Roustan, J.P.	Plant Physiol.	1999	621-626	119	9952458
43	Structural and enzymatic properties of a gastric NADP(H)-dependent and retinal-active alcohol dehydrogenase. J. Biol	Peralba, J.M.,Cederlund, E.,Crosas, B.,Moreno, A.,Julia, P.,Martinez, S.E.,Persson, B.,Farr s, J.,Pares, X.,Jornvall, H.	Chem.	1999	26021-26026	274	10473548
44	Cloning and over-expression in Escherichia coli of the gene encoding NADPH group III alcohol dehydrogenase from Thermococcus hydrothermalis. Characterization and comparison of the native and the recombinant enzymes. Eur. J	Antoine, E.,Rolland, J.L.,Raffin, J.P.,Dietrich, J.	Biochem.	1999	880-889	264	10491136
45	Crystal structure of a thermophilic alcohol dehydrogenase substrate complex suggests determinants of substrate specificity and thermostability	Li, C.,Heatwole, J.,Soelaiman, S.,Shoham, M.	Proteins	1999	619-627	37	10651277
46	Thermostable NADP(+)-dependent medium-chain alcohol dehydrogenase from Acinetobacter sp. strain M-1: purification and characterization and gene expression in Escherichia coli. Appl. Environ	Tani, A.,Sakai, Y.,Ishige, T.,Kato, N.	Microbiol.	2000	5231-5235	66	11097895
47	Molecular and biochemical characterization of Mycobacterium smegmatis alcohol dehydrogenase C. FEMS Microbiol	Galamba, A.,Soetaert, K.,Buyssens, P.,Monnaie, D.,Jacobs, P.,Content, J.	Lett.	2001	51-56	196	11257547
48	Crystal structure of an aldehyde reductase Y50F mutant-NADP complex and its implications for substrate binding	Ye, Q.,Hyndman, D.,Green, N.,Li, X.,Korithoski, B.,Jia, Z.,Flynn, T.G.	Proteins	2001	12-19	44	11354001
49	Partial purification and characterization of NADPH-linked aldehyde reductase from monkey brain. J	Bronaugh, R.L.,Erwin, V.	Neurochem.	1973	809-815	21	4148240
50	Distribution and properties of NADPH-linked aldehyde reductases from rat brain synaptosomes. Neurochem	Reyes, E.,Erwin, V.	Res.	1977	87-97	2	24271851
51	Purification from human brain and some properties of two NADPH-linked aldehyde reductases which reduce succinic semialdehyde to 4-hydroxybutyrate. J	Cash, C.,Maitre, M.,Mandel, P.	Neurochem.	1979	1169-1175	33	45199
52	Purification and properties of NADP-linked, alcohol dehydrogenase from Entamoeba histolytica. J	Lo, H.S.,Chang, C.J.	Parasitol.	1982	372-377	68	6284905
53	Purification and characterization of four NADPH-dependent aldehyde reductases from pig brain. J	Cromlish, J.A.,Yoshimoto, C.K.,Flynn, T.G.	Neurochem.	1985	1477-1484	44	3886844
54	Kinetic studies on the major form of aldehyde reductase in ox kidney: a general kinetic mechanism to explain substrate-dependent mechanisms and the inhibition by anticonsulvants. J	Worrall, D.M.,Daly, A.K.,mantle, T.J.	Enzyme Inhib.	1986	163-168	1	3508911
55	Purification and properties of aldose reductase and aldehyde reductase II from human lens	Das, B.,Song, H.P.,Ansari, N.H.,Hair, G.A.,Srivastava, S.K.	Lens Res.	1987	309-335	4	-----
56	Isolation and characterization of aldose reductase and aldehyde reductase II from bovine lens	Das, B.,Hair, G.A.,Ansari, N.H.,Srivastava, S.K.	Lens Res.	1988	233-247	5	-----
57	Purification and characterization of human testis aldose and aldehyde reductase. Int. J	Tanimoto, T.,Ohta, M.,Tanaka, A.,Ikemoto, I.,Machida, T.	Biochem.	1991	421-428	23	1901806
58	Characterization of microsomal NADPH-dependent aldehyde reductase from rat brain. J	Takahashi, N.,Saito, T.,Goda, Y.,Tomita, K.	Biochem.	1986	513-519	99	3084464
59	Thermophilic alcohol dehydrogenase from the mesophile Entamoeba histolytica: crystallization and preliminary X-ray characterization. Acta Crystallogr. Sect	Shimon, L.J.,Peretz, M.,Goihberg, E.,Burstein, Y.,Frolow, F.	D	2002	546-548	58	11856851
60	Crystallization and preliminary X-ray analysis of NADP(H)-dependent alcohol dehydrogenases from Saccharomyces cerevisiae and Rana perezi. Acta Crystallogr. Sect	Valencia, E.,Rosell, A.,Larroy, C.,Farres, J.,Biosca, J.A.,Fita, I.,Pares, X.,Ochoa, W.F.	D	2003	334-337	59	12554944
61	Thermodynamics of the reduction of NADP with 2-propanol catalyzed by an NADP-dependent alcohol dehydrogenase. Arch. Biochem	King, M.T.	Biophys.	2003	280-286	410	12573288
62	Characterization of the Saccharomyces cerevisiae YMR318C (ADH6) gene product as a broad specificity NADPH-dependent alcohol dehydrogenase: relevance in aldehyde reduction. Biochem	Larroy, C.,Fernandez, M.R.,Gonzalez, E.,Pares, X.,Biosca, J.A.	J.	2002	163-172	361	11742541
63	Kinetic properties of native and mutagenized isoforms of mitochondrial alcohol dehydrogenase III purified from Kluyveromyces lactis	Brisdelli, F.,Saliola, M.,Pascarella, S.,Luzi, C.,Franceschini, N.,Falcone, C.,Martini, F.,Bozzi, A.	Biochimie	2004	705-712	86	15556281
64	Improved synthesis of chiral alcohols with Escherichia coli cells co-expressing pyridine nucleotide transhydrogenase, NADP(+)-dependent alcohol dehydrogenase and NAD(+)-dependent formate dehydrogenase. Biotechnol	Weckbecker, A.,Hummel, W.	Lett.	2004	1739-1744	26	15604828
65	Occurrence of a novel NADP(+)-linked alcohol dehydrogenase in Euglena gracilis. Comp. Biochem. Physiol	Munir, I.,Nakazawa, M.,Harano, K.,Yamaji, R.,Inui, H.,Miyatake, K.,Nakano, Y.	B	2002	535-540	132	12091098
66	The crystal structure of R-specific alcohol dehydrogenase from Lactobacillus brevis suggests the structural basis of its metal dependency. J. Mol	Niefind, K.,Muller, J.,Riebel, B.,Hummel, W.,Schomburg, D.	Biol.	2003	317-328	327	12628239
67	Crystal structure of the vertebrate NADP(H)-dependent alcohol dehydrogenase (ADH8). J. Mol	Rosell, A.,Valencia, E.,Pares, X.,Fita, I.,Farres, J.,Ochoa, W.F.	Biol.	2003	75-85	330	12818203
68	Crystal structure of E. coli alcohol dehydrogenase YqhD: evidence of a covalently modified NADP coenzyme. J. Mol	Sulzenbacher, G.,Alvarez, K.,Van Den Heuvel, R.H.,Versluis, C.,Spinelli, S.,Campanacci, V.,Valencia, C.,Cambillau, C.,Eklund, H.,Tegoni, M.	Biol.	2004	489-502	342	15327949
69	A novel potato defence-related alcohol:NADP+ oxidoreductase induced in response to Erwinia carotovora. Plant Mol	Montesano, M.,Hyytiainen, H.,Wettstein, R.,Palva, E.T.	Biol.	2003	177-189	52	12825698
70	Developmental expression and function of aldehyde reductase in proximal tubules of the kidney. Am. J. Physiol	Barski, O.A.,Papusha, V.Z.,Ivanova, M.M.,Rudman, D.M.,Finegold, M.J.	Renal Physiol.	2005	F200-F207	289	15769935
71	Exploitation of the alcohol dehydrogenase-acetone NADP-regeneration system for the enzymatic preparative-scale production of 12-ketochenodeoxycholic acid. Biotechnol	Fossati, E.,Polentini, F.,Carrea, G.,Riva, S.	Bioeng.	2006	1216-1220	93	16245351
72	Kinetic modeling of acetophenone reduction catalyzed by alcohol dehydrogenase from Thermoanaerobacter sp.. Biotechnol	Findrik, Z.,Vasic-Racki, D.,Luetz, S.,Daussmann, T.,Wandrey, C.	Lett.	2005	1087-1095	27	16132858
73	Structure of aldehyde reductase holoenzyme in complex with the potent aldose reductase inhibitor fidarestat: implications for inhibitor binding and selectivity. J. Med	El-Kabbani, O.,Carbone, V.,Darmanin, C.,Oka, M.,Mitschler, A.,Podjarny, A.,Schulze-Briese, C.,Chung, R.P.	Chem.	2005	5536-5542	48	16107153
74	Enatioselective reduction of carbonyl compounds by whole-cell biotransformation, combining a formate dehydrogenase and (R)-specific alcohol dehydrogenase. Appl. Microbiol	Ernst, M.,Kaup, B.,Mueller, M.,Bringer-Meyer, S.,Sahm, H.	Biotechnol.	2005	629-634	66	15549291
75	Synthesis of linear gramicidin requires the cooperation of two independent reductases	Schracke, N.H.,Linne, U.,Christoph Mahlert, C.,Marahiel, M.A.	Biochemistry	2005	8507-8513	44	15938641
76	Asymmetric reduction of ethyl 4-chloro-3-oxobutanoate to ethyl (R)-4-chloro-3-hydroxybutanoate with two co-existing, recombinant Escherichia coli strains. Biotechnol	Liu, Y.,Jing, K.,Jiang, X.,Lin, J.,Wang, F.,Cen, P.	Lett.	2005	119-125	27	15703875
77	Factorizing selectivity determinants of inhibitor binding toward aldose and aldehyde reductases: structural and thermodynamic properties of the aldose reductase mutant Leu300Pro-fidarestat complex. J. Med	Petroval, T.,Steuber, H.,Hazemann, I.,Cousido-Siah, A.,Mitschler, A.,Chung, R.,Oka, M.,Klebe, G.,El-Kabbani, O.,Joachimiak, A.,Podjarny, A.	Chem.	2005	5659-5665	48	16134934
78	Atomic resolution of R-specific alcohol dehydrogenase from Lactobacillus brevis provide the structual bases of its substrate and cosubstrate specificity. J. Mol	Schlieben, N.H.,Niefind, K.,Mueller, J.,Riebel, B.,Hummel, W.,Schomburg, D.	Biol.	2005	801-813	349	15896805
79	Efficient production of recombinant aldehyde reductase and its application for asymmetric reduction of ethyl-4-chloro-3-oxobutanoate to ethyl (R)-4-hydoxybutanoate. Prep. Biochem	Jing, K.,Xu, Y.,Liu, Y.,Jiang, X.,Peng, L.,Cen, P.	Biotechnol.	2005	203-215	35	16109633
80	Metabolism of trans, trans-muconaldehyde, acytotoxic metabolite of benzene, in mouse liver by alcohol dehydrogenase Adh1 and aldehyde reductase AKR1A4. Toxicol. Appl	Short, D.M.,Lyon, R.,Watson, D.G.,Barski, O.A.,McGarvie, G.,Ellis, E.M.	Pharmacol.	2006	163-170	210	16289176
81	Purification and characterization of an iron-containing alcohol dehydrogenase in extremely thermophilic bacterium Thermotoga hypogea. Arch	Ying, X.,Wang, Y.,Badiei, H.R.,Karanassios, V.,Ma, K.	Microbiol.	2007	499-510	187	17294170
82	Chemoenzymatic synthesis of the chiral side-chain of statins: application of an alcohol dehydrogenase catalysed ketone reduction on a large scale. Bioprocess Biosyst	Wolberg, M.,Filho, M.V.,Bode, S.,Geilenkirchen, P.,Feldmann, R.,Liese, A.,Hummel, W.,Mueller, M.	Eng.	2008	183-191	31	18288496
83	Escherichia coli YqhD exhibits aldehyde reductase activity and protects from the harmful effect of lipid peroxidation-derived aldehydes. J. Biol	Perez, J.M.,Arenas, F.A.,Pradenas, G.A.,Sandoval, J.M.,Vasquez, C.C.	Chem.	2008	7346-7353	283	18211903
84	Thermal stabilization of the protozoan Entamoeba histolytica alcohol dehydrogenase by a single proline substitution	Goihberg, E.,Dym, O.,Tel-Or, S.,Shimon, L.,Frolow, F.,Peretz, M.,Burstein, Y.	Proteins	2008	711-719	72	18260103
85	Purification, characterization, and potential bacterial wax production role of an NADPH-dependent fatty aldehyde reductase from Marinobacter aquaeolei VT8. Appl. Environ	Wahlen, B.D.,Oswald, W.S.,Seefeldt, L.C.,Barney, B.M.	Microbiol.	2009	2758-2764	75	19270127
86	Structure of aldehyde reductase in ternary complex with coenzyme and the potent 20alpha-hydroxysteroid dehydrogenase inhibitor 3,5-dichlorosalicylic acid: implications for inhibitor binding and selectivity. Arch. Biochem	Carbone, V.,Chung, R.,Endo, S.,Hara, A.,El-Kabbani, O.	Biophys.	2008	82-87	479	18782556
87	Aliphatic aldehyde reductase activity related to the formation of volatile alcohols in Vietnamese coriander leaves. Biosci. Biotechnol	Quynh, C.T.,Iijima, Y.,Morimitsu, Y.,Kubota, K.	Biochem.	2009	641-647	73	19270388
88	Laboratory evolution of Pyrococcus furiosus alcohol dehydrogenase to improve the production of (2S,5S)-hexanediol at moderate temperatures	Machielsen, R.,Leferink, N.G.,Hendriks, A.,Brouns, S.J.,Hennemann, H.G.,Daussmann, T.,van der Oost, J.	Extremophiles	2008	587-594	12	18452026
89	Molecular characterization of the recombinant iron-containing alcohol dehydrogenase from the hyperthermophilic Archaeon, Thermococcus strain ES1	Ying, X.,Grunden, A.M.,Nie, L.,Adams, M.W.,Ma, K.	Extremophiles	2009	299-311	13	19115036
90	A novel NADPH-dependent aldehyde reductase gene from Saccharomyces cerevisiae NRRL Y-12632 involved in the detoxification of aldehyde inhibitors derived from lignocellulosic biomass conversion	Liu, Z.L.,Moon, J.	Gene	2009	1-10	446	19577617
91	Characterization of an alcohol dehydrogenase from the cyanobacterium Synechocystis sp. strain PCC 6803 that responds to environmental stress conditions via the Hik34-Rre1 two-component system. J	Vidal, R.,Lopez-Maury, L.,Guerrero, M.G.,Florencio, F.J.	Bacteriol.	2009	4383-4391	191	19411329
92	Crystallization and preliminary crystallographic analysis of Gre2p, an NADP(+)-dependent alcohol dehydrogenase from Saccharomyces cerevisiae. Acta Crystallogr. Sect	Breicha, K.,Mueller, M.,Hummel, W.,Niefind, K.	F	2010	838-841	66	20606287
93	Structure of aldehyde reductase in ternary complex with a 5-arylidene-2,4-thiazolidinedione aldose reductase inhibitor. Eur. J. Med	Carbone, V.,Giglio, M.,Chung, R.,Huyton, T.,Adams, J.,Maccari, R.,Ottana, R.,Hara, A.,El-Kabbani, O.	Chem.	2010	1140-1145	45	20036445
94	Structural insight into the molecular basis of polyextremophilicity of short-chain alcohol dehydrogenase from the hyperthermophilic archaeon Thermococcus sibiricus	Bezsudnova, E.Y.,Boyko, K.M.,Polyakov, K.M.,Dorovatovskiy, P.V.,Stekhanova, T.N.,Gumerov, V.M.,Ravin, N.V.,Skryabin, K.G.,Kovalchuk, M.V.,Popov, V.O.	Biochimie	2012	2628-2638	94	22885278
95	Genetic and biochemical characterization of a short-chain alcohol dehydrogenase from the hyperthermophilic archaeon Pyrococcus furiosus. Eur. J	van der Oost, J.,Voorhorst, W.G.,Kengen, S.W.,Geerling, A.C.,Wittenhorst, V.,Gueguen, Y.,de Vos, W.M.	Biochem.	2001	3062-3068	268	11358525
96	Effect of organic solvents on the activity and stability of halophilic alcohol dehydrogenase (ADH2) from Haloferax volcanii	Alsafadi, D.,Paradisi, F.	Extremophiles	2013	115-122	17	23179592
97	An unusual oxygen-sensitive, iron- and zinc-containing alcohol dehydrogenase from the hyperthermophilic archaeon Pyrococcus furiosus. J	Ma, K.,Adams, M.W.	Bacteriol.	1999	1163-1170	181	9973342
98	Expression, purification and crystallization of a thermostable short-chain alcohol dehydrogenase from the archaeon Thermococcus sibiricus. Acta Crystallogr. Sect	Lyashenko, A.V.,Bezsudnova, E.Y.,Gumerov, V.M.,Lashkov, A.A.,Mardanov, A.V.,Mikhailov, A.M.,Polyakov, K.M.,Popov, V.O.,Ravin, N.V.,Skryabin, K.G.,Zabolotniy, V.K.,Stekhanova, T.N.,Kovalchuk, M.V.	F	2010	655-657	66	20516592
99	Characterization of a thermostable short-chain alcohol dehydrogenase from the hyperthermophilic archaeon Thermococcus sibiricus. Appl. Environ	Stekhanova, T.N.,Mardanov, A.V.,Bezsudnova, E.Y.,Gumerov, V.M.,Ravin, N.V.,Skryabin, K.G.,Popov, V.O.	Microbiol.	2010	4096-4098	76	20418438
100	Alcohol dehydrogenase from the hyperthermophilic archaeon Pyrobaculum aerophilum: stability at high temperature. Arch. Biochem	Ausili, A.,Vitale, A.,Labella, T.,Rosso, F.,Barbarisi, A.,Gómez-Fernández, J.C.,D'Auria, S.	Biophys.	2012	40-46	525	22683471
101	Covalent immobilization of alcohol dehydrogenase (ADH2) from Haloferax volcanii: how to maximize activity and optimize performance of halophilic enzymes. Mol	Alsafadi, D.,Paradisi, F.	Biotechnol.	2014	240-247	56	24062264
102	Physicochemical characterization of a thermostable alcohol dehydrogenase from Pyrobaculum aerophilum	Vitale, A.,Thorne, N.,Lovell, S.,Battaile, K.P.,Hu, X.,Shen, M.,D'Auria, S.,Auld, D.S.	PLoS One	2013	e63828	8	23755111
103	Engineering of NADPH-dependent aldo-keto reductase from Penicillium citrinum by directed evolution to improve thermostability and enantioselectivity. Appl. Microbiol	Asako, H.,Shimizu, M.,Itoh, N.	Biotechnol.	2008	805-812	80	18626639
104	Characterization of enzymes involved in the ethanol production of Moorella sp. HUC22-1. Arch	Inokuma, K.,Nakashimada, Y.,Akahoshi, T.,Nishio, N.	Microbiol.	2007	37-45	188	17318639
105	Novel NADP-linked alcohol-aldehyde/ketone oxidoreductase in thermophilic ethanologenic bacteria. Biochem	Lamed, R.J.,Zeikus, J.G.	J.	1981	183-190	195	7030321
106	Expression of a heat-stable NADPH-dependent alcohol dehydrogenase in Caldicellulosiruptor bescii results in furan aldehyde detoxification. Biotechnol	Chung, D.,Verbeke, T.J.,Cross, K.L.,Westpheling, J.,Elkins, J.G.	Biofuels	2015	102	8	26203301
107	Effects of elemental sulfur on the metabolism of the deep-sea hyperthermophilic archaeon Thermococcus strain ES-1: characterization of a sulfur-regulated, non-heme iron alcohol dehydrogenase. J	Ma, K.,Loessner, H.,Heider, J.,Johnson, M.K.,Adams, M.W.	Bacteriol.	1995	4748-4756	177	7642502
108	Mutation of Thermoanaerobacter ethanolicus secondary alcohol dehydrogenase at Trp-110 affects stereoselectivity of aromatic ketone reduction. Org. Biomol	Patel, J.M.,Musa, M.M.,Rodriguez, L.,Sutton, D.A.,Popik, V.V.,Phillips, R.S.	Chem.	2014	5905-5910	12	24984815
109	Separation and properties of two novel NADP+-dependent alcohol dehydrogenases from Euglena gracilis Z. Pak. J. Biol	Munir, I.,Swati, Z.,Rashid, M.,Yamaji, R.,Inui, H.,Nakano, Y.	Sci.	2006	2743-2747	9	-----
110	Single gene insertion drives bioalcohol production by a thermophilic archaeon. Proc. Natl. Acad. Sci	Basen, M.,Schut, G.J.,Nguyen, D.M.,Lipscomb, G.L.,Benn, R.A.,Prybol, C.J.,Vaccaro, B.J.,Poole, F.L.,Kelly, R.M.,Adams, M.W.	USA	2014	17618-17623	111	25368184
111	Alcohol dehydrogenases from Scheffersomyces stipitis involved in the detoxification of aldehyde inhibitors derived from lignocellulosic biomass conversion. Appl. Microbiol	Ma, M.,Wang, X.,Zhang, X.,Zhao, X.	Biotechnol.	2013	8411-8425	97	23912116
112	Group III alcohol dehydrogenase from Pectobacterium atrosepticum: insights into enzymatic activity and organization of the metal ion-containing region. Appl. Microbiol	Elleuche, S.,Fodor, K.,von der Heyde, A.,Klippel, B.,Wilmanns, M.,Antranikian, G.	Biotechnol.	2014	4041-4051	98	24265029
113	Enhancing biomass and ethanol production by increasing NADPH production in Synechocystis sp. PCC 6803. Biores	Choi, Y.N.,Park, J.M.	Technol.	2016	54-57	213	26951740
114	An enantioselective NADP(+)-dependent alcohol dehydrogenase responsible for cooxidative production of (3S)-5-hydroxy-3-methyl-pentanoic acid. Biosci. Biotechnol	Takeda, M.,Matsumura, A.T.,Kurosaki, K.,Chhetri, R.T.,Motomatsu, S.,Suzuki, I.,Sahabi, D.M.	Biochem.	2016	1155-1163	80	26923741
115	Structure-activity relationships studies of quinoxalinone derivatives as aldose reductase inhibitors. Eur. J. Med	Hussain, S.,Parveen, S.,Hao, X.,Zhang, S.,Wang, W.,Qin, X.,Yang, Y.,Chen, X.,Zhu, S.,Zhu, C.,Ma, B.	Chem.	2014	383-392	80	24793885
116	Characterization of a zinc-containing alcohol dehydrogenase with stereoselectivity from the hyperthermophilic archaeon Thermococcus guaymasensis. J	Ying, X.,Ma, K.	Bacteriol.	2011	3009-3019	183	21515780
117	Design and synthesis of potent and multifunctional aldose reductase inhibitors based on quinoxalinones. J. Med	Qin, X.,Hao, X.,Han, H.,Zhu, S.,Yang, Y.,Wu, B.,Hussain, S.,Parveen, S.,Jing, C.,Ma, B.,Zhu, C.	Chem.	2015	1254-1267	58	25602762
118	Identification of novel aldose reductase inhibitors based on carboxymethylated mercaptotriazinoindole scaffold. J. Med	Stefek, M.,Soltesova Prnova, M.,Majekova, M.,Rechlin, C.,Heine, A.,Klebe, G.	Chem.	2015	2649-2657	58	25695864
119	Synthesis of enantiopure fluorohydrins using alcohol dehydrogenases at high substrate concentrations. J. Org	Borzecka, W.,Lavandera, I.,Gotor, V.	Chem.	2013	7312-7317	78	23796348
120	Degradation of swainsonine by the NADP-dependent alcohol dehydrogenase A1R6C3 in Arthrobacter sp. HW08	Wang, Y.,Zhai, A.,Zhang, Y.,Qiu, K.,Wang, J.,Li, Q.	Toxins	2016	145	8	27196926
