ID	Title	Authors	Journal	Year	Pages	Volume	PMID
14	Engineering of 2,3-butanediol dehydrogenase to reduce acetoin formation by glycerol-overproducing, low-alcohol Saccharomyces cerevisiae. Appl. Environ	Ehsani, M.,Fernandez, M.R.,Biosca, J.A.,Julien, A.,Dequin, S.	Microbiol.	2009	3196-3205	75	19329666
15	Reversal of coenzyme specificity of 2,3-butanediol dehydrogenase from Saccharomyces cerevisae and in vivo functional analysis. Biotechnol	Ehsani, M.,Fernandez, M.R.,Biosca, J.A.,Dequin, S.	Bioeng.	2009	381-389	104	19507198
16	Role of Saccharomyces cerevisiae oxidoreductases Bdh1p and Ara1p in the metabolism of acetoin and 2,3-butanediol. Appl. Environ	Gonzalez, E.,Fernandez, M.R.,Marco, D.,Calam, E.,Sumoy, L.,Pares, X.,Dequin, S.,Biosca, J.A.	Microbiol.	2010	670-679	76	19966022
17	Novel (2R,3R)-2,3-butanediol dehydrogenase from potential industrial strain Paenibacillus polymyxa ATCC 12321. Appl. Environ	Yu, B.,Sun, J.,Bommareddy, R.R.,Song, L.,Zeng, A.P.	Microbiol.	2011	4230-4233	77	21531839
18	Identification and characterization of a mycobacterial (2R,3R)-2,3-butanediol dehydrogenase. Biosci. Biotechnol	Takeda, M.,Muranushi, T.,Inagaki, S.,Nakao, T.,Motomatsu, S.,Suzuki, I.,Koizumi, J.	Biochem.	2011	2384-2389	75	22146728
19	A 2,3-butanediol dehydrogenase from Paenibacillus polymyxa ZJ-9 for mainly producing R,R-2,3-butanediol: purification, characterization and cloning. J	Gao, J.,Yang, H.H.,Feng, X.H.,Li, S.,Xu, H.	Basic Microbiol.	2013	733-741	53	22961752
20	Crystallization and preliminary X-ray study of a (2R,3R)-2,3-butanediol dehydrogenase from Bacillus coagulans 2-6. Acta Crystallogr. Sect	Miao, X.,Huang, X.,Zhang, G.,Zhao, X.,Zhu, X.,Dong, H.	F	2013	1140-1142	69	24100567
21	Reconstruction of an acetogenic 2,3-butanediol pathway involving a novel NADPH-dependent primary-secondary alcohol dehydrogenase. Appl. Environ	Koepke, M.,Gerth, M.L.,Maddock, D.J.,Mueller, A.P.,Liew, F.,Simpson, S.D.,Patrick, W.M.	Microbiol.	2014	3394-3403	80	24657865
22	Stereospecificity of Corynebacterium glutamicum 2,3-butanediol dehydrogenase and implications for the stereochemical purity of bioproduced 2,3-butanediol. Appl. Microbiol	Rados, D.,Turner, D.L.,Catarino, T.,Hoffart, E.,Neves, A.R.,Eikmanns, B.J.,Blombach, B.,Santos, H.	Biotechnol.	2016	10573-10583	100	27687994
23	Synthetic operon for (R,R)-2,3-butanediol production in Bacillus subtilis and Escherichia coli. Appl. Microbiol	de Oliveira, R.R.,Nicholson, W.L.	Biotechnol.	2016	719-728	100	26454865
24	Enhanced production of 2,3-butanediol by a genetically engineered Bacillus sp. BRC1 using a hydrolysate of empty palm fruit bunches. Bioprocess Biosyst	Kang, I.Y.,Park, J.M.,Hong, W.K.,Kim, Y.S.,Jung, Y.R.,Kim, S.B.,Heo, S.Y.,Lee, S.M.,Kang, J.Y.,Oh, B.R.,Kim, D.H.,Seo, J.W.,Kim, C.H.	Eng.	2015	299-305	38	25135315
25	Contracted but effective: Production of enantiopure 2,3-butanediol by thermophilic and GRAS: Bacillus licheniformis	Ge, Y.,Li, K.,Li, L.,Gao, C.,Zhang, L.,Ma, C.,Xu, P.	Green Chem.	2016	4693-4703	18	-----
26	Utilization of excess NADH in 2,3-butanediol-deficient Klebsiella pneumoniae for 1,3-propanediol production. J. Appl	Cui, Y.,Zhou, J.,Gao, L.,Zhu, C.,Jiang, X.,Fu, S.,Gong, H.	Microbiol.	2014	690-698	117	24961176
27	Glycerol dehydrogenase plays a dual role in glycerol metabolism and 2,3-butanediol formation in Klebsiella pneumoniae. J. Biol	Wang, Y.,Tao, F.,Xu, P.	Chem.	2014	6080-6090	289	24429283
28	Engineered Serratia marcescens for efficient (3R)-acetoin and (2R,3R)-2,3-butanediol production. J. Ind. Microbiol	Bai, F.,Dai, L.,Fan, J.,Truong, N.,Rao, B.,Zhang, L.,Shen, Y.	Biotechnol.	2015	779-786	42	25663525
29	Enantioselective enzymatic synthesis of the alpha-hydroxy ketone (R)-acetoin from meso-2,3-butanediol. J. Mol. Catal	Kochius, S.,Paetzold, M.,Scholz, A.,Merkens, H.,Vogel, A.,Ansorge-Schumacher, M.,Hollmann, F.,Schrader, J.,Holtmann, D.	B	2014	61-66	103	-----
30	Biochemical characterization of unusual meso-2,3-butanediol dehydrogenase from a strain of Bacillus subtilis. J. Mol. Catal	Hao, W.,Ji, F.,Wang, J.,Zhang, Y.,Wang, T.,Bao, Y.	B	2014	184-190	109	-----
31	Identification and characterization of a novel 2,3-butanediol dehydrogenase/acetoin reductase from Corynebacterium crenatum SYPA5-5. Lett. Appl	Zhao, X.,Zhang, X.,Rao, Z.,Bao, T.,Li, X.,Xu, M.,Yang, T.,Yang, S.	Microbiol.	2015	573-579	61	26393961
32	Characterization of a (2R,3R)-2,3-butanediol dehydrogenase from Rhodococcus erythropolis WZ010	Yu, M.,Huang, M.,Song, Q.,Shao, J.,Ying, X.	Molecules	2015	7156-7173	20	25903366
33	Substitutions at the cofactor phosphate-binding site of a clostridial alcohol dehydrogenase lead to unexpected changes in substrate specificity. Protein Eng. Des	Maddock, D.J.,Patrick, W.M.,Gerth, M.L.	Sel.	2015	251-258	28	26034298
34	Efficient production of acetoin in Saccharomyces cerevisiae by disruption of 2,3-butanediol dehydrogenase and expression of NADH oxidase. Sci	Bae, S.J.,Kim, S.,Hahn, J.S.	Rep.	2016	27667	6	27279026
35	Cloning, expression and characterization of glycerol dehydrogenase involved in 2,3-butanediol formation in Serratia marcescens H30. J. Ind. Microbiol	Zhang, L.,Xu, Q.,Peng, X.,Xu, B.,Wu, Y.,Yang, Y.,Sun, S.,Hu, K.,Shen, Y.	Biotechnol.	2014	1319-1327	41	24981852
36	Selection of an endogenous 2,3-butanediol pathway in Escherichia coli by fermentative redox balance. Metab	Liang, K.,Shen, C.R.	Eng.	2017	181-191	39	27931827
37	2,3-Butanediol catabolism in Pseudomonas aeruginosa PAO1. Environ	Liu, Q.,Liu, Y.,Kang, Z.,Xiao, D.,Gao, C.,Xu, P.,Ma, C.	Microbiol.	2018	3927-3940	20	30058099
38	2,3-Butanediol production by the non-pathogenic bacterium Paenibacillus brasilensis. Appl. Microbiol	Dias, B.D.C.,Lima, M.E.D.N.V.,Vollu, R.E.,da Mota, F.F.,da Silva, A.J.R.,de Castro, A.M.,Freire, D.M.G.,Seldin, L.	Biotechnol.	2018	8773-8782	102	30121751
39	New insights into two yeast BDHs from the PDH subfamily as aldehyde reductases in context of detoxification of lignocellulosic aldehyde inhibitors. Appl. Microbiol	Kuang, X.,Ouyang, Y.,Guo, Y.,Li, Q.,Wang, H.,Abrha, G.T.,Ayepa, E.,Gu, Y.,Li, X.,Chen, Q.,Ma, M.	Biotechnol.	2020	6679-6692	104	32556414
40	Cloning, expression and characterization of a novel (2R,3R) -2,3-butanediol dehydrogenase from Bacillus thuringiensis. Biocatal. Agricult	Gong, F.,Liu, Q.,Tan, H.,Li, T.,Tan, C.,Yin, H.	Biotechnol.	2019	10137	22	-----
41	Efficient production of 2,3-butanediol by recombinant Saccharomyces cerevisiae through modulation of gene expression by cocktail delta-integration. Biores	Yamada, R.,Wakita, K.,Mitsui, R.,Nishikawa, R.,Ogino, H.	Technol.	2017	1558-1566	245	28522198
42	Phylogenetics-based identification and characterization of a superior 2,3-butanediol dehydrogenase for Zymomonas mobilis expression. Biotechnol	Subramanian, V.,Lunin, V.V.,Farmer, S.J.,Alahuhta, M.,Moore, K.T.,Ho, A.,Chaudhari, Y.B.,Zhang, M.,Himmel, M.E.,Decker, S.R.	Biofuels	2020	186	13	33292448
43	Highly efficient bioreduction of 2-hydroxyacetophenone to (S)- and (R)-1-phenyl-1,2-ethanediol by two substrate tolerance carbonyl reductases with cofactor regeneration. J	Cui, Z.,Zhang, J.,Fan, X.,Zheng, G.,Chang, H.,Wei, W.	Biotechnol.	2017	1-9	243	28011130
44	Reducing diacetyl production of wine by overexpressing BDH1 and BDH2 in Saccharomyces uvarum. J. Ind. Microbiol	Li, P.,Guo, X.,Shi, T.,Hu, Z.,Chen, Y.,Du, L.,Xiao, D.	Biotechnol.	2017	1541-1550	44	28856461
45	Engineering of the 2,3-butanediol pathway of Paenibacillus polymyxa DSM 365. Metab	Schilling, C.,Ciccone, R.,Sieber, V.,Schmid, J.	Eng.	2020	381-388	61	32771627
46	Synthetic engineering of Corynebacterium crenatum to selectively produce acetoin or 2,3-butanediol by one step bioconversion method. Microb	Zhang, X.,Han, R.,Bao, T.,Zhao, X.,Li, X.,Zhu, M.,Yang, T.,Xu, M.,Shao, M.,Zhao, Y.,Rao, Z.	Cell Fact.	2019	128	18	31387595
47	Effect of deletion of 2,3-butanediol dehydrogenase gene (bdhA) on acetoin production of Bacillus subtilis. Prep. Biochem	Zhang, J.,Zhao, X.,Zhang, J.,Zhao, C.,Liu, J.,Tian, Y.,Yang, L.	Biotechnol.	2017	761-767	47	28426331
48	Synthesis of alpha-hydroxy ketones and vicinal (R,R)-diols by Bacillus clausii DSM 8716T butanediol dehydrogenase	Muschallik, L.,Molinnus, D.,Jablonski, M.,Kipp, C.,Bongaerts, J.,Pohl, M.,Wagner, T.,Schoening, M.,Selmer, T.,Siegert, P.	RSC Adv.	2020	12206-12216	10	-----
