ID	Title	Authors	Journal	Year	Pages	Volume	PMID
13	Kinetic properties of human liver alcohol dehydrogenase: oxidation of alcohols by class I isoenzymes	Wagner, F.W.,Burger, A.R.,Vallee, B.L.	Biochemistry	1983	1857-1863	22	6342669
14	Physical and enzymatic properties of a class II alcohol dehydrogenase isozyme of human liver: pi-ADH	Ditlow, C.C.,Holmquist, B.,Morelock, M.M.,Vallee, B.L.	Biochemistry	1984	6363-6368	23	6397223
15	Human liver alcohol dehydrogenase: purification and kinetic characterization of the beta 2 beta 2, beta 2 beta 1, alpha beta 2, and beta 2 gamma 1 Oriental isoenzymes	Yin, S.J.,Bosron, W.F.,Magnes, L.J.,Li, T.K.	Biochemistry	1984	5847-5853	23	6395883
16	Physical and enzymatic properties of a class III isozyme of human liver alcohol dehydrogenase: chi-ADH	Wagner, F.W.,Pares, X.,Holmquist, B.,Vallee, B.L.	Biochemistry	1984	2193-2199	23	6375718
17	Kinetic and electrophoretic properties of native and recombined isoenzymes of human liver alcohol dehydrogenase	Bosron, W.F.,Magnes, L.J.,Li, T.K.	Biochemistry	1983	1852-1857	22	6342668
18	Isolation and characterization of an anodic form of human liver alcohol dehydrogenase. Biochem. Biophys. Res	Bosron, W.F.,Li, T.K.	Commun.	1977	85-91	74	836289
19	Active-site-specific zinc-depleted and reconstituted cobalt(II) human-liver alcohol dehydrogenase. Preparation, characterization and complexation with NADH and trans-4-(N,N-dimethylamino)-cinnamaldehyde. Eur. J	Schneider-Bernloehr, H.,Formicka-Kozlowska, G.,Buehler, R.,Wartburg, J.P.,Zeppezauer, M.	Biochem.	1988	275-280	173	3360008
20	Purification and steady-state kinetic characterization of human liver beta 3 beta 3 alcohol dehydrogenase	Burnell, J.C.,Li, T.K.,Bosron, W.F.	Biochemistry	1989	6810-6815	28	2819035
21	New human liver alcohol dehydrogenase forms with unique kinetic characteristics. Biochem. Biophys. Res	Pares, X.,Vallee, B.L.	Commun.	1981	122-130	98	7011320
22	New molecular forms of human liver alcohol dehydrogenase: isolation and characterization of ADHIndianapolis. Proc. Natl. Acad. Sci	Bosron, W.F.,Li, T.K.,Vallee, B.L.	USA	1980	5784-5788	77	7003596
23	Human liver pig-alcohol dehydrogenase: kinetic and molecular properties	Bosron, W.F.,Li, T.K.,Dafeldecker, W.P.,Vallee, B.L.	Biochemistry	1979	1101-1105	18	427099
24	Simian liver alcohol dehydrogenase: isolation and characterization of isoenzymes from Saimiri sciureus	Dafeldecker, W.P.,Pares, X.,Vallee, B.L.,Bosron, W.F.,Li, T.K.	Biochemistry	1981	856-861	20	7011375
25	Simian liver alcohol dehydrogenase: isolation and characterization of isoenzymes from Macaca mulatta	Dafeldecker, W.P.,Meadow, P.E.,Pares, X.,Vallee, B.L.	Biochemistry	1981	6729-6734	20	7030395
26	Kinetics of coenzyme binding to liver alcohol dehydrogenase in the pH range 10-12. Eur. J	Kvassman, J.,Pettersson, G.	Biochem.	1987	167-172	166	3595610
27	Alcohol dehydrogenase from horse liver by affinity chromatography	Andersson, L.,Mosbach, K.	Methods Enzymol.	1982	435-445	89	6755178
28	Alcohol dehydrogenase from horse liver, steroid-active SS isoenzyme	Pietruszko, R.	Methods Enzymol.	1982	429-435	89	-----
29	Enantioselective affinity labelling of horse liver alcohol dehydrogenase. Correlation of inactivation kinetics with the three-dimensional structure of the enzyme. Biochem	Dahl, K.H.,Eklund, H.,McKinley-McKee, J.S.	J.	1983	391-396	211	6347187
30	Dynamics in alcohol dehydrogenase elucidated from crystallographic investigations. Adv. Exp. Med	Ramaswamy, S.	Biol.	1999	275-284	7	10352696
31	Substrate specificity and stereoselectivity of horse liver alcohol dehydrogenase. Kinetic evaluation of binding and activation parameters controlling the catalytic cycles of unbranched, acyclic secondary alcohols and ketones as substrates of the native and active-site-specific Co(II)-substituted enzyme. Eur. J	Adolph, H.W.,Maurer, P.,Schneider-Bernloehr, H.,Sartorius, C.,Zeppezauer, M.	Biochem.	1991	615-625	201	1935957
32	Design of inhibitors from the three-dimensional structure of alcohol dehydrogenase. Chemical synthesis and enzymatic properties. J. Am. Chem	Freudenreich, C.,Samama, J.P.,Biellmann, J.F.	Soc.	1984	3344-3353	106	-----
33	Dependence of the substrate specificity and kinetic mechanism of horse-liver alcohol dehydrogenase on the size of the C-3 pyridinium substituent. 3-Benzoylpyridine-adenine dinucleotide. Eur. J	Samama, J.P.,Hirsch, D.,Goulas, P.,Biellmann, J.F.	Biochem.	1986	375-380	159	3758068
34	Coenzyme binding in alcohol dehydrogenase. Biochem. Soc	Eklund, H.	Trans.	1989	293-296	17	2753206
35	Kinetics of native and activated isozymes of horse liver alcohol dehydrogenase	Dworschack, R.T.,Plapp, B.V.	Biochemistry	1977	111-116	16	831772
36	Site-specific substituted cobalt(II) horse liver alcohol dehydrogenases. Preparation and characterization in solution, crystalline and immobilized state. Eur. J	Maret, W.,Andersson, I.,Dietrich, H.,Schneider-Bernloehr, H.,Einarsson, R.,Zeppezauer, M.	Biochem.	1979	501-512	98	488110
37	Thermostability of alcohol dehydrogenase: evidence for distinct subunits with different deactivation properties. Biotechnol	Skerker, P.S.,Clark, D.S.	Bioeng.	1989	62-71	33	18587844
38	The catalytic reaction and inhibition mechanism of Drosophila alcohol dehydrogenase: observation of an enzyme-bound NAD-ketone adduct at 1.4 A resolution by X-ray crystallography. J. Mol	Benach, J.,Atrian, S.,Gonzalez-Duarte, R.,Ladenstein, R.	Biol.	1999	335-355	289	10366509
39	Multifunctionality of liver alcohol dehydrogenase: kinetic and mechanistic studies of esterase reaction. Arch. Biochem	Tsai, C.S.	Biophys.	1982	635-642	213	7041828
40	The peroxidatic reaction catalyzed by horse liver alcohol dehydrogenase. 2. Steady-state kinetics and inactivation. Eur. J	Favilla, R.,Cavatorta, P.,Mazzini, A.,Fava, A.	Biochem.	1980	223-227	104	6989598
41	Kinetic mechanism of horse liver alcohol dehydrogenase SS	Ryzewski, C.N.,Pietruszko, R.	Biochemistry	1980	4843-4848	19	7000185
42	Horse liver alcohol dehydrogenase SS: purification and characterization of the homogenous isoenzyme. Arch. Biochem	Ryzewski, C.N.,Pietruszko, R.	Biophys.	1977	73-82	183	20851
43	Drosophila melanogaster alcohol dehydrogenase: product-inhibition studies. Biochem	Winberg, J.O.,McKinley-McKee, J.S.	J.	1994	901-909	301	8053914
44	Purification and characterization of chicken liver alcohol dehydrogenase	von Bahr-Lindstroem, H.,Andersson, L.,Mosbach, K.,Joernvall, H.	FEBS Lett.	1978	293-297	89	658420
45	Rabbit liver alcohol dehydrogenase: purification and properties. J	Hoshino, T.,Ishigura, I.,Ohta, Y.	Biochem.	1985	1163-1172	97	3161873
46	Rabbit liver alcohol dehydrogenase: isolation and characterization of class I isozymes. Biochem. Biophys. Res	Keung, W.M.,Yip, P.K.	Commun.	1989	445-453	158	2916992
47	A genuine organ specific alcohol dehydrogenase from hamster testes: isolation, characterization and developmental changes. Biochem. Biophys. Res	Keung, W.M.	Commun.	1988	38-45	156	3178842
48	Purification and molecular properties of mouse alcohol dehydrogenase isozymes. Eur. J	Algar, E.M.,Seeley, T.L.,Holmes, R.S.	Biochem.	1983	139-147	137	6360682
49	Characterization of three isoenzymes of rat alcohol dehydrogenase. Tissue distribution and physical and enzymatic properties. Eur. J	Julia, P.,Farres, J.,Pares, X.	Biochem.	1987	179-189	162	3816781
50	Class IV mammalian alcohol dehydrogenase. Structural data of the rat stomach enzyme reveal a new class well separated from those already characterized	Pares, X.,Moreno, A.,Cederlund, E.,Hoeoeg, J.O.,Joernvall, H.	FEBS Lett.	1990	115-118	277	2269340
51	Separation and partial characterization of multiple forms of rat liver alcohol dehydrogenase. Arch. Biochem	Mezey, E.,Potter, J.J.	Biophys.	1983	787-794	225	6354095
52	Linking of isoenzyme and class variability patterns in the emergence of novel alcohol dehydrogenase functions. Characterization of isozymes in Uromastix hardwickii. Eur. J	Hjelmqvist, L.,Shafqqat, J.,Siddiqi, A.R.,Joernvall, H.	Biochem.	1996	563-570	236	8612630
53	Expression and kinetic characterization of recombinant human stomach alcohol dehydrogenase. Active-site amino acid sequence explains substrate specificity copared with liver isozymes. J. Biol	Kedishvili, N.Y.,Bosron, W.F.,Stone, C.L.,Hurley, T.D.,Peggs, C.F.,Thomasson, H.R.,Popov, K.M.,Carr, L.G.,Edenberg, H.J.,Li, T.K.	Chem.	1995	3625-3630	270	7876099
54	Kinetics of native and modified liver alcohol dehydrogenase with coenzyme analogues: isomerization of enzyme-nicotinamide adenine dinucleotide complex	Plapp, B.V.,Sogin, D.C.,Dworschack, R.T.,Bohlken, D.P.,Woenckhaus, C.	Biochemistry	1986	5396-5402	25	3778867
55	Crystallographic studies of two alcohol dehydrogenase-bound analogues of thiazole-4-carboxamide adenine dinucleotide (TAD), the active anabolite of the antitumor agent tiazofurin	Li, H.,Hallows, W.H.,Punzi, J.S.,Marquez, V.E.,Carrell, H.L.,Pankiewicz, K.W.,Watanabe, K.A.,Goldstein, B.M.	Biochemistry	1994	23-32	33	8286346
56	Crystallization and preliminary X-ray analysis of an NAD(+)-dependent alcohol dehydrogenase fromthe extreme thermophilic archaebacterium Sulfolobus solfataricus. J. Mol	Pearl, L.H.,Demasi, D.,Hemmings, A.M.,Sica, F.,Mazzarella, L.,Raia, C.A.,D'Auria, S.,Rossi, M.	Biol.	1993	782-784	229	8433371
57	Liver class-I alcohol dehydrogenase isozyme relationships and constant patterns in a variable basic structure. Distinctions from characterization of an ethanol dehydrogenase in cobra, Naja naja. Eur. J	Shafqat, J.,Hjelmqvist, L.,Joernvall, H.	Biochem.	1996	571-578	236	8612631
58	Characterization of the Adhf and Adhus alleloenzymes of Drosophila melanogaster (fruitfly) alcohol dehydrogenase. Biochem. Soc	Retzios, A.,Thatcher, D.R.	Trans.	1981	298-299	9	-----
59	Purification and properties of an alcohol dehydrogenase from the liver and intestinal caecum of rainbow trout (Salmo gairdnerii). Biochem. Soc	Bauermeister, A.,Sargent, J.	Trans.	1978	222-224	6	640168
60	Characterization of Coturnix quail liver alcohol dehydrogenase enzymes	Nussrallah, B.A.,Dam, R.,Wagner, F.W.	Biochemistry	1989	6245-6251	28	2789998
61	Biochemical properties of alcohol dehydrogenase from Drosophila lebanonensis. Biochem	Winberg, J.O.,Hovik, R.,McKinley-McKee, J.S.,Juan, E.,Gonzalez-Duarte, R.	J.	1986	481-490	235	2943270
62	Drosophila melanogaster alcohol dehydrogenase. Biochemical properties of the NAD+-plus-acetone-induced isoenzyme conversion. Biochem	Winberg, J.O.,McKinley-McKee, J.S.	J.	1988	223-227	251	3134011
63	Kinetics and thermodynamics of ethanol oxidation catalyzed by genetic variants of the alcohol dehydrogenase from Drosophila melanogaster and D. simulans. Biochim. Biophys	Heinstra, P.W.H.,Thoerig, G.E.W.,Scharloo, W.,Drenth, W.,Nolte, R.J.M.	Acta	1988	224-233	967	3142528
64	Determination of some biochemical and structural features of alcohol dehydrogenases from Drosophila simulans and Drosophila virilis. Comparison of their properties with the Drosophila melanogaster Adhs enzyme. Biochem	Juan, E.,Gonzalez-Duarte, R.	J.	1981	61-69	195	6796069
65	Alcohol dehydrogenase from Drosophila melanogaster	Lee, C.Y.	Methods Enzymol.	1982	445-450	89	-----
66	A novel archaebacterial NAD+-dependent alcohol dehydrogenase. Purification and properties. Eur. J	Rella, R.,Raia, C.A.,Pensa, M.,Pisani, F.M.,Gambacorta, A.,de Rosa, M.,Rossi, M.	Biochem.	1987	475-479	167	3115775
67	Characterization of the two alcohol dehydrogenases of Zymomonas mobilis. Arch. Biochem	Wills, C.,Kratofil, P.,Londo, D.,Martin, T.	Biophys.	1981	775-785	210	7030207
68	Purification of two alcohol dehydrogenases from Zymomonas mobilis and their properties. Appl. Microbiol	Kinoshita, S.,Kakizono, T.,Kadota, K.,Das, K.,Taguchi, H.	Biotechnol.	1985	249-254	22	-----
69	Partial purification and properties of alcohol dehydrogenase from unicellular green alga Chlamydomonas moewusii	Grondal, E.J.M.,Betz, A.,Kreuzberg, K.	Phytochemistry	1983	1695-1699	22	-----
70	Thermostable NAD(+)-dependent alcohol dehydrogenase from Sulfolobus solfataricus: gene and protein sequence determination and relationship to other alcohol dehydrogenases	Ammendola, S.,Raia, C.A.,Caruso, C.,Camardella, L.,D'Auria, S.,De Rosa, M.,Rossi, M.	Biochemistry	1992	12514-12523	31	1463738
71	Purification and characterization of alcohol dehydrogenase from soybean	Tihanyi, K.,Talbot, B.,Brzezinski, R.,Thirion, J.P.	Phytochemistry	1989	1335-1338	28	-----
72	Purification and characterization of NAD-dependent alcohol dehydrogenase and NADH-dependent 2-oxoaldehyde reductase from parsley. Agric. Biol	Liang, Z.Q.,Hayase, F.,Nishimura, T.,Kato, H.	Chem.	1990	1717-1719	54	-----
73	Purification and properties of alcohol dehydrogenase from tea seeds. Agric. Biol	Hatanaka, A.,Harada, T.	Chem.	1972	2033-2035	36	-----
74	Kinetics of the reaction catalysed by rape alcohol dehydrogenase	Stiborova, M.,Leblova, S.	Phytochemistry	1979	23-24	18	-----
75	Purification and characterization of three non-allelic alcohol dehydrogenase isoenzymes in maize. Biochim. Biophys	Lai, Y.K.,Chandlee, J.M.,Scandalios, J.G.	Acta	1982	9-18	706	-----
76	Purification and some properties of alcohol dehydrogenase from maize	Leblova, S.,Ehlichova, D.	Phytochemistry	1972	1345-1346	11	-----
77	Wheat alcohol dehydrogenase iszymes. Purification, characterization, and gene expression	Langston, P.J.,Pace, C.N.,Hart, G.E.	Plant Physiol.	1980	518-522	65	16661226
78	Purification and partial characterization of alcohol dehydrogenase from wheat. Arch. Biochem	Langston, P.J.,Hart, G.E.,Pace, C.N.	Biophys.	1979	611-618	196	485168
79	Properties of three sets of isoenzymes of alcohol dehydrogenase isolated from barley (Hordeum vulgare)	Mayne, M.G.,Lea, P.J.	Phytochemistry	1985	1433-1438	24	-----
80	Alcohol dehydrogenase inactivator from rice seedlings. Properties and intracellular location	Shimomura, S.,Beevers, H.	Plant Physiol.	1983	742-746	71	16662899
81	Purification and preliminary characterization of alcohol dehydrogenase from Aspergillus nidulans. Biochem	Creaser, E.H.,Porter, R.L.,Britt, K.A.,Pateman, J.A.,Doy, C.H.	J.	1985	449-454	225	3156582
82	Purification and properties of an alcohol dehydrogenase isozyme from a methanol-using yeast, Candida sp. N-16. Biosci. Biotechnol	Yabe, M.,Shitara, K.,Kawashima, J.,Shinoyama, H.,Ando, A.,Fujii, T.	Biochem.	1992	338-339	56	-----
83	The partial purification and characterization of cytosol alcohol dehydrogenase from Astasia. Biochem	Morosoli, R.,Begin-Heick, N.	J.	1974	469-475	141	4455216
84	Purification and properties of an alcohol dehydrogenase from Sporotrichum pulverulentum. Enzyme Microb	Rudge, J.,Bickerstaff, G.F.	Technol.	1986	120-124	8	-----
85	Purification and properties of alcohol dehydrogenase from a mutant strain of Candida guilliermondii. Can. J	Indrati, R.,Ohita, Y.	Microbiol.	1992	953-957	38	-----
86	Interaction of alcohol dehydrogenase with tert-butylhydroperoxide: stimulation of the horse liver and inhibition of the yeast enzyme. Arch. Biochem	Tkachenko, A.G.,Winston, G.W.	Biophys.	2000	165-173	380	10900146
87	Overexpression, purification and properties of alcohol dehydrogenase IV from Saccharomyces cerevisiae. Biochim. Biophys	Drewke, C.,Ciriacy, M.	Acta	1988	54-60	950	3282541
88	A kinetic study on the binding of monomeric and polymeric derivatives of NAD+ to yeast alcohol dehydrogenase. J	Yamazaki, Y.,Maeda, H.,Satoh, A.,Hiromi, K.	Biochem.	1984	109-115	95	6368531
89	pH Dependence of free and immobilized yeast alcohol dehydrogenase kinetics. Can. J	Mazid, M.A.,Laidler, K.J.	Microbiol.	1982	100-107	60	7044497
90	A study of the kinetics and mechanism of yeast alcohol dehydrogenase with a variety of substrates. Biochem	Dickinson, F.M.,Monger, G.P.	J.	1973	261-270	131	4352908
91	Kinetic characterization of yeast alcohol dehydrogenases. Amino acid residue 294 and substrate specificity. J. Biol	Ganzhorn, A.J.,Green, D.W.,Hershey, A.D.,Gould, R.M.,Plapp, B.V.	Chem.	1987	3754-3761	262	3546317
92	Engineering yeast alcohol dehydrogenase. Replacing Trp54 by Leu broadens substrate specificity	Weinhold, E.G.,Benner, S.A.	Protein Eng.	1995	457-461	8	8532667
93	Mechanistic enzymology of liver alcohol dehydrogenase. Kinetic and stereochemical characterization of retinal oxidation and reduction. Adv. Exp.Med	Pocker, Y.,Li, H.	Biol.	1996	331-338	6	9059637
94	Use of competitive dead-end inhibitors to determine the chemical mechanism of action of yeast alcohol dehydrogenase. Mol. Cell	Leskovac, V.,Trivic, S.,Anderson, B.M.	Biochem.	1998	219-227	178	9546603
95	Isolation and characterization of three alcohol dehydrogenase isozymes from Syrian golden hamster. Alcohol. Clin. Exp	Keung, W.M.	Res.	1996	213-220	20	8730210
96	Identification of a human stomach alcohol dehydrogenase with distinctive kinetic properties. Biochem	Yin, S.J.,Wang, M.F.,Liao, C.S.,Chen, C.M.,Wu, C.W.	Int.	1990	829-835	22	2099148
97	Characterization of mutation-induced changes in the maize (Zea mays L.) ADH1-1S1108 alcohol dehydrogenase. Biochem	Osterman, J.C.,Chiang, Y.,Markwell, J.	Genet.	1993	497-506	31	8166623
98	Metal binding properties of thiols: complexes with horse liver alcohol dehydrogenase. Comp. Biochem. Physiol	Langeland, B.T.,Morris, D.L.,McKinley-McKee, J.S.	B	1999	155-162	123	10425719
99	Purification and characterization of an oxygen-labile, NAD-dependent alcohol dehydrogenase from Desulfovibrio gigas. J	Hensgens, C.M.H.,Vonck, J.,van Beeumen, J.,Bruggen, E.F.J.,Hansen, T.A.	Bacteriol.	1993	2859-2863	175	8491707
100	Surface localization, regulation, and biologic properties of the 96-kDA alcohol/aldehyde dehydrogenase (EhADH2) of pathogenic Entamoeba histolytica. J. Infect	Flores, B.M.,Stanley, S.L.,Yong, T.S.,Ali, M.,Yang, W.,Diedrich, D.L.,Torian, B.E.	Dis.	1996	226-231	173	8537663
101	Basic features of class-I alcohol dehydrogenase variable and constant segments coordinated by inter-class and intra-class variabvility. Conclusions from characterization of the alligator enzyme. Eur. J	Persson, B.,Bergman, T.,Keung, W.M.,Waldenstroem, U.,Holmquist, B.,Vallee, B.L.,Joernvall, H.	Biochem.	1993	49-56	216	8365416
102	Inhibition of the catalytic activity of alcohol dehydrogenase by nitric oxide is associated with S nitrosylation and the release of zinc	Gergel, D.,Cederbaum, A.I.	Biochemistry	1996	16186-16194	35	8973191
103	Ethanol production by thermophilic bacteria: relationship between fermentation product yields of and catabolic enzyme activities in Clostridium thermocellum and Thermoanaerobium brockii. J	Lamed, R.,Zeikus, J.G.	Bacteriol.	1980	569-578	144	7430065
104	Crystallization and preliminary X-ray diffraction analysis of the trigonal crystal form of Saccharomyces cerevisiae alcohol dehydrogenase I: evidence for the existence of Zn ions in the crystal. Acta Crystallogr. Sect	Kim, K.J.,Howard, A.J.	D	2002	1332-1334	58	12136146
105	Detection and kinetic properties of alcohol dehydrogenase in dormant corm of Crocus sativus L	Hadizadeh, M.,Keyhani, E.	Acta Hortic.	2004	127-139	650	-----
106	Cloning, functional expression and biochemical characterization of a stereoselective alcohol dehydrogenase from Pseudomonas fluorescens DSM50106. Appl. Microbiol	Hildebrandt, P.,Musidlowska, A.,Bornscheuer, U.T.,Altenbuchner, J.	Biotechnol.	2002	483-487	59	12172614
107	Kinetics of human alcohol dehydrogenase with ring-oxidized retinoids: effect of Tween 80. Arch. Biochem	Martras, S.,Alvarez, R.,Gallego, O.,Dominguez, M.,de Lera, A.R.,Farres, J.,Pares, X.	Biophys.	2004	210-217	430	15369820
108	Crystal structure of a ternary complex of the alcohol dehydrogenase from Sulfolobus solfataricus	Esposito, L.,Bruno, I.,Sica, F.,Raia, C.A.,Giordano, A.,Rossi, M.,Mazzarella, L.,Zagari, A.	Biochemistry	2003	14397-14407	42	14661950
109	Structure of three class I human alcohol dehydrogenases complexed with isoenzyme specific formamide inhibitors	Gibbons, B.J.,Hurley, T.D.	Biochemistry	2004	12555-12562	43	15449945
110	Enzymatic mechanism of low-activity mouse alcohol dehydrogenase 2	Stroemberg, P.,Svensson, S.,Berst, K.B.,Plapp, B.V.,Höög, J.O.	Biochemistry	2004	1323-1328	43	14756569
111	Participation of histidine-51 in catalysis by horse liver alcohol dehydrogenase	LeBrun, L.A.,Park, D.H.,Ramaswamy, S.,Plapp, B.V.	Biochemistry	2004	3014-3026	43	15023053
112	Crystal structure and amide H/D exchange of binary complexes of alcohol dehydrogenase from Bacillus stearothermophilus: insight into thermostability and cofactor binding	Ceccarelli, C.,Liang, Z.X.,Strickler, M.,Prehna, G.,Goldstein, B.M.,Klinman, J.P.,Bahnson, B.J.	Biochemistry	2004	5266-5277	43	15122892
113	Purification and characterization of two NAD-dependent alcohol dehydrogenases (ADHs) induced in the quinoprotein ADH-deficient mutant of Acetobacter pasteurianus SKU1108. Biosci. Biotechnol	Chinnawirotpisan, P.,Matsushita, K.,Toyama, H.,Adachi, O.,Limtong, S.,Theeragool, G.	Biochem.	2003	958-965	67	12834271
114	Purification and characterization of a chemotolerant alcohol dehydrogenase applicable to coupled redox reactions. Biotechnol	Kosjek, B.,Stampfer, W.,Pogorevc, M.,Goessler, W.,Faber, K.,Kroutil, W.	Bioeng.	2004	55-62	86	15007841
115	Identification and characterisation of two allelic forms of human alcohol dehydrogenase 2. Cell. Mol	Stroemberg, P.,Svensson, S.,Hedberg, J.J.,Nordling, E.,Hoog, J.O.	Life Sci.	2002	552-559	59	11964133
116	Specificity of human alcohol dehydrogenase 1C*2 (gamma2gamma2) for steroids and simulation of the uncompetitive inhibition of ethanol metabolism. Chem. Biol	Plapp, B.V.,Berst, K.B.	Interact.	2003	183-193	143-144	12604203
117	Oxidative bioactivation of crotyl alcohol to the toxic endogenous aldehyde crotonaldehyde: association of protein carbonylation with toxicity in mouse hepatocytes. Chem. Res	Fontaine, F.R.,Dunlop, R.A.,Petersen, D.R.,Burcham, P.C.	Toxicol.	2002	1051-1058	15	12184789
118	The highly stable alcohol dehydrogenase of Thermomicrobium roseum: purification and molecular characterization. Comp. Biochem. Physiol	Yoon, S.Y.,Noh, H.S.,Kim, E.H.,Kong, K.H.	B	2002	415-422	132	12031468
119	The specificity of alcohol dehydrogenase with cis-retinoids. Activity with 11-cis-retinol and localization in retina. Eur. J	Martras, S.,Alvarez, R.,Martinez, S.E.,Torres, D.,Gallego, O.,Duester, G.,Farres, J.,de Lera, A.R.,Pares, X.	Biochem.	2004	1660-1670	271	15096205
120	The three zinc-containing alcohol dehydrogenases from bakers' yeast, Saccharomyces cerevisiae	Leskovac, V.,Trivic, S.,Pericin, D.	FEMS Yeast Res.	2002	481-494	2	12702265
121	Effect of organic solvents on stability and activity of two related alcohol dehydrogenases: a comparative study. Int. J. Biochem	Miroliaei, M.,Nemat-Gorgani, M.	Cell Biol.	2002	169-175	34	11809419
122	Catalytic and spectroscopic characterisation of a copper-substituted alcohol dehydrogenase from yeast. Int. J. Biol	Vanni, A.,Anfossi, L.,Pessione, E.,Giovannoli, C.	Macromol.	2002	41-45	30	11893392
123	Entamoeba histolytica alcohol dehydrogenase 2 (EhADH2) as a target for anti-amoebic agents. J. Antimicrob	Espinosa, A.,Clark, D.,Stanley, S.L., Jr.	Chemother.	2004	56-59	54	15150165
124	Kinetic mechanism of human class IV alcohol dehydrogenase functioning as retinol dehydrogenase. J. Biol	Chou, C.F.,Lai, C.L.,Chang, Y.C.,Duester, G.,Yin, S.J.	Chem.	2002	25209-25216	277	11997393
125	Complete reversal of coenzyme specificity by concerted mutation of three consecutive residues in alcohol dehydrogenase. J. Biol	Rosell, A.,Valencia, E.,Ochoa, W.F.,Fita, I.,Pares, X.,Farres, J.	Chem.	2003	40573-40580	278	12902331
126	Overexpression, purification, and biochemical characterization of the thermostable NAD-dependent alcohol dehydrogenase from Bacillus stearothermophilus. J. Microbiol	Shim, E.J.,Jeon, S.H.,Kong, K.H.	Biotechnol.	2003	738-744	13	-----
127	The structure of an alcohol dehydrogenase from the hyperthermophilic archaeon Aeropyrum pernix. J. Mol	Guy, J.E.,Isupov, M.N.,Littlechild, J.A.	Biol.	2003	1041-1051	331	12927540
128	Subcellular localization of the NAD+-dependent alcohol dehydrogenase in Entamoeba histolytica trophozoites. J	Avila, E.E.,Martinez-Alcaraz, E.R.,Barbosa-Sabanero, G.,Rivera-Baron, E.I.,Arias-Negrete, S.,Zazueta-Sandoval, R.	Parasitol.	2002	217-222	88	12058720
129	The ternary complex of Pseudomonas aeruginosa alcohol dehydrogenase with NADH and ethylene glycol	Levin, I.,Meiri, G.,Peretz, M.,Burstein, Y.,Frolow, F.	Protein Sci.	2004	1547-1556	13	15152088
130	The catalytic mechanism of Drosophila alcohol dehydrogenase: evidence for a proton relay modulated by the coupled ionization of the active site lysine/tyrosine pair and a NAD+ ribose OH switch	Koumanov, A.,Benach, J.,Atrian, S.,Gonzalez-Duarte, R.,Karshikoff, A.,Ladenstein, R.	Proteins	2003	289-298	51	12660997
131	Enzyme engineering aspects of biocatalysis: Cofactor regeneration as example. Biotechnol	Kragl, U.,Kruse, W.,Hummel, W.,Wandrey, C.	Bioeng.	1996	309-319	52	18629898
