ID	Title	Authors	Journal	Year	Pages	Volume	PMID
14	L-glycerol-3-phosphate dehydrogenase from the insect Ceratitis capitata. Purfication, physicochemical and enzymic properties. Biochim. Biophys	Fernandez-Sousa, J.M.,Gavilanes, J.G.,Municio, A.M.,Perez-Aranda, A.	Acta	1977	6-24	481	14695
15	Purification and properties of the major isozymic form of cytoplasmic glycerol-3-phosphate dehydrogenase from rabbit liver. Biochim. Biophys	McLoughlin, D.J.,MacQuarrie, R.	Acta	1978	204-211	527	718960
16	Isolation of a sn-glycerol 3-phosphate: NAD oxidoreductase from spinach leaves. Arch. Biochem	Santora, G.T.,Gee, R.,Tolbert, N.E.	Biophys.	1979	403-411	196	39510
17	Isoenzymic forms of NAD-linked glycerol-3-phosphate dehydrogenase from rabbit brain. Biochim. Biophys	Kornbluth, R.,Tracy, P.S.,Fondy, T.P.	Acta	1979	273-286	568	226146
18	Purification and structural analysis of the soluble sn-glycerol-3-phosphate dehydrogenase isozymes in Drosophila melanogaster. J. Biol	Niesel, D.W.,Bewley, G.C.,Miller, S.G.,Armstrong, F.B.,Lee, C.Y.	Chem.	1980	4073-4080	255	6768747
19	Purification and biochemical properties of allelic forms of cytoplasmic glycerol-3-phosphate dehydrogenase from Drosophila virilis. Biochim. Biophys	Narise, S.	Acta	1980	289-298	615	6774753
20	sn-Glycerol-3-phospate dehydrogenase (soluble) from Drosophila melanogaster	Niesel, D.W.,Bewley, G.C.,Lee, C.Y.,Armstrong, F.B.	Methods Enzymol.	1982	296-301	89	-----
21	Purification and some properties of sn-glycerol-3-phosphate dehydrogenase from Saccharomyces cerevisiae. Anal	Merkel, J.R.,Straume, M.,Sajer, S.A.,Hopfer, R.L.	Biochem.	1982	180-185	122	6808861
22	Isolation and properties of glycerol-3-phosphate oxidoreductase from human placenta. Eur. J	Zolnierowicz, S.,Swierczynski, J.,Zelewski, L.	Biochem.	1986	161-166	154	3943520
23	Differential inhibition and activation of two leaf dihydroxyacetone phosphate reductases	Gee, R.W.,Byerrum, R.U.,Gerber, D.W.,Tolbert, N.E.	Plant Physiol.	1988	379-383	87	16666150
24	Kinetic properties of a sn-glycerol-3-phosphate dehydrogenase purified from the unicellular alga Chlamydomonas reinhardtii. Biochim. Biophys	Kloeck, G.,Kreuzberg, K.	Acta	1989	347-352	991	2719977
25	Purification and characterization of glycerol-3-phosphate dehydrogenase (NAD+) in the salt-tolerant yeast Debaryomyces hansenii. Biochim. Biophys	Nilsson, A.,Adler, L.	Acta	1990	180-185	1034	1972335
26	Molecular and physiological characterization of the NAD-dependent glycerol 3-phosphate dehydrogenase in the filamentous fungus Aspergillus nidulans. Mol	Fillinger, S.,Ruijter, G.,Tamas, M.J.,Visser, J.,Thevelein, J.M.,d`Enfert, C.	Microbiol.	2001	145-157	39	11123696
27	A potential target enzyme for trypanocidal drugs revealed by the crystal structure of NAD-dependent glycerol-3-phosphate dehydrogenase from Leishmania mexicana	Suresh, S.,Turley, S.,Opperdoes, F.R.,Michels, P.A.M.,Hol, W.G.J.	Structure	2000	541-552	8	10801498
28	Comparative study of Leishmania mexicana and trypanosoma brucei NAD-dependent glycerol-3-phosphate dehydrogenase. Mol. Biochem	Marche, S.,Michels, P.A.M.,Opperdoes, F.R.	Parasitol.	2000	83-91	106	10743613
29	Effect of NADH-X on cytosolic glycerol-3-phosphate dehydrogenase. Arch. Biochem	Praphakar, P.,Laboy, J.I.,Wang, J.,Budker, T.,Din, Z.Z.,Chobanian, M.,Fahien, L.A.	Biophys.	1998	195-205	360	9851831
30	Clonig and characterization of the NAD-linked glycerol-3-phosphate dehydrogenase of Trypanosoma brucei brucei and Leishmania mexicana mexicana and expression of the trypanosome enzyme in Escherichia coli. Mol. Biochem	Kohl, L.,Drmota, T.,Do Thi, C.D.,Callens, M.,Van Beeumen, J.,Opperdoes, F.R.,Michels, P.A.M.	Parasitol.	1996	159-173	76	8920004
31	Fast purification and kinetic studies of the glycerol-3-phosphate dehydrogenase from the yeast Saccharomyces cerevisiae	Cai, J.,Pietzsch, M.,Theobald, U.,Rizzi, M.	Biotechnology	1996	19-27	49	8879163
32	Isolation and characterization of adipose tissue glycerol-3-phasphate dehydrogenase. Int. J. Biochem	Koekemoer, T.C.,Litthauer, D.,Oelofsen, W.	Cell Biol.	1995	625-632	27	7671141
33	Redox regulation of cytosolic glycerol-3-phosphate dehydrogenase: Cys102 is the target of the redox control and essential for the catalytic activity. Biochim. Biophys	Kim, J.Y.,Park, H.S.,Kang, S.I.,Choi, E.J.,Kim, I.Y.	Acta	2002	67-74	1569	11853959
34	Isolation and properties of cytoplasmic alpha-glycerol 3-phosphate dehydrogenase from the pectoral muscle of the fruit bat, Eidolon helvum. J. Biochem. Mol	Agboola, F.K.,Thomson, A.,Afolayan, A.	Biol.	2003	159-166	36	12689513
35	Kinetic regulation of the mitochondrial glycerol-3-phosphate dehydrogenase by the external NADH dehydrogenase in Saccharomyces cerevisiae. J. Biol	Pahlman, I.L.,Larsson, C.,Averet, N.,Bunoust, O.,Boubekeur, S.,Gustafsson, L.,Rigoulet, M.	Chem.	2002	27991-27995	277	12032156
36	Distinct intracellular localization of Gpd1p and Gpd2p, the two yeast isoforms of NAD+-dependent glycerol-3-phosphate dehydrogenase, explains their different contributions to redox-driven glycerol production. J. Biol	Valadi, A.,Granath, K.,Gustafsson, L.,Adler, L.	Chem.	2004	39677-39685	279	15210723
37	Purification and characterization of cytosolic glycerol-3-phosphate dehydrogenase from skeletal muscle of jerboa (Jaculus orientalis). Mol. Cell	Berrada, W.,Naya, A.,Iddar, A.,Bourhim, N.	Biochem.	2002	117-127	231	11952153
38	Glycerol-3-phosphate dehydrogenase (E.C.1.1.1.8) is expressed in cultured chicken embryonic adipofibroblasts and upregulated by embryonic chicken serum. Poult	Garcia-Solis, P.,Moncada-Alvarez, M.C.,Martinez-Coria, H.,Luna, M.,Aramburo, C.,Salazar-Olivo, L.A.	Sci.	2002	1709-1713	81	12455599
39	Isolation of a GPD gene from Debaryomyces hansenii encoding a glycerol 3-phosphate dehydrogenase (NAD+)	Thome, P.E.	Yeast	2004	119-126	21	14755637
40	High activity of mitochondrial glycerophosphate dehydrogenase and glycerophosphate-dependent ROS production in prostate cancer cell lines. Biochem. Biophys. Res	Chowdhury, S.K.,Gemin, A.,Singh, G.	Commun.	2005	1139-1145	333	15967408
41	The topology of superoxide production by complex III and glycerol 3-phosphate dehydrogenase in Drosophila mitochondria. Biochim. Biophys	Miwa, S.,Brand, M.D.	Acta	2005	214-219	1709	16140258
42	Time-course of hormonal induction of mitochondrial glycerophosphate dehydrogenase biogenesis in rat liver. Biochim. Biophys	Mracek, T.,Jesina, P.,Krivakova, P.,Bolehovska, R.,Cervinkova, Z.,Drahota, Z.,Houstek, J.	Acta	2005	217-223	1726	16039782
43	Heterologous expression of glycerol 3-phosphate dehydrogenase gene [DhGPD1] from the osmotolerant yeast Debaryomyces hansenii in Saccharomyces cerevisiae. Curr	Thome, P.E.	Microbiol.	2005	87-90	51	16049663
44	Glycerol production in rainbow smelt (Osmerus mordax) may be triggered by low temperature alone and is associated with the activation of glycerol-3-phosphate dehydrogenase and glycerol-3-phosphatase. J. Exp	Driedzic, W.R.,Clow, K.A.,Short, C.E.,Ewart, K.V.	Biol.	2006	1016-1023	209	16513927
45	Crystal structures of human glycerol 3-phosphate dehydrogenase 1 (GPD1). J. Mol	Ou, X.,Ji, C.,Han, X.,Zhao, X.,Li, X.,Mao, Y.,Wong, L.L.,Bartlam, M.,Rao, Z.	Biol.	2006	858-869	357	16460752
46	Effects of lactate dehydrogenase suppression and glycerol-3-phosphate dehydrogenase overexpression on cellular metabolism. Mol. Cell	Jeong, D.W.,Cho, I.T.,Kim, T.S.,Bae, G.W.,Kim, I.H.,Kim, I.Y.	Biochem.	2006	1-8	284	16477389
47	Involvement of a glycerol-3-phosphate dehydrogenase in modulating the NADH/NAD+ ratio provides evidence of a mitochondrial glycerol-3-phosphate shuttle in Arabidopsis	Shen, W.,Wei, Y.,Dauk, M.,Tan, Y.,Taylor, D.C.,Selvaraj, G.,Zou, J.	Plant Cell	2006	422-441	18	16415206
48	Expression of the GPD1 and GPP2 orthologues and glycerol retention during growth of Debaryomyces hansenii at high NaCl concentrations	Gori, K.,Mortensen, H.D.,Arneborg, N.,Jespersen, L.	Yeast	2005	1213-1222	22	16278930
49	Effects of GPD1 overexpression in Saccharomyces cerevisiae commercial wine yeast strains lacking ALD6 genes. Appl. Environ	Cambon, B.,Monteil, V.,Remize, F.,Camarasa, C.,Dequin, S.	Microbiol.	2006	4688-4694	72	16820460
50	The mitochondrial FAD-dependent glycerol-3-phosphate dehydrogenase of Trypanosomatidae and the glycosomal redox balance of insect stages of Trypanosoma brucei and Leishmania spp. Mol. Biochem	Guerra, D.G.,Decottignies, A.,Bakker, B.M.,Michels, P.A.	Parasitol.	2006	155-169	149	16806528
51	Seasonal freeze resistance of rainbow smelt (Osmerus mordax) is generated by differential expression of glycerol-3-phosphate dehydrogenase, phosphoenolpyruvate carboxykinase, and antifreeze protein genes. Physiol. Biochem	Liebscher, R.S.,Richards, R.C.,Lewis, J.M.,Short, C.E.,Muise, D.M.,Driedzic, W.R.,Ewart, K.V.	Zool.	2006	411-423	79	16555199
52	A substrate in pieces: allosteric activation of glycerol 3-phosphate dehydrogenase (NAD+) by phosphite dianion	Tsang, W.Y.,Amyes, T.L.,Richard, J.P.	Biochemistry	2008	4575-4582	47	18376850
53	Fermentative production of L-glycerol 3-phosphate utilizing a Saccharomyces cerevisiae strain with an engineered glycerol biosynthetic pathway. Biotechnol	Popp, A.,Nguyen, H.T.,Boulahya, K.,Bideaux, C.,Alfenore, S.,Guillouet, S.E.,Nevoigt, E.	Bioeng.	2008	497-505	100	18438874
54	Cloning and characterization of a NAD(+)-dependent glycerol-3-phosphate dehydrogenase gene from Candida glycerinogenes, an industrial glycerol producer	Chen, X.,Fang, H.,Rao, Z.,Shen, W.,Zhuge, B.,Wang, Z.,Zhuge, J.	FEMS Yeast Res.	2008	725-734	8	18452539
55	Production of glycerol from glucose by coexpressing glycerol-3-phosphate dehydrogenase and glycerol-3-phosphatase in Klebsiella pneumoniae. J. Biosci	Zheng, Y.,Zhao, L.,Zhang, J.,Zhang, H.,Ma, X.,Wei, D.	Bioeng.	2008	508-512	105	18558342
56	Gymnemic acid interacts with mammalian glycerol-3-phosphate dehydrogenase. Mol. Cell	Ishijima, S.,Takashima, T.,Ikemura, T.,Izutani, Y.	Biochem.	2008	203-208	310	18080092
57	Glycerol-3-phosphate levels are associated with basal resistance to the hemibiotrophic fungus Colletotrichum higginsianum in Arabidopsis	Chanda, B.,Venugopal, S.C.,Kulshrestha, S.,Navarre, D.A.,Downie, B.,Vaillancourt, L.,Kachroo, A.,Kachroo, P.	Plant Physiol.	2008	2017-2019	147	18567828
58	Structure of glycerol-3-phosphate dehydrogenase, an essential monotopic membrane enzyme involved in respiration and metabolism. Proc. Natl. Acad. Sci	Yeh, J.I.,Chinte, U.,Du, S.	USA	2008	3280-3285	105	18296637
59	Differential tissue and flight developmental expression of glycerol-3-phosphate dehydrogenase isozymes in the Chagas disease vector Triatoma infestans. Am. J. Trop. Med	Mercedes Stroppa, M.,Carriazo, C.,Soria, N.,Pereira, R.,Gerez de Burgos, N.M.	Hyg.	2008	28-35	79	18606760
60	Enzymes of glycerol and glyceraldehyde metabolism in mouse liver: effects of caloric restriction and age on activities. Biosci	Hagopian, K.,Ramsey, J.J.,Weindruch, R.	Rep.	2008	107-115	28	18429748
61	Cloning and characterization of CmGPD1, the Candida magnoliae homologue of glycerol-3-phosphate dehydrogenase	Lee, D.H.,Kim, M.D.,Ryu, Y.W.,Seo, J.H.	FEMS Yeast Res.	2008	1324-1333	8	19054133
62	Direct evidence that genetic variation in glycerol-3-phosphate and malate dehydrogenase genes (Gpdh and Mdh1) affects adult ethanol tolerance in Drosophila melanogaster	Eanes, W.F.,Merritt, T.J.,Flowers, J.M.,Kumagai, S.,Zhu, C.T.	Genetics	2009	607-614	181	19033156
63	Inactivation of UCP1 and the glycerol phosphate cycle synergistically increases energy expenditure to resist diet-induced obesity. J. Biol	Anunciado-Koza, R.,Ukropec, J.,Koza, R.A.,Kozak, L.P.	Chem.	2008	27688-27697	283	18678870
64	High expression of thyroid hormone receptors and mitochondrial glycerol-3-phosphate dehydrogenase in the liver is linked to enhanced fatty acid oxidation in Lou/C, a rat strain resistant to obesity. J. Biol	Taleux, N.,Guigas, B.,Dubouchaud, H.,Moreno, M.,Weitzel, J.M.,Goglia, F.,Favier, R.,Leverve, X.M.	Chem.	2009	4308-4316	284	19049970
65	Effect of a seaweed extract on fatty acid accumulation and glycerol-3-phosphate dehydrogenase activity in 3T3-L1 adipocytes	He, M.L.,Wang, Y.,You, J.S.,Mir, P.S.,McAllister, T.A.	Lipids	2009	125-132	44	18982374
66	Cloning and characterization of two novel chloroplastic glycerol-3-phosphate dehydrogenases from Dunaliella viridis. Plant Mol	He, Y.,Meng, X.,Fan, Q.,Sun, X.,Xu, Z.,Song, R.	Biol.	2009	193-205	71	19551475
67	Differential response of the catalase, superoxide dismutase and glycerol-3-phosphate dehydrogenase to different environmental stresses in Debaryomyces nepalensis NCYC 3413. Curr	Kumar, S.,Kalyanasundaram, G.T.,Gummadi, S.N.	Microbiol.	2011	382-387	62	20644932
68	Glycerol-3-phosphate dehydrogenase expression and oxygen consumption in liver mitochondria of female and male rats with chronic alteration of thyroid status. Horm. Metab	Rauchova, H.,Mracek, T.,Novak, P.,Vokurkova, M.,Soukup, T.	Res.	2011	43-47	43	20886417
69	The alpha glycerophosphate cycle in Drosophila melanogaster V. molecular analysis of alpha glycerophosphate dehydrogenase and alpha glycerophosphate oxidase mutants. J	Carmon, A.,Chien, J.,Sullivan, D.,MacIntyre, R.	Hered.	2010	218-224	101	19995806
70	Improving ethanol productivity by modification of glycolytic redox factor generation in glycerol-3-phosphate dehydrogenase mutants of an industrial ethanol yeast. J. Ind. Microbiol	Guo, Z.P.,Zhang, L.,Ding, Z.Y.,Wang, Z.X.,Shi, G.Y.	Biotechnol.	2011	935-943	38	20824484
71	Molecular characteristics and expression profiles of glycerol-3-phosphate dehydrogenase 1 (GPD1) gene in pig. Mol. Biol	Gao, Y.Z.,Jiang, Y.,Wu, X.,Bai, C.Y.,Pan, Y.C.,Sun, Y.Z.	Rep.	2011	1875-1881	38	20857217
72	Role of glycerol-3-phosphate dehydrogenase 2 in mouse sperm capacitation. Mol. Reprod	Kota, V.,Rai, P.,Weitzel, J.M.,Middendorff, R.,Bhande, S.S.,Shivaji, S.	Dev.	2010	773-783	77	20602492
73	Green tea catechins: inhibitors of glycerol-3-phosphate dehydrogenase	Kao, C.C.,Wu, B.T.,Tsuei, Y.W.,Shih, L.J.,Kuo, Y.L.,Kao, Y.H.	Planta Med.	2010	694-696	76	19937554
74	Cloning and characterization of a glycerol-3-phosphate dehydrogenase (NAD+) gene from the halotolerant yeast Pichia farinosa	Peng, F.,Li, G.,Wang, X.,Jiang, Y.,Yang, Y.	Yeast	2010	115-121	27	20014039
75	Structure of glycerol-3-phosphate dehydrogenase (GPD1) from Saccharomyces cerevisiae at 2.45 A resolution. Acta Crystallogr. Sect	Alarcon, D.A.,Nandi, M.,Carpena, X.,Fita, I.,Loewen, P.C.	F	2012	1279-1283	68	23143232
76	In silico cloning and characterization of the glycerol-3-phosphate dehydrogenase (GPDH) gene family in the green microalga Chlamydomonas reinhardtii. Curr	Herrera-Valencia, V.A.,Macario-Gonzalez, L.A.,Casais-Molina, M.L.,Beltran-Aguilar, A.G.,Peraza-Echeverria, S.	Microbiol.	2012	477-485	64	22358185
77	Molecular cloning, expression, and immunolocalization of the NAD+-dependent glycerol 3-phosphate dehydrogenase (GPD) from Clonorchis sinensis. Parasitol	Fan, Y.,Wang, X.,Deng, C.,Huang, Y.,Wang, L.,Chen, W.,Liang, C.,Li, X.,Wu, Z.,Yu, X.	Res.	2011	621-626	109	21409441
78	Structural and functional properties of glycerol-3-phosphate dehydrogenase from a mammalian hibernator	de la Roche, M.,Tessier, S.N.,Storey, K.B.	Protein J.	2012	109-119	31	22180227
79	Effects of salinities on the gene expression of a (NAD+)-dependent glycerol-3-phosphate dehydrogenase in Dunaliella salina. Sci	Chen, H.,Lao, Y.M.,Jiang, J.G.	Total Environ.	2011	1291-1297	409	21272918
80	Two glycerol 3-phosphate dehydrogenase isogenes from Candida versatilis SN-18 play an important role in glycerol biosynthesis under osmotic stress. J. Biosci	Mizushima, D.,Iwata, H.,Ishimaki, Y.,Ogihara, J.,Kato, J.,Kasumi, T.	Bioeng.	2016	523-529	121	26906228
81	In silico model-driven cofactor engineering strategies for improving the overall NADP(H) turnover in microbial cell factories. J. Ind. Microbiol	Lakshmanan, M.,Yu, K.,Koduru, L.,Lee, D.Y.	Biotechnol.	2015	1401-1414	42	26254041
82	Differential expression of glycerol-3-phosphate dehydrogenase isoforms in flight muscles of the Chagas disease vector Triatoma infestans (Hemiptera, Reduviidae). Am. J. Trop. Med	Stroppa, M.M.,Lagunas, M.S.,Carriazo, C.S.,Garcia, B.A.,Iraola, G.,Panzera, Y.,Gerez de Burgos, N.M.	Hyg.	2013	1146-1151	88	23568290
83	Daily variations in the glycerol-3-phosphate dehydrogenase isoforms expression in Triatoma infestans flight muscles. Am. J. Trop. Med	Stroppa, M.M.,Carriazo, C.S.,Gerez de Burgos, N.M.,Garcia, B.A.	Hyg.	2014	399-405	91	24914000
84	Enzyme architecture: a startling role for Asn270 in glycerol 3-phosphate dehydrogenase-catalyzed hydride transfer	Reyes, A.C.,Amyes, T.L.,Richard, J.P.	Biochemistry	2016	1429-1432	55	26926520
85	Purification and properties of glycerol-3-phosphate dehydrogenase from the liver of the hibernating ground squirrel, Urocitellus richardsonii. Comp. Biochem. Physiol	Ruberto, A.A.,Childers, C.L.,Storey, K.B.	B	2016	48-55	202	27521690
86	Increased fatty acid accumulation following overexpression of glycerol-3-phosphate dehydrogenase and suppression of beta-oxidation in oleaginous fungus Mortierella alpina. Eur. J. Lipid Sci	Yang, H.,Chen, H.,Hao, G.,Mei, T.,Zhang, H.,Chen, W.,Chen, Y.	Technol.	2017	n/a 1600113	119	-----
87	Structure-reactivity effects on intrinsic primary kinetic isotope effects for hydride transfer catalyzed by glycerol-3-phosphate dehydrogenase. J. Am. Chem	Reyes, A.C.,Amyes, T.L.,Richard, J.P.	Soc.	2016	14526-14529	138	27769116
88	Enzyme architecture: self-assembly of enzyme and substrate pieces of glycerol-3-phosphate dehydrogenase into a robust catalyst of hydride transfer. J. Am. Chem	Reyes, A.C.,Amyes, T.L.,Richard, J.P.	Soc.	2016	15251-15259	138	27792325
89	Expression of Chlamydomonas reinhardtii CrGPDH2 and CrGPDH3 cDNAs in yeast reveals that they encode functional glycerol-3-phosphate dehydrogenases involved in glycerol production and osmotic stress tolerance. J. Appl	Casais-Molina, M.,Peraza-Echeverria, S.,Echevarria-Machado, I.,Herrera-Valencia, V.	Phycol.	2016	219-226	28	-----
90	Over-expression of Arabidopsis thaliana SFD1/GLY1, the gene encoding plastid localized glycerol-3-phosphate dehydrogenase, increases plastidic lipid content in transgenic rice plants. J	Singh, V.,Singh, P.K.,Siddiqui, A.,Singh, S.,Banday, Z.Z.,Nandi, A.K.	Plant Res.	2016	285-293	129	26747130
91	Evolutionary engineering of a glycerol-3-phosphate dehydrogenase-negative, acetate-reducing Saccharomyces cerevisiae strain enables anaerobic growth at high glucose concentrations. Microb	Guadalupe-Medina, V.,Metz, B.,Oud, B.,van Der Graaf, C.M.,Mans, R.,Pronk, J.T.,van Maris, A.J.	Biotechnol.	2014	44-53	7	24004455
92	Molecular clone and expression of a NAD+-dependent glycerol-3-phosphate dehydrogenase isozyme gene from the halotolerant alga Dunaliella salina	Cai, M.,He, L.H.,Yu, T.Y.	PLoS ONE	2013	e62287	8	23626797
93	Enhanced enzymatic activity of glycerol-3-phosphate dehydrogenase from the cryophilic Saccharomyces kudriavzevii	Oliveira, B.M.,Barrio, E.,Querol, A.,Perez-Torrado, R.	PLoS ONE	2014	e87290	9	24498063
94	Novel inhibitors of mitochondrial sn-glycerol 3-phosphate dehydrogenase	Orr, A.L.,Ashok, D.,Sarantos, M.R.,Ng, R.,Shi, T.,Gerencser, A.A.,Hughes, R.E.,Brand, M.D.	PLoS ONE	2014	e89938	9	24587137
95	Engineering Camelina sativa (L.) Crantz for enhanced oil and seed yields by combining diacylglycerol acyltransferase1 and glycerol-3-phosphate dehydrogenase expression. Plant Biotechnol	Chhikara, S.,Abdullah, H.M.,Akbari, P.,Schnell, D.,Dhankher, O.P.	J.	2018	1034-1045	16	28975735
96	Pomolic acid in persimmon peel suppresses the increase in glycerol-3 phosphate dehydrogenase activity in 3T3-L1 adipocytes. Biosci. Biotechnol	Izuchi, R.,Katsuki, T.	Biochem.	2021	691-696	85	33624785
97	Comparative transcriptome and metabolome analysis suggests bottlenecks that limit seed and oil yields in transgenic Camelina sativa expressing diacylglycerol acyltransferase 1 and glycerol-3-phosphate dehydrogenase. Biotechnol	Abdullah, H.M.,Chhikara, S.,Akbari, P.,Schnell, D.J.,Pareek, A.,Dhankher, O.P.	Biofuels	2018	335	11	30574188
98	Lactate dehydrogenase and glycerol-3-phosphate dehydrogenase cooperatively regulate growth and carbohydrate metabolism during Drosophila melanogaster larval development	Li, H.,Rai, M.,Buddika, K.,Sterrett, M.,Luhur, A.,Mahmoudzadeh, N.,Julick, C.,Pletcher, R.,Chawla, G.,Gosney, C.,Burton, A.,Karty, J.,Montooth, K.,Sokol, N.,Tennessen, J.	Development	2019	dev175315	146	31399469
99	Identification of glycerol-3-phosphate dehydrogenase 1 as a tumour suppressor in human breast cancer	Zhou, C.,Yu, J.,Wang, M.,Yang, J.,Xiong, H.,Huang, H.,Wu, D.,Hu, S.,Wang, Y.,Chen, X.Z.,Tang, J.	Oncotarget	2017	101309	8	29254166
100	Glycerol-3-phosphate dehydrogenase (GPDH) gene family in Zea mays L.	 Identification, subcellular localization, and transcriptional responses to abiotic stresses	Zhao, Y.,Li, X.,Wang, F.,Zhao, X.,Gao, Y.,Zhao, C.,He, L.,Li, Z.,Xu, J.	PLoS ONE	2018	e0200357	13	29990328
