ID	Title	Authors	Journal	Year	Pages	Volume	PMID
30	Targeted disruption of homoserine dehydrogenase gene and its effect on cephamycin C production in Streptomyces clavuligerus. J. Ind. Microbiol	Yilmaz, E.I.,Caydasi, A.K.,Ozcengiz, G.	Biotechnol.	2008	1-7	35	17909870
31	Characteristics of methionine production by an engineered Corynebacterium glutamicum strain. Metab	Park, S.D.,Lee, J.Y.,Sim, S.Y.,Kim, Y.,Lee, H.S.	Eng.	2007	327-336	9	17604670
32	Lysine biosynthesis and nitrogen metabolism in quinoa (Chenopodium quinoa): study of enzymes and nitrogen-containing compounds. Plant Physiol	Varisi, V.A.,Camargos, L.S.,Aguiar, L.F.,Christofoleti, R.M.,Medici, L.O.,Azevedo, R.A.	Biochem.	2008	11-18	46	18006325
33	Bacillus methanolicus pyruvate carboxylase and homoserine dehydrogenase I and II and their roles for L-lysine production from methanol at 50 degrees C. Appl. Microbiol	Brautaset, T.,Jakobsen, O.M.,Degnes, K.F.,Netzer, R.,Naerdal, I.,Krog, A.,Dillingham, R.,Flickinger, M.C.,Ellingsen, T.E.	Biotechnol.	2010	951-964	87	20372887
34	Threonine-insensitive homoserine dehydrogenase from soybean: genomic organization, kinetic mechanism, and in vivo activity. J. Biol	Schroeder, A.C.,Zhu, C.,Yanamadala, S.R.,Cahoon, R.E.,Arkus, K.A.,Wachsstock, L.,Bleeke, J.,Krishnan, H.B.,Jez, J.M.	Chem.	2010	827-834	285	19897476
35	Characterization of aspartate kinase and homoserine dehydrogenase from Corynebacterium glutamicum IWJ001 and systematic investigation of L-isoleucine biosynthesis. J. Ind. Microbiol	Dong, X.,Zhao, Y.,Zhao, J.,Wang, X.	Biotechnol.	2016	873-885	43	27033538
36	Rational design of allosteric regulation of homoserine dehydrogenase by a nonnatural inhibitor L-lysine. ACS Synth	Chen, Z.,Rappert, S.,Zeng, A.P.	Biol.	2015	126-131	4	24344690
37	Structural basis for the catalytic mechanism of homoserine dehydrogenase. Acta Crystallogr. Sect	Navratna, V.,Reddy, G.,Gopal, B.	D	2015	1216-1225	71	25945586
38	Crystallization and preliminary X-ray diffraction studies of Staphylococcus aureus homoserine dehydrogenase. Acta Crystallogr. Sect	Navratna, V.,Gopal, B.	F	2013	1216-1219	69	24192352
39	Structural insight into activation of homoserine dehydrogenase from the archaeon Sulfolobus tokodaii via reduction. Biochem. Biophys	Tomonaga, Y.,Kaneko, R.,Goto, M.,Ohshima, T.,Yoshimune, K.	Rep.	2015	14-17	3	-----
40	Exploring the molecular basis for selective binding of homoserine dehydrogenase from Mycobacterium leprae TN toward inhibitors: a virtual screening study. Int. J. Mol	Zhan, D.,Wang, D.,Min, W.,Han, W.	Sci.	2014	1826-1841	15	24469317
41	Candida albicans Hom6 is a homoserine dehydrogenase involved in protein synthesis and cell adhesion. J. Microbiol. Immunol	Tsai, P.W.,Chien, C.Y.,Yeh, Y.C.,Tung, L.,Chen, H.F.,Chang, T.H.,Lan, C.Y.	Infect.	2017	863-871	50	27089825
42	Crystal structures of a hyperthermophilic archaeal homoserine dehydrogenase suggest a novel cofactor binding mode for oxidoreductases. Sci	Hayashi, J.,Inoue, S.,Kim, K.,Yoneda, K.,Kawarabayasi, Y.,Ohshima, T.,Sakuraba, H.	Rep.	2015	11674	5	26154028
43	Heterologous expression and characterization of L200F/D215K mutant of homoserine dehydrogenase from Corynebacterium pekinense AS1.299	Shen, S.,Zhu, Y.,Fang, L.,Xu, J.	Wei Sheng Wu Xue Bao	2014	1178-1184	54	-----
44	Targeting the homoserine dehydrogenase of Paracoccidioides species for treatment of systemic fungal infections. Antimicrob	Bagatin, M.C.,Pimentel, A.L.,Biavatti, D.C.,Basso, E.A.,Kioshima, E.S.,Seixas, F.A.V.,Gauze, G.F.	Agents Chemother.	2017	e00165-17	61	28652239
45	Multiplex design of the metabolic network for production of L-homoserine in Escherichia coli. Appl. Environ	Liu, P.,Zhang, B.,Yao, Z.H.,Liu, Z.Q.,Zheng, Y.G.	Microbiol.	2020	e01477-20	86	32801175
46	A novel bifunctional aspartate kinase-homoserine dehydrogenase from the hyperthermophilic bacterium, Thermotoga maritima. Biosci. Biotechnol	Ohshida, T.,Koba, K.,Hayashi, J.,Yoneda, K.,Ohmori, T.,Ohshima, T.,Sakuraba, H.	Biochem.	2018	2084-2093	82	30175674
47	The crystal structure of homoserine dehydrogenase complexed with L-homoserine and NADPH in a closed form. J	Akai, S.,Ikushiro, H.,Sawai, T.,Yano, T.,Kamiya, N.,Miyahara, I.	Biochem.	2019	185-195	165	30423116
48	Molecular and enzymatic features of homoserine dehydrogenase from Bacillus subtilis. J. Microbiol	Kim, D.H.,Nguyen, Q.T.,Ko, G.S.,Yang, J.K.	Biotechnol.	2020	1905-1911	30	33046675
49	New inhibitors of homoserine dehydrogenase from Paracoccidioides brasiliensis presenting antifungal activity. J. Mol	Bueno, P.S.A.,Rodrigues, F.A.V.,Santos, J.L.,Canduri, F.,Biavatti, D.C.,Pimentel, A.L.,Bagatin, M.C.,Kioshima, E.S.,de Freitas Gauze, G.,Seixas, F.A.V.	Model.	2019	325	25	31654136
50	Antifungal dipeptides incorporating an inhibitor of homoserine dehydrogenase. J. Pept	Skwarecki, A.S.,Schielmann, M.,Martynow, D.,Kawczynski, M.,Wisniewska, A.,Milewska, M.J.,Milewski, S.	Sci.	2018	e3060	24	29322651
51	L-lysine production by chemical mutagenesis of homoserine dehydrogenase of ddh gene in Corynebacterium glutamicum ATCC13032. Rasayan J	Vanasi, B.,Eppakayala, L.,Malothu, R.	Chem.	2020	1245-1261	13	-----
52	Inhibition of homoserine dehydrogenase by formation of a cysteine-NAD covalent complex. Sci	Ogata, K.,Yajima, Y.,Nakamura, S.,Kaneko, R.,Goto, M.,Ohshima, T.,Yoshimune, K.	Rep.	2018	5749	8	29636528
