ID	Title	Authors	Journal	Year	Pages	Volume	PMID
27	Amperometric biosensors based on two different enzyme systems and their use for glycerol determination in samples from biotechnological fermentation process. Anal. Chim	Katrlik, J.,Mastihuba, V.,Vostiar, I.,Sefcovicova, J.,Stefuca, V.,Gemeiner, P.	Acta	2006	11-18	566	-----
28	Kinetic enzymatic determination of glycerol in wine and beer using a sequential injection system with spectrophotometric detection. J. Agric	Oliveira, H.M.,Segundo, M.A.,Lima, J.L.,Grassi, V.,Zagatto, E.A.	Food Chem.	2006	4136-4140	54	16756338
29	Mechanism of hilA repression by 1,2-propanediol consists of two distinct pathways, one dependent on and the other independent of catabolic production of propionate, in Salmonella enterica serovar Typhimurium. J	Nakayama, S.,Watanabe, H.	Bacteriol.	2006	3121-3125	188	16585772
30	Application of sequential integration for metabolic engineering of 1,2-propanediol production in yeast. Metab	Lee, W.,DaSilva, N.A.	Eng.	2006	58-65	8	16242982
31	Integrated multienzyme electrochemical biosensors for the determination of glycerol in wines. Anal. Chim	Gamella, M.,Campuzano, S.,Reviejo, A.J.,Pingarron, J.M.	Acta	2008	201-209	609	18261515
32	Biotransformation of glycerol to dihydroxyacetone by recombinant Gluconobacter oxydans DSM 2343. Appl. Microbiol	Gaetgens, C.,Degner, U.,Bringer-Meyer, S.,Herrmann, U.	Biotechnol.	2007	553-559	76	17497148
33	Crystallization and preliminary X-ray characterization of a glycerol dehydrogenase from the human pathogen Salmonella enterica serovar Typhimurium. Acta Crystallogr. Sect	Goncalves, A.T.,Marcal, D.,Carrondo, M.A.,Enguita, F.J.	F	2009	698-701	65	19574643
34	Sequential Injection Kinetic Flow Assay for Monitoring Glycerol in a Sugar Fermentation Process by Saccharomyces cerevisiae. Appl. Biochem	Dominguez, K.B.,Toth, I.V.,Souto, M.R.,Mendes, F.,Garcia De Maria, C.,Vasconcelos, I.,Rangel, A.O.	Biotechnol.	2009	1664-1673	160	19479208
35	Regulation of glycerol metabolism in Enterobacter aerogenes NBRC12010 under electrochemical conditions. Appl. Microbiol	Hatayama, K.,Yagishita, T.	Biotechnol.	2009	749-756	83	19352646
36	Effects of over-expression of glycerol dehydrogenase and 1,3-propanediol oxidoreductase on bioconversion of glycerol into 1,3-propandediol by Klebsiella pneumoniae under micro-aerobic conditions. Bioprocess Biosyst	Zhao, L.,Zheng, Y.,Ma, X.,Wei, D.	Eng.	2009	313-320	32	18682988
37	Understanding and harnessing the microaerobic metabolism of glycerol in Escherichia coli. Biotechnol	Durnin, G.,Clomburg, J.,Yeates, Z.,Alvarez, P.J.,Zygourakis, K.,Campbell, P.,Gonzalez, R.	Bioeng.	2009	148-161	103	19189409
38	Design of a cytochrome P450BM3 reaction system linked by two-step cofactor regeneration catalyzed by a soluble transhydrogenase and glycerol dehydrogenase. Biotechnol	Mouri, T.,Shimizu, T.,Kamiya, N.,Goto, M.,Ichinose, H.	Prog.	2009	1372-1378	25	19725101
39	Over-expression of glycerol dehydrogenase and 1,3-propanediol oxidoreductase in Klebsiella pneumoniae and their effects on conversion of glycerol into 1,3-propanediol in resting cell system. J. Chem. Technol	Zhao, L.,Ma, X.,Zheng, Y.,Zhang, J.,Wei, G.,Wei, D.	Biotechnol.	2009	626-632	84	-----
40	Tentative identification of glycerol dehydrogenase as Escherichia coli K1 virulence factor cglD and its involvement in the pathogenesis of experimental neonatal meningitis. Med. Microbiol	Zhang, K.,Zhao, W.D.,Li, Q.,Fang, W.G.,Zhu, L.,Shang, D.S.,Chen, Y.H.	Immunol.	2009	195-204	198	19597841
41	A new model for the anaerobic fermentation of glycerol in enteric bacteria: trunk and auxiliary pathways in Escherichia coli. Metab	Gonzalez, R.,Murarka, A.,Dharmadi, Y.,Yazdani, S.S.	Eng.	2008	234-245	10	18632294
42	Engineering Escherichia coli for the efficient conversion of glycerol to ethanol and co-products. Metab	Shams Yazdani, S.,Gonzalez, R.	Eng.	2008	340-351	10	18840539
43	Analysis of glycerol dehydrogenase activities present in Mucor circinelloides YR-1	Camacho Morales, R.L.,Castellanos, A.D.,Zazueta-Sandoval, R.	Antonie van Leeuwenhoek	2010	437-445	98	20512634
44	The gld1+ gene encoding glycerol dehydrogenase is required for glycerol metabolism in Schizosaccharomyces pombe. Appl. Microbiol	Matsuzawa, T.,Ohashi, T.,Hosomi, A.,Tanaka, N.,Tohda, H.,Takegawa, K.	Biotechnol.	2010	715-727	87	20396879
45	Engineering of glycerol dehydrogenase for improved activity towards 1, 3-butanediol. Appl. Microbiol	Zhang, H.,Lountos, G.T.,Ching, C.B.,Jiang, R.	Biotechnol.	2010	117-124	88	20585771
46	Production and characterization of Escherichia coli glycerol dehydrogenase as a tool for glycerol recycling	Piattoni, C.,Figueroa, C.,Asencion Diez, M.,Parcerisa, I.,Antuna, S.,Comelli, R.,Guerrero, S.,Beccaria, A.,Iglesias, A.	Process Biochem.	2013	406-412	48	-----
47	Metabolic engineering to improve ethanol production in Thermoanaerobacter mathranii. Appl. Microbiol	Yao, S.,Mikkelsen, M.J.	Biotechnol.	2010	199-208	88	20552355
48	Structure of glycerol dehydrogenase from Serratia. Acta Crystallogr. Sect	Musille, P.,Ortlund, E.	F	2014	166-172	70	24637749
49	Improved production of propionic acid in Propionibacterium jensenii via combinational overexpression of glycerol dehydrogenase and malate dehydrogenase from Klebsiella pneumoniae. Appl. Environ	Liu, L.,Zhuge, X.,Shin, H.D.,Chen, R.R.,Li, J.,Du, G.,Chen, J.	Microbiol.	2015	2256-2264	81	25595755
50	Characterization of Thermotoga maritima glycerol dehydrogenase for the enzymatic production of dihydroxyacetone. Appl. Microbiol	Beauchamp, J.,Gross, P.G.,Vieille, C.	Biotechnol.	2014	7039-7050	98	24664447
51	An improved glycerol biosensor with an Au-FeS-NAD-glycerol-dehydrogenase anode. Biosens	Mahadevan, A.,Fernando, S.	Bioelectron.	2016	417-424	92	27836608
52	The improvement of stability, activity, and substrate promiscuity of glycerol dehydrogenase substituted by divalent metal ions. Biotechnol	Wang, S.,Wang, J.,Zhou, X.,Guo, Y.,Fang, B.	Bioprocess Eng.	2013	796-800	18	-----
53	Conversion of glycerol to 1,3-dihydroxyacetone by glycerol dehydrogenase co-expressed with an NADH oxidase for cofactor regeneration. Biotechnol	Zhang, J.,Cui, Z.,Chang, H.,Fan, X.,Zhao, Q.,Wei, W.	Lett.	2016	1559-1564	38	27233513
54	Cloning, expression and characterization of glycerol dehydrogenase involved in 2,3-butanediol formation in Serratia marcescens H30. J. Ind. Microbiol	Zhang, L.,Xu, Q.,Peng, X.,Xu, B.,Wu, Y.,Yang, Y.,Sun, S.,Hu, K.,Shen, Y.	Biotechnol.	2014	1319-1327	41	24981852
55	Characterization of glycerol dehydrogenase from Thermoanaerobacterium thermosaccharolyticum DSM 571 and GGG motif identification. J. Microbiol	Wang, L.,Wang, J.,Shi, H.,Gu, H.,Zhang, Y.,Li, X.,Wang, F.	Biotechnol.	2016	1077-1086	26	26975764
56	Codon-optimized NADH oxidase gene expression and gene fusion with glycerol dehydrogenase for bienzyme system with cofactor regeneration	Fang, B.,Jiang, W.,Zhou, Q.,Wang, S.	PLoS ONE	2015	e0128412	10	26115038
57	Mechanistic study of manganese-substituted glycerol dehydrogenase using a kinetic and thermodynamic analysis	Fang, B.,Niu, J.,Ren, H.,Guo, Y.,Wang, S.	PLoS ONE	2014	e99162	9	24896258
58	Bioinspired immobilization of glycerol dehydrogenase by metal ion-chelated polyethyleneimines as artificial polypeptides. Sci	Zhang, Y.,Ren, H.,Wang, Y.,Chen, K.,Fang, B.,Wang, S.	Rep.	2016	24163	6	27053034
59	Purification and characterization of an alcohol dehydrogenase with an unusual specificity towards glycerol from Thermus thermophilus. Biores	Raghava, S.,Gupta, M.	Technol.	2010	2554-2557	101	19932956
60	Fermentation of glycerol by Anaerobium acetethylicum and its potential use in biofuel production. Microb	Patil, Y.,Junghare, M.,Müller, N.	Biotechnol.	2017	203-217	10	28004884
61	Seeing but not believing	 The structure of glycerol dehydrogenase initially assumed to be the structure of a survival protein from Salmonella typhimurium. Acta Crystallogr. Sect	Hatti, K.,Mathiharan, Y.,Srinivasan, N.,Murthy, M.	D	2017	609-617	73	28695861
62	Structure of glycerol dehydrogenase (GldA) from Escherichia coli. Acta Crystallogr. Sect	Zhang, J.,Nanjaraj Urs, A.N.,Lin, L.,Zhou, Y.,Hu, Y.,Hua, G.,Gao, Q.,Yuchi, Z.,Zhang, Y.	F	2019	176-183	75	30839292
63	A novel assay for triglycerides using glycerol dehydrogenase and a water-soluble formazan dye, WST-8. Ann. Clin	Kawano, M.,Hokazono, E.,Osawa, S.,Sato, S.,Tateishi, T.,Manabe, M.,Matsui, H.,Kayamori, Y.	Biochem.	2019	442-449	56	30971104
64	Homologous overexpression of hydrogenase and glycerol dehydrogenase in Clostridium pasteurianum to enhance hydrogen production from crude glycerol. Biores	Sarma, S.,Ortega, D.,Minton, N.P.,Dubey, V.K.,Moholkar, V.S.	Technol.	2019	168-177	284	30933825
65	The activation of glycerol dehydrogenase from Escherichia coli by ppGpp. Bull. Korean Chem	Hoang, H.,Tran, T.,Jung, C.	Soc.	2020	133-138	41	-----
66	Specific immobilization of Escherichia coli expressing recombinant glycerol dehydrogenase on mannose-functionalized magnetic nanoparticles	Li, F.,Zhuang, M.,Shen, J.,Fan, X.,Choi, H.,Lee, J.,Zhang, Y.	Catalysts	2019	0007	9	-----
67	Selective oxidation of alkyl and aryl glyceryl monoethers catalysed by an engineered and immobilised glycerol dehydrogenase. Chem	Velasco-Lozano, S.,Roca, M.,Leal-Duaso, A.,Mayoral, J.A.,Pires, E.,Moliner, V.,Lopez-Gallego, F.	Sci.	2020	12009-12020	11	34123216
68	Combined cross-linked enzyme aggregates of glycerol dehydrogenase and NADH oxidase for high efficiency in situ NAD+ regeneration. Int. J. Biol	Xu, M.Q.,Li, F.L.,Yu, W.Q.,Li, R.F.,Zhang, Y.W.	Macromol.	2020	1013-1021	144	31669469
69	Biochemical and molecular characterization of glycerol dehydrogenase from Klebsiella pneumoniae. J. Microbiol	Ko, G.S.,Nguyen, Q.,Kim, D.H.,Yang, J.K.	Biotechnol.	2020	271-278	30	31635443
70	Kinetic characterization and structure analysis of an altered polyol dehydrogenase with D-lactate dehydrogenase activity	Chauliac, D.,Wang, Q.,St John, F.J.,Jones, G.,Hurlbert, J.C.,Ingram, L.O.,Shanmugam, K.T.	Protein Sci.	2020	2387-2397	29	33020946
71	Identification and functional characterization of glycerol dehydrogenase reveal the role in kojic acid synthesis in Aspergillus oryzae. World J. Microbiol	Fan, J.,Zhang, Z.,Long, C.,He, B.,Hu, Z.,Jiang, C.,Zeng, B.	Biotechnol.	2020	136	36	32783085
72	An enhanced toluene dioxygenase platform for the production of cis-1,2-dihydrocatechol in Escherichia coli BW25113 lacking glycerol dehydrogenase activity. J	Wissner, J.L.,Ludwig, J.,Escobedo-Hinojosa, W.,Hauer, B.	Biotechnol.	2021	380-388	325	32946884
