ID	Title	Authors	Journal	Year	Pages	Volume	PMID
15	A novel NADH-linked L-xylulose reductase in the L-arabinose catabolic pathway of yeast. J. Biol	Verho, R.,Putkonen, M.,Londesborough, J.,Penttilä, M.,Richard, P.	Chem.	2004	14746-14751	279	14736891
16	P26h and dicarbonyl/L-xylulose reductase are two distinct proteins present in the hamster epididymis. Mol. Reprod	Saint-Cyr, A.,Legare, C.,Frenette, G.,Gaudreault, C.,Sullivan, R.	Dev.	2004	137-145	69	15293214
17	Crystal structure of human L-xylulose reductase holoenzyme: probing the role of Asn107 with site-directed mutagenesis	El-Kabbani, O.,Ishikura, S.,Darmanin, C.,Carbone, V.,Chung, R.P.T.,Usami, N.,Hara, A.	Proteins	2004	724-732	55	15103634
18	Multiplicity of mammalian reductases for xenobiotic carbonyl compounds. Drug Metab	Matsunaga, T.,Shintani, S.,Hara, A.	Pharmacokinet.	2006	1-18	21	16547389
19	Transgenic mice over-expressing dicarbonyl/L-xylulose reductase gene crossed with KK-A(y) diabetic model mice: an animal model for the metabolism of renal carbonyl compounds. Exp	Sudo, T.,Ishii, A.,Asami, J.,Uematsu, Y.,Saitoh, M.,Nakamura, A.,Tada, N.,Ohnuki, T.,Komurasaki, T.,Nakagawa, J.	Anim.	2005	385-394	54	16365515
20	Structure of the tetrameric form of human L-xylulose reductase: probing the inhibitor-binding site with molecular modeling and site-directed mutagenesis	El-Kabbani, O.,Carbone, V.,Darmanin, C.,Ishikura, S.,Hara, A.	Proteins	2005	424-432	60	15906319
21	Biochemical characterization of an L-Xylulose reductase from Neurospora crassa. Appl. Environ	Nair, N.,Zhao, H.	Microbiol.	2007	2001-2004	73	17261518
22	L-Xylulose reductase is involved in 9,10-phenanthrenequinone-induced apoptosis in human T lymphoma cells. Free Radic. Biol	Matsunaga, T.,Kamiya, T.,Sumi, D.,Kumagai, Y.,Kalyanaraman, B.,Hara, A.	Med.	2008	1191-1202	44	18206670
23	Bioethanol production from xylose by recombinant Saccharomyces cerevisiae expressing xylose reductase, NADP(+)-dependent xylitol dehydrogenase, and xylulokinase. J. Biosci	Matsushika, A.,Watanabe, S.,Kodaki, T.,Makino, K.,Sawayama, S.	Bioeng.	2008	296-299	105	18397783
24	Effect of the reversal of coenzyme specificity by expression of mutated Pichia stipitis xylitol dehydrogenase in recombinant Saccharomyces cerevisiae. Lett. Appl	Hou, J.,Shen, Y.,Li, X.P.,Bao, X.M.	Microbiol.	2007	184-189	45	17651216
25	Efficient bioethanol production by a recombinant flocculent Saccharomyces cerevisiae strain with a genome-integrated NADP+-dependent xylitol dehydrogenase gene. Appl. Environ	Matsushika, A.,Inoue, H.,Watanabe, S.,Kodaki, T.,Makino, K.,Sawayama, S.	Microbiol.	2009	3818-3822	75	19329659
26	Expression of protein engineered NADP+-dependent xylitol dehydrogenase increases ethanol production from xylose in recombinant Saccharomyces cerevisiae. Appl. Microbiol	Matsushika, A.,Watanabe, S.,Kodaki, T.,Makino, K.,Inoue, H.,Murakami, K.,Takimura, O.,Sawayama, S.	Biotechnol.	2008	243-255	81	18751695
27	Impact of overexpressing NADH kinase on glucose and xylose metabolism in recombinant xylose-utilizing Saccharomyces cerevisiae. Appl. Microbiol	Hou, J.,Vemuri, G.N.,Bao, X.,Olsson, L.	Biotechnol.	2009	909-919	82	19221731
28	Engineering of a matched pair of xylose reductase and xylitol dehydrogenase for xylose fermentation by Saccharomyces cerevisiae. Biotechnol	Krahulec, S.,Klimacek, M.,Nidetzky, B.	J.	2009	684-694	4	19452479
29	Structure/function analysis of a critical disulfide bond in the active site of L-xylulose reductase. Cell. Mol	Zhao, H.T.,Endo, S.,Ishikura, S.,Chung, R.,Hogg, P.J.,Hara, A.,El-Kabbani, O.	Life Sci.	2009	1570-1579	66	19337691
30	Profiles of xylose reductase, xylitol dehydrogenase and xylitol production under different oxygen transfer volumetric coefficient values. J. Chem. Technol	Branco, R.,dos Santos, J.,Sarrouh, B.,Rivaldi, J.,Pessoa Jr., A.,da Silva, S.	Biotechnol.	2009	326-330	84	-----
31	The behavior of key enzymes of xylose metabolism on the xylitol production by Candida guilliermondii grown in hemicellulosic hydrolysate. J. Ind. Microbiol	Gurpilhares, D.B.,Hasmann, F.A.,Pessoa, A.,Roberto, I.C.	Biotechnol.	2009	87-93	36	18830730
32	The true L-xylulose reductase of filamentous fungi identified in Aspergillus niger	Mojzita, D.,Vuoristo, K.,Koivistoinen, O.M.,Penttilae, M.,Richard, P.	FEBS Lett.	2010	3540-3544	584	20654618
33	A novel L-xylulose reductase essential for L-arabinose catabolism in Trichoderma reesei	Metz, B.,Mojzita, D.,Herold, S.,Kubicek, C.P.,Richard, P.,Seiboth, B.	Biochemistry	2013	2453-2460	52	23506391
34	DHS-21, a dicarbonyl/L-xylulose reductase (DCXR) ortholog, regulates longevity and reproduction in Caenorhabditis elegans	Son, l.e..T.,Ko, K.M.,Cho, J.H.,Singaravelu, G.,Chatterjee, I.,Choi, T.W.,Song, H.O.,Yu, J.R.,Park, B.J.,Lee, S.K.,Ahnn, J.	FEBS Lett.	2011	1310-1316	585	21477590
35	Induction of D-xylose uptake and expression of NAD(P)H-linked xylose reductase and NADP+-linked xylitol dehydrogenase in the oleaginous microalga Chlorella sorokiniana. Biotechnol	Zheng, Y.,Yu, X.,Li, T.,Xiong, X.,Chen, S.	Biofuels	2014	125	7	25342968
36	Data for rapid ethanol production at elevated temperatures by engineered thermotolerant Kluyveromyces marxianus via the NADP(H)-preferring xylose reductase-xylitol dehydrogenase pathway	Zhang, B.,Zhang, J.,Wang, D.,Gao, X.,Sun, L.,Hong, J.	Data Brief	2015	179-186	5	26543879
37	Boost in bioethanol production using recombinant Saccharomyces cerevisiae with mutated strictly NADPH-dependent xylose reductase and NADP+-dependent xylitol dehydrogenase. J	Khattab, S.M.,Saimura, M.,Kodaki, T.	Biotechnol.	2013	153-156	165	23578809
38	Characterization and gene cloning of L-xylulose reductase involved in L-arabinose catabolism from the pentose-fermenting fungus Rhizomucor pusillus. Biosci. Biotechnol	Yamasaki-Yashiki, S.,Komeda, H.,Hoshino, K.,Asano, Y.	Biochem.	2017	1612-1618	81	28471330
39	Efficient production of xylitol by the integration of multiple copies of xylose reductase gene and the deletion of Embden-Meyerhof-Parnas pathway-associated genes to enhance NADPH regeneration in Escherichia coli. J. Ind. Microbiol	Yuan, X.,Wang, J.,Lin, J.,Yang, L.,Wu, M.	Biotechnol.	2019	1061-1069	46	31025135
40	Dynamic control over feedback regulatory mechanisms improves NADPH flux and xylitol biosynthesis in engineered E. coli. Metab	Li, S.,Ye, Z.,Moreb, E.A.,Hennigan, J.N.,Castellanos, D.B.,Yang, T.,Lynch, M.D.	Eng.	2021	26-40	64	33460820
