EC_number	UniProt_ID	Organism_name	Apo_structures	Holo_mapping
2.5.1.16	P09158	Escherichia coli	3O4F_A	1JQ3_A
2.3.3.5	Q56063	Salmonella enterica subsp. enterica serovar Typhimurium	3O8J_A	5UQU_A
3.1.3.2	B9VWB2	Pasteurella multocida	3PCT_A	3OCV_A
1.4.1.4	Q8ILF7	Plasmodium falciparum	3R3J_A	5GUD_A
2.3.3.13	Q9JZG1	Neisseria meningitidis	3RMJ_A	1SR9_A
2.7.1.15	A0A0H2WZY4	Staphylococcus aureus	3RY7_A	5C40_A
3.2.2.8	Q97ZS5	Saccharolobus solfataricus	3T8J_A	5TSQ_A
4.2.1.1	P07451	Sander vitreus	3UYN_A	5OGP_A
1.5.1.3	G4VJD6	Schistosoma mansoni	3VCO_A	1LY3_A
5.1.3.11	P0DKY4	Ruminococcus albus	3VW5_A	4Z4J_A
3.4.21.9	A4UWM5	Oryzias latipes	3W94_A	7WQX_A
3.1.1.1	Q2PCE5	Ferroplasma acidiphilum	3WJ2_A	3WJ1_A
3.2.1.133	A3DM60	Staphylothermus marinus	4AEE_A	4E2O_A
3.5.1.9	Q9I234	Pseudomonas aeruginosa	4COB_A	4COG_A
2.3.1.82	Q43899	Acinetobacter baumannii	4E8O_A	4EVY_A
5.3.2.6	A2SL37	Methylibium petroleiphilum	4FDX_A	1BJP_A
3.2.1.1	B5ARZ9	Thermotoga neapolitana	4GKL_A	1E3Z_A
1.1.1.35	P34439	Caenorhabditis elegans	4J0F_A	4PZE_C
3.4.11.18	B2IQ22	Streptococcus pneumoniae	4KM3_A	2GG8_A
3.2.2.1	A9TXA6	Physcomitrium patens	4KPN_A	6ZK5_A
4.2.1.10	O30557	Pseudomonas aeruginosa	4L8L_A	6HSU_A
2.3.1.203	B0V6J7	Acinetobacter baumannii	4M9C_A	4M99_A
1.7.3.3	Q5FZI9	Canis lupus familiaris	4MB8_A	3PLG_A
1.1.1.25	Q88RQ5	Pseudomonas putida	4OMU_A	1NYT_A
3.6.1.9	P25536	Escherichia coli	4P0E_A	2J4E_A
2.1.2.1	A1SUU0	Psychromonas ingrahamii	4P3M_A	1EQB_A
4.2.1.10	P36923	Enterococcus faecalis	4PH6_A	4UIO_A
3.4.21.108	P83110	Homo sapiens	4RI0_A	2PZD_A
1.13.11.20	Q9I0N5	Pseudomonas aeruginosa	4TLF_A	4XF4_A
3.5.2.6	H6WZS9	Escherichia coli	4TYF_A	6R73_A
3.5.2.6	I3VKD5	Escherichia coli	4TZ9_A	6R73_A
3.5.2.6	M1VE66	Escherichia coli	4TZF_A	6R73_A
4.4.1.21	B2CMA5	Streptococcus suis	4XCH_A	2FQT_A
1.1.1.86	P9WKJ7	Mycobacterium tuberculosis	4YPO_A	6JX2_A
4.1.99.5	Q55688	Synechocystis sp. PCC 6803	4Z5S_A	4RC7_A
1.1.1.1	Q8GIX7	Moraxella sp.	4Z6K_A	3PII_A
1.10.3.2	Q12571	basidiomycete PM1	5ANH_A	1KYA_C
3.4.11.9	P76524	Escherichia coli	5CNX_A	5CDL_A
3.8.1.5	Q9A919	Caulobacter vibrioides	5ESR_A	4FWB_A
3.5.3.15	Q9ULC6	Homo sapiens	5HP5_A	7D5V_A
3.2.1.21	B9K7M5	Thermotoga neapolitana	5IDI_A	4PTX_A
3.5.1.124	A0A0H3AFW5	Vibrio cholerae	5JZO_A	6AFD_A
3.4.21.4	Q54137	Saccharopolyspora erythraea	5KWM_A	1OSS_A
3.1.1.2	B5BLW5	Saccharolobus solfataricus	5L2P_A	4G2D_A
3.1.1.1	F0NDQ1	Sulfolobus islandicus	5LK6_A	3WJ1_A
3.5.2.20	Q8XYC3	Ralstonia solanacearum	5NMP_A	5NNA_A
3.2.1.83	G0L921	Zobellia galactanivorans	5OCR_A	5OCQ_A
1.1.1.40	P16243	Zea mays	5OU5_A	7X11_A
3.2.1.55	Q5AUX2	Aspergillus nidulans	5UBJ_A	3WMY_A
1.17.1.8	Q9K1F1	Neisseria meningitidis	5UGJ_A	1VM6_B
5.3.1.1	A2FT29	Trichomonas vaginalis	5VWN_A	4O57_A
1.8.5.1	A8I0K9	Chlamydomonas reinhardtii	5XFT_A	3QAG_A
3.1.1.73	A0A0M4UW33	Streptomyces cinnamoneus	5YAE_A	6FAT_A
2.7.7.1	Q99JR6	Mus musculus	5Z9R_A	1NUP_A
3.5.1.24	C7CXJ5	Enterococcus faecalis	6A8T_A	5HKE_A
1.1.1.38	P26616	Escherichia coli	6AGS_A	1PJ2_A
3.4.24.89	K4ZRC1	Paenibacillus alvei	6FPC_A	6R54_A
3.4.11.10	P25152	Bacillus subtilis	6HC6_A	2PRQ_A
1.1.1.35	P9WNP7	Mycobacterium tuberculosis	6HRD_A	4PZE_C
2.7.2.1	B2RK02	Porphyromonas gingivalis	6IOY_A	1TUU_A
1.5.1.2	Q96C36	Homo sapiens	6LHM_A	5UAV_A
3.2.1.131	K0J4X5	Amphibacillus xylanus	6NPS_A	4ZMH_A
5.3.1.1	P48491	Arabidopsis thaliana	6NXS_A	1SW3_A
3.5.4.3	P76641	Escherichia coli	6OHB_A	6OH9_A
2.6.1.83	A0A6P3CW87	Verrucomicrobium spinosum	6OXM_A	3QGU_A
1.1.1.343	G5EBD7	Gluconobacter oxydans	6XEQ_A	6VPB_A
4.2.99.18	P28352	Mus musculus	7CD5_B	6P93_A
1.13.11.20	Q96SZ5	Homo sapiens	7REI_A	4XF4_A
1.3.3.5	A8FAG9	Bacillus pumilus	7Z5P_A	6I3K_A
2.7.2.3	A8JC04	Chlamydomonas reinhardtii	7ZY7_A	1QPG_A
